Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-252.99669,43.12411,620.3858,-138.92351,-128.80983,652.66675,-128.65611,203.34422,642.97083
2,0.008,-253.11273,43.44383,620.45642,-138.74077,-128.85933,652.78955,-128.65611,203.34422,642.97083
3,0.017,-253.11273,43.44383,620.45642,-138.74077,-128.85933,652.78955,-128.65611,203.34422,642.97083
4,0.025,-252.47632,43.63073,620.41516,-138.91824,-128.97865,652.92731,-128.68451,203.4837,642.86096
5,0.033,-252.28029,43.5545,620.56671,-138.74077,-128.85933,652.78955,-128.68451,203.4837,642.86096
6,0.042,-252.60124,43.25433,620.63879,-138.73447,-129.0446,653.08044,-128.3604,203.2852,642.88928
7,0.05,-252.60124,43.25433,620.63879,-138.73447,-129.0446,653.08044,-128.3604,203.2852,642.88928
8,0.058,-252.47586,43.39748,620.79871,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
9,0.067,-252.47586,43.39748,620.79871,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
10,0.075,-252.96562,43.37909,620.74158,-138.74077,-128.85933,652.78955,-128.65773,203.53416,642.88477
11,0.083,-253.35371,43.51734,620.72821,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
12,0.092,-253.22842,43.66048,620.88812,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
13,0.1,-252.80124,43.51385,620.77789,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
14,0.108,-252.84029,43.52224,620.90149,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
15,0.117,-252.60124,43.25433,620.63879,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
16,0.125,-252.47586,43.39748,620.79871,-138.74077,-128.85933,652.78955,-128.3604,203.2852,642.88928
17,0.133,-252.84029,43.52224,620.90149,-138.74077,-128.85933,652.78955,-128.36205,203.47516,642.80328
18,0.142,-252.47586,43.39748,620.79871,-138.74077,-128.85933,652.78955,-128.35573,203.73201,642.80634
19,0.15,-252.84029,43.52224,620.90149,-138.74077,-128.85933,652.78955,-128.35573,203.73201,642.80634
20,0.158,-253.22842,43.66048,620.88812,-138.71361,-128.87111,652.97955,-128.36205,203.47516,642.80328
21,0.167,-252.47586,43.39748,620.79871,-138.71361,-128.87111,652.97955,-128.11624,203.23856,642.79266
22,0.175,-252.47586,43.39748,620.79871,-138.51884,-128.98329,653.11707,-128.12982,203.01414,642.68207
23,0.183,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-128.11624,203.23856,642.79266
24,0.192,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-128.11624,203.23856,642.79266
25,0.2,-252.47586,43.39748,620.79871,-138.51884,-128.98329,653.11707,-127.68945,203.03172,642.84247
26,0.208,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-127.68945,203.03172,642.84247
27,0.217,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-127.68319,203.28865,642.84552
28,0.225,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-127.66013,203.00629,643.0274
29,0.233,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-127.36415,202.51981,643.078
30,0.242,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-127.67198,202.59183,643.00287
31,0.25,-252.47586,43.39748,620.79871,-138.25615,-129.0563,652.92169,-127.67198,202.59183,643.00287
32,0.258,-252.47586,43.39748,620.79871,-138.11331,-129.00894,652.66602,-127.36415,202.51981,643.078
33,0.267,-252.40222,43.17902,620.91077,-138.11331,-129.00894,652.66602,-127.35236,202.93433,643.10254
34,0.275,-252.40222,43.17902,620.91077,-138.25615,-129.0563,652.92169,-127.34615,203.1913,643.10559
35,0.283,-252.40222,43.17902,620.91077,-138.25615,-129.0563,652.92169,-127.35236,202.93433,643.10254
36,0.292,-252.40222,43.17902,620.91077,-138.25615,-129.0563,652.92169,-127.39346,202.54526,642.89307
37,0.3,-252.16725,43.27268,621.13776,-138.25615,-129.0563,652.92169,-127.36415,202.51981,643.078
38,0.308,-252.16725,43.27268,621.13776,-138.25615,-129.0563,652.92169,-127.36415,202.51981,643.078
39,0.317,-252.16725,43.27268,621.13776,-138.11331,-129.00894,652.66602,-127.36415,202.51981,643.078
40,0.325,-252.40222,43.17902,620.91077,-138.25615,-129.0563,652.92169,-127.36415,202.51981,643.078
41,0.333,-252.16725,43.27268,621.13776,-138.25615,-129.0563,652.92169,-127.35063,202.74428,643.1886
42,0.342,-252.40222,43.17902,620.91077,-138.11331,-129.00894,652.66602,-127.26432,202.54936,643.0719
43,0.35,-252.16725,43.27268,621.13776,-138.11331,-129.00894,652.66602,-127.35063,202.74428,643.1886
44,0.358,-252.40222,43.17902,620.91077,-138.25615,-129.0563,652.92169,-127.36415,202.51981,643.078
45,0.367,-252.40222,43.17902,620.91077,-137.8275,-128.96707,652.64917,-127.36415,202.51981,643.078
46,0.375,-252.16725,43.27268,621.13776,-137.8275,-128.96707,652.64917,-127.36415,202.51981,643.078
47,0.383,-252.40222,43.17902,620.91077,-137.8275,-128.96707,652.64917,-127.36415,202.51981,643.078
48,0.392,-252.40222,43.17902,620.91077,-138.11331,-129.00894,652.66602,-127.35063,202.74428,643.1886
49,0.4,-252.16725,43.27268,621.13776,-137.8275,-128.96707,652.64917,-127.35063,202.74428,643.1886
50,0.408,-252.16725,43.27268,621.13776,-137.8275,-128.96707,652.64917,-127.35063,202.74428,643.1886
51,0.417,-252.16725,43.27268,621.13776,-137.8275,-128.96707,652.64917,-127.35063,202.74428,643.1886
52,0.425,-252.16725,43.27268,621.13776,-137.8275,-128.96707,652.64917,-127.35063,202.74428,643.1886
53,0.433,-252.23972,42.96614,621.34827,-137.82152,-129.10567,652.88721,-127.35063,202.74428,643.1886
54,0.442,-252.23972,42.96614,621.34827,-137.82152,-129.10567,652.88721,-127.35063,202.74428,643.1886
55,0.45,-252.23972,42.96614,621.34827,-137.82152,-129.10567,652.88721,-127.37994,202.76973,643.0036
56,0.458,-252.25491,43.30234,621.72241,-137.8275,-128.96707,652.64917,-127.37994,202.76973,643.0036
57,0.467,-252.25491,43.30234,621.72241,-137.96358,-129.18965,653.19958,-127.37994,202.76973,643.0036
58,0.475,-252.25491,43.30234,621.72241,-137.96358,-129.18965,653.19958,-127.37994,202.76973,643.0036
