Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-182.3365,24.26249,1086.68201,-125.22876,-109.11929,1074.54565,-150.80592,177.41145,1099.08411
2,0.008,-182.3365,24.26249,1086.68201,-125.22876,-109.11929,1074.54565,-150.80592,177.41145,1099.08411
3,0.017,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.80592,177.41145,1099.08411
4,0.025,-182.16313,24.54388,1086.88403,-125.43492,-108.9298,1074.7334,-150.80592,177.41145,1099.08411
5,0.033,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.80592,177.41145,1099.08411
6,0.042,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.80592,177.41145,1099.08411
7,0.05,-182.16313,24.54388,1086.88403,-125.43492,-108.9298,1074.7334,-150.80592,177.41145,1099.08411
8,0.058,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.80592,177.41145,1099.08411
9,0.067,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.80592,177.41145,1099.08411
10,0.075,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.64059,178.06154,1099.09375
11,0.083,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.80592,177.41145,1099.08411
12,0.092,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.64583,177.42462,1099.07227
13,0.1,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.72849,177.57439,1098.80078
14,0.108,-182.16313,24.54388,1086.88403,-124.83618,-108.48337,1074.5061,-150.72849,177.57439,1098.80078
15,0.117,-182.16313,24.54388,1086.88403,-125.11926,-108.90165,1074.69006,-150.72849,177.57439,1098.80078
16,0.125,-182.16313,24.54388,1086.88403,-125.15127,-108.68555,1074.87585,-150.72849,177.57439,1098.80078
17,0.133,-182.09271,24.93911,1086.66614,-125.11926,-108.90165,1074.69006,-150.52313,178.28857,1098.73291
18,0.142,-182.09271,24.93911,1086.66614,-125.11926,-108.90165,1074.69006,-150.52313,178.28857,1098.73291
19,0.15,-182.09271,24.93911,1086.66614,-125.11926,-108.90165,1074.69006,-150.56314,178.22446,1098.8103
20,0.158,-182.09271,24.93911,1086.66614,-125.11926,-108.90165,1074.69006,-150.50798,178.53888,1098.8092
21,0.167,-182.16313,24.54388,1086.88403,-125.15127,-108.68555,1074.87585,-150.6512,178.26244,1098.5249
22,0.175,-182.16313,24.54388,1086.88403,-124.83618,-108.48337,1074.5061,-150.68848,177.63853,1098.72327
23,0.183,-182.16313,24.54388,1086.88403,-124.83618,-108.48337,1074.5061,-150.80141,177.86272,1098.59155
24,0.192,-182.16313,24.54388,1086.88403,-124.83618,-108.48337,1074.5061,-150.79453,178.06223,1098.25342
25,0.2,-181.82074,24.98947,1086.49731,-125.05415,-108.99439,1075.02515,-151.01617,178.24597,1098.39417
26,0.208,-181.82074,24.98947,1086.49731,-125.15127,-108.68555,1074.87585,-150.84274,178.25357,1098.38965
27,0.217,-182.09271,24.93911,1086.66614,-125.05415,-108.99439,1075.02515,-151.01617,178.24597,1098.39417
28,0.225,-182.09271,24.93911,1086.66614,-125.15127,-108.68555,1074.87585,-151.08644,178.29268,1098.25012
29,0.233,-182.16313,24.54388,1086.88403,-124.76797,-108.60241,1074.86243,-151.03824,178.10133,1098.11401
30,0.242,-182.16313,24.54388,1086.88403,-124.76797,-108.60241,1074.86243,-151.18845,177.70174,1098.18066
