Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,331.35275,-57.50667,271.92551,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
2,0.008,331.35275,-57.50667,271.92551,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
3,0.017,331.35275,-57.50667,271.92551,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
4,0.025,332.20471,-57.53336,272.03537,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
5,0.033,331.24362,-57.44429,272.11133,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
6,0.042,331.24362,-57.44429,272.11133,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
7,0.05,332.20471,-57.53336,272.03537,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
8,0.058,332.20471,-57.53336,272.03537,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
9,0.067,331.31055,-58.12669,271.48975,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
10,0.075,332.20471,-57.53336,272.03537,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
11,0.083,332.20471,-57.53336,272.03537,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
12,0.092,331.16141,-57.77007,271.94296,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
13,0.1,332.20471,-57.53336,272.03537,238.1884,-104.54416,76.9277,250.20712,-15.03602,78.54697
14,0.108,331.31055,-58.12669,271.48975,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
15,0.117,332.20471,-57.53336,272.03537,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
16,0.125,331.35275,-57.50667,271.92551,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
17,0.133,332.0134,-57.79682,272.05289,238.1884,-104.54416,76.9277,250.63399,-14.7874,78.94967
18,0.142,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.63399,-14.7874,78.94967
19,0.15,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.20712,-15.03602,78.54697
20,0.158,331.16141,-57.77007,271.94296,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
21,0.167,331.1192,-58.38995,271.5072,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
22,0.175,331.00882,-57.77297,272.12863,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
23,0.183,331.70117,-58.20097,271.72565,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
24,0.192,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
25,0.2,331.70117,-58.20097,271.72565,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
26,0.208,332.0134,-57.79682,272.05289,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
27,0.217,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
28,0.225,331.70117,-58.20097,271.72565,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
29,0.233,331.16141,-57.77007,271.94296,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
30,0.242,331.70117,-58.20097,271.72565,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
31,0.25,330.93188,-58.53141,271.62158,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
32,0.258,331.1192,-58.38995,271.5072,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
33,0.267,331.1192,-58.38995,271.5072,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
34,0.275,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,253.16951,-16.51003,78.67818
35,0.283,331.1192,-58.38995,271.5072,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
36,0.292,331.58148,-58.23536,271.84485,238.1884,-104.54416,76.9277,252.91721,-16.86666,78.09163
37,0.3,331.16141,-57.77007,271.94296,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
38,0.308,331.70117,-58.20097,271.72565,238.1884,-104.54416,76.9277,251.40633,-14.86207,79.36124
39,0.317,331.70117,-58.20097,271.72565,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
40,0.325,330.9826,-57.88065,272.0723,238.1884,-104.54416,76.9277,250.97919,-15.11058,78.9586
41,0.333,330.9404,-58.50051,271.63654,238.1884,-104.54416,76.9277,252.91721,-16.86666,78.09163
42,0.342,331.70117,-58.20097,271.72565,238.1884,-104.54416,76.9277,252.91721,-16.86666,78.09163
43,0.35,330.68918,-58.59767,271.84363,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
44,0.358,330.86798,-58.48708,271.71429,238.03613,-104.80497,76.868,252.91721,-16.86666,78.09163
45,0.367,330.68918,-58.59767,271.84363,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
46,0.375,330.9404,-58.50051,271.63654,238.1884,-104.54416,76.9277,253.16951,-16.51003,78.67818
47,0.383,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
48,0.392,330.9404,-58.50051,271.63654,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
49,0.4,330.68918,-58.59767,271.84363,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
50,0.408,330.68918,-58.59767,271.84363,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
51,0.417,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,252.91721,-16.86666,78.09163
52,0.425,330.9404,-58.50051,271.63654,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
53,0.433,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
54,0.442,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
55,0.45,331.16141,-57.77007,271.94296,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
56,0.458,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
57,0.467,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
58,0.475,331.83463,-57.90747,272.18222,238.03613,-104.80497,76.868,252.91721,-16.86666,78.09163
59,0.483,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,252.91721,-16.86666,78.09163
60,0.492,331.16141,-57.77007,271.94296,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
61,0.5,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
62,0.508,332.0134,-57.79682,272.05289,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
63,0.517,331.16141,-57.77007,271.94296,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
64,0.525,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
65,0.533,332.0134,-57.79682,272.05289,238.03613,-104.80497,76.868,251.40633,-14.86207,79.36124
66,0.542,331.1192,-58.38995,271.5072,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
67,0.55,332.0134,-57.79682,272.05289,238.03613,-104.80497,76.868,250.97919,-15.11058,78.9586
