Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-107.01976,-47.06308,1020.15192,-116.52644,104.3798,1041.073,-251.56554,-40.98895,1000.42108,-259.34656,107.10139,1016.73004,-265.94482,-45.83406,891.83752
2,0.008,-107.02481,-47.12953,1020.06226,-116.49848,104.58334,1040.6239,-251.56554,-40.98895,1000.42108,-258.90134,107.09805,1016.66748,-266.12756,-45.80428,892.07391
3,0.017,-107.4221,-47.0858,1020.07898,-115.82526,103.73004,1041.62988,-251.56554,-40.98895,1000.42108,-258.8049,107.21814,1016.53839,-265.94482,-45.83406,891.83752
4,0.025,-107.01976,-47.06308,1020.15192,-115.82526,103.73004,1041.62988,-251.56554,-40.98895,1000.42108,-258.8049,107.21814,1016.53839,-265.94482,-45.83406,891.83752
5,0.033,-107.4221,-47.0858,1020.07898,-115.82526,103.73004,1041.62988,-251.56554,-40.98895,1000.42108,-258.8049,107.21814,1016.53839,-265.94482,-45.83406,891.83752
6,0.042,-107.01976,-47.06308,1020.15192,-115.82526,103.73004,1041.62988,-251.56554,-40.98895,1000.42108,-258.90134,107.09805,1016.66748,-265.94482,-45.83406,891.83752
7,0.05,-106.68406,-47.10524,1020.13086,-115.82526,103.73004,1041.62988,-251.56554,-40.98895,1000.42108,-258.90134,107.09805,1016.66748,-265.51346,-46.2006,891.91516
8,0.058,-107.01976,-47.06308,1020.15192,-114.90428,103.01469,1041.93762,-251.56554,-40.98895,1000.42108,-258.76727,107.2644,1016.78015,-265.94482,-45.83406,891.83752
9,0.067,-106.38763,-47.02753,1020.26654,-114.90428,103.01469,1041.93762,-251.56554,-40.98895,1000.42108,-258.90134,107.09805,1016.66748,-265.51346,-46.2006,891.91516
10,0.075,-106.28192,-47.14183,1020.12439,-114.90428,103.01469,1041.93762,-251.56554,-40.98895,1000.42108,-258.90134,107.09805,1016.66748,-265.29688,-46.39197,892.18884
11,0.083,-106.61184,-47.21652,1019.98932,-114.90428,103.01469,1041.93762,-251.56554,-40.98895,1000.42108,-258.90134,107.09805,1016.66748,-265.18018,-46.45668,892.19989
12,0.092,-106.68406,-47.10524,1020.13086,-115.86588,102.75281,1042.06775,-251.56554,-40.98895,1000.42108,-258.8049,107.21814,1016.53839,-265.27094,-46.66005,892.30847
