Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,322.34488,-177.14941,1079.15271,350.2518,-134.37416,1039.35522,397.09366,-118.38938,1033.46643,437.86096,-117.24458,1016.79645,412.99634,-169.53772,1100.81689,466.95566,-163.7411,1076.53528,500.9903,-171.3335,1061.41589
2,0.008,322.10138,-175.72758,1080.47131,350.20264,-128.31039,1041.10095,396.65118,-116.14096,1035.0592,437.37186,-114.08633,1018.38348,413.3566,-166.37242,1102.64917,466.75555,-160.85545,1077.65808,500.8045,-167.74136,1063.12439
3,0.017,322.2236,-173.86464,1081.54565,351.94443,-128.34062,1044.27234,395.12039,-110.17723,1036.47437,437.05096,-112.48604,1019.88904,413.31839,-162.67146,1104.65161,466.18829,-157.86687,1079.61011,501.35712,-164.74153,1065.7323
4,0.025,322.51114,-171.1051,1083.60083,351.21652,-127.44934,1044.34021,396.5665,-111.10401,1037.36487,437.58847,-108.61151,1021.96368,412.74753,-159.99538,1106.38184,467.18356,-154.45609,1081.66064,500.2894,-161.19348,1067.66284
5,0.033,322.18573,-169.19798,1084.80298,351.72412,-125.49544,1046.31812,396.69189,-109.33913,1039.25891,436.65479,-106.25338,1024.15015,412.51828,-158.85118,1108.49695,466.61432,-152.08302,1083.15759,500.69,-159.34743,1069.47534
6,0.042,322.3374,-167.02164,1085.90466,351.2627,-118.97546,1048.02722,394.8989,-106.35676,1041.15271,436.80325,-103.74223,1026.11963,412.71301,-154.09793,1109.95142,465.94754,-149.28302,1085.78711,501.5817,-155.38599,1072.03333
7,0.05,321.97028,-164.36359,1088.58423,350.91074,-118.82249,1049.2467,394.2493,-101.63128,1043.16797,436.00479,-101.97137,1027.99646,412.17612,-151.76454,1112.2135,466.5889,-145.83546,1088.46765,500.64841,-151.66844,1074.25671
8,0.058,322.14578,-162.37108,1090.01099,350.88934,-118.09826,1050.40723,394.14532,-99.08263,1045.11633,436.10806,-97.61472,1030.26294,411.56866,-151.20705,1114.25659,466.10526,-143.26823,1090.75378,500.89075,-149.53613,1077.19531
9,0.067,321.74316,-160.47125,1091.02783,351.74084,-118.20903,1052.66565,395.08121,-99.23589,1047.4939,435.63434,-96.03428,1032.17444,411.5325,-147.44742,1116.59814,465.68219,-140.85927,1092.94971,500.67828,-146.00812,1079.47632
10,0.075,321.90472,-158.53021,1094.26147,350.95108,-114.08738,1053.60522,393.44489,-94.93233,1049.41235,435.18008,-92.96027,1035.18127,410.85358,-144.55327,1118.48914,464.97418,-137.61589,1095.35254,500.13574,-143.38737,1082.86011
11,0.083,321.78162,-156.69701,1095.21436,351.16928,-111.05,1055.78101,393.97488,-92.04058,1051.43213,434.7005,-90.57767,1036.75671,411.05829,-141.92996,1120.76733,465.01743,-135.2594,1097.63538,500.41684,-140.61812,1084.42212
12,0.092,320.79193,-154.04356,1097.0957,350.89291,-110.02302,1059.922,393.16495,-90.56042,1053.61108,434.92532,-88.55351,1039.17505,410.33554,-140.80859,1122.9436,464.47794,-132.70007,1100.92346,499.58652,-137.40202,1088.29517
13,0.1,321.1236,-152.35449,1099.21033,349.0423,-108.59463,1060.83972,393.13977,-89.15246,1055.72498,434.89517,-85.83784,1041.99377,409.70929,-137.62958,1125.33752,463.41263,-129.54846,1103.02856,499.1218,-133.98804,1090.1886
14,0.108,319.45645,-150.33746,1100.91516,350.15298,-104.86845,1062.68909,392.49139,-86.09552,1058.86523,433.88202,-82.58417,1043.45459,409.72348,-136.5354,1127.8717,463.22772,-126.54196,1105.8241,498.88004,-132.08092,1093.58325
15,0.117,319.13495,-148.3983,1103.14294,348.41058,-103.53742,1064.17505,391.86316,-84.59565,1059.39661,434.14987,-80.24996,1046.32605,407.60919,-131.70822,1130.53235,462.61078,-124.79952,1108.53308,498.47647,-129.13138,1096.35864
16,0.125,319.25507,-146.31,1105.03992,348.54013,-101.2158,1066.02002,392.59656,-82.92613,1062.17456,434.34686,-78.63479,1048.97388,407.53406,-130.85767,1132.54065,462.01697,-121.9428,1111.61084,498.50247,-126.79503,1099.44324
17,0.133,318.99756,-145.03188,1106.48096,347.26859,-98.81569,1070.61548,391.3309,-79.75391,1065.55969,432.9451,-76.38396,1051.53809,406.70413,-128.93381,1134.77893,461.34818,-120.85995,1114.05554,497.75858,-124.2476,1103.41846
18,0.142,318.22272,-143.26501,1109.15234,347.34366,-98.54053,1072.11206,389.15933,-77.08727,1066.59924,432.28885,-73.34269,1054.13477,405.83289,-126.2696,1137.06836,460.87335,-116.98624,1116.43457,497.33527,-121.59686,1105.34985
19,0.15,317.71075,-141.06837,1111.03503,347.17657,-97.55549,1072.80505,389.49799,-77.41618,1068.67505,431.21674,-73.11941,1056.37476,406.05664,-124.87776,1140.27234,460.05511,-114.4558,1119.21216,495.87122,-119.64634,1107.85352
20,0.158,317.6582,-140.67561,1113.00757,347.27667,-92.46852,1075.78003,389.01013,-74.29243,1070.51367,430.87256,-68.9398,1060.00073,405.06949,-122.41809,1142.62366,459.35791,-113.6895,1122.24329,494.87308,-116.89014,1111.11987
21,0.167,317.31787,-137.94727,1115.61206,346.03036,-91.58712,1076.04065,387.61496,-71.78043,1073.9165,430.50232,-67.21008,1061.55859,403.74582,-120.08363,1144.93677,458.92426,-110.35061,1125.2832,494.6012,-115.06867,1114.10144
22,0.175,315.16046,-136.25542,1116.771,345.36374,-90.2078,1080.06665,388.04065,-70.63966,1076.36145,429.7851,-65.50485,1064.50378,402.93167,-117.4157,1146.91528,458.35156,-107.89299,1126.85425,494.62448,-111.18622,1116.55945
23,0.183,314.9527,-134.22769,1119.72217,342.9838,-89.48771,1081.90308,386.98804,-68.11034,1078.97742,429.26309,-62.81406,1067.04504,401.65656,-114.79167,1150.23157,457.04434,-106.70779,1130.98193,493.34732,-109.85725,1119.07349
24,0.192,314.42191,-133.22305,1121.70081,342.02545,-86.31757,1085.23767,384.89526,-66.29329,1080.8479,427.9068,-60.98103,1068.96399,401.2616,-114.31306,1152.47791,456.27048,-104.55144,1132.71338,492.8674,-107.91558,1122.40002
25,0.2,313.3439,-131.2767,1124.44128,342.30917,-85.51967,1087.25427,385.15771,-64.53262,1083.40137,427.12149,-59.999,1072.01501,400.11975,-111.08327,1155.15454,455.55783,-100.67826,1135.87866,491.66052,-106.13134,1124.97253
26,0.208,313.13885,-130.12994,1126.45959,341.34131,-84.47316,1088.86743,384.18744,-63.87725,1086.53186,425.82327,-58.32259,1074.69482,399.30548,-109.30408,1157.09424,454.51779,-100.17332,1137.65735,490.89487,-103.21816,1128.38721
27,0.217,312.79776,-128.64777,1128.5011,341.91068,-85.12292,1090.77917,383.57764,-62.30576,1089.24438,424.70819,-55.57948,1076.69263,398.89413,-107.58804,1160.58813,453.36139,-97.7081,1141.88623,490.16202,-101.52306,1131.33923
28,0.225,311.88712,-128.02959,1131.18823,342.69296,-84.74062,1093.40222,382.15475,-60.01507,1091.67932,424.09067,-54.54895,1080.8125,397.40311,-104.9232,1163.26575,451.43472,-95.33956,1143.91541,489.19885,-98.3651,1135.28418
29,0.233,309.85046,-125.4115,1133.30908,339.64139,-80.9999,1096.32849,382.54187,-59.61501,1092.60193,423.59818,-52.12094,1082.32837,396.16461,-104.34469,1166.43164,450.66934,-94.35186,1148.03992,487.96552,-96.96311,1138.06726
30,0.242,309.23099,-124.43697,1136.09863,338.4122,-78.6216,1100.17346,381.15182,-56.94871,1097.98511,422.62604,-49.52543,1086.36829,395.34512,-102.19512,1168.78345,450.19119,-91.81342,1150.79761,487.29749,-95.922,1141.56372
31,0.25,308.7027,-124.07457,1138.05798,338.26877,-78.4893,1101.21582,379.63641,-56.71904,1098.7887,421.87012,-49.28714,1088.9635,394.17789,-101.19753,1172.11865,448.94116,-90.29038,1154.14502,486.07092,-93.3848,1144.79187
32,0.258,307.23825,-121.95345,1141.2655,337.41162,-75.40019,1105.41846,378.77313,-53.01124,1102.54333,420.90253,-48.32856,1092.08289,392.16895,-99.99451,1174.31519,448.03455,-88.22571,1157.48462,484.75143,-92.64477,1149.26477
33,0.267,305.65305,-120.85651,1143.37476,336.9151,-77.08502,1107.62988,377.37073,-51.73138,1105.90625,419.18988,-47.37962,1095.87891,391.26419,-98.08611,1178.05151,447.02835,-86.77364,1161.32568,484.12521,-88.99037,1152.22046
34,0.275,304.927,-120.35587,1146.52722,336.18097,-74.71787,1108.77637,377.09549,-50.72916,1108.81921,419.21036,-45.49583,1097.57837,390.09012,-97.11334,1180.79431,445.58777,-84.7999,1164.46094,483.10004,-87.08983,1156.35901
