Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,314.91208,312.03406,1333.23035,383.16135,298.87534,1314.00806,381.74969,271.16785,1385.02234
2,0.008,316.45935,309.77588,1333.6543,383.40384,298.61166,1313.85254,381.63541,271.11783,1384.927
3,0.017,315.18036,311.82407,1332.99341,383.40384,298.61166,1313.85254,381.99435,270.89966,1384.93665
4,0.025,314.91208,312.03406,1333.23035,383.40384,298.61166,1313.85254,381.74969,271.16785,1385.02234
5,0.033,314.21912,313.53287,1332.98657,383.40384,298.61166,1313.85254,381.74969,271.16785,1385.02234
6,0.042,314.48749,313.32251,1332.74963,383.40384,298.61166,1313.85254,381.99435,270.89966,1384.93665
7,0.05,314.48749,313.32251,1332.74963,383.40384,298.61166,1313.85254,381.99435,270.89966,1384.93665
8,0.058,314.48749,313.32251,1332.74963,383.40384,298.61166,1313.85254,381.99435,270.89966,1384.93665
9,0.067,315.18036,311.82407,1332.99341,383.40384,298.61166,1313.85254,381.99435,270.89966,1384.93665
10,0.075,314.62122,313.06577,1332.49561,383.40384,298.61166,1313.85254,382.51025,270.82849,1384.80115
11,0.083,314.91208,312.03406,1333.23035,383.70987,298.49271,1313.65845,382.51025,270.82849,1384.80115
12,0.092,315.65186,311.45462,1332.57727,382.84433,298.30356,1313.47986,382.67728,270.84372,1384.77576
13,0.1,315.31403,311.56763,1332.7395,382.84433,298.30356,1313.47986,382.7424,270.91531,1384.68311
14,0.108,315.31403,311.56763,1332.7395,382.84433,298.30356,1313.47986,382.50485,270.56207,1384.35498
15,0.117,315.03354,311.77356,1332.97473,383.45605,298.13229,1313.28674,382.37604,270.24768,1384.2229
16,0.125,315.31403,311.56763,1332.7395,383.45605,298.13229,1313.28674,382.98743,269.54755,1384.27283
17,0.133,315.18036,311.82407,1332.99341,383.45605,298.13229,1313.28674,383.05258,269.61917,1384.18018
18,0.142,315.31403,311.56763,1332.7395,383.45605,298.13229,1313.28674,383.05258,269.61917,1384.18018
19,0.15,315.31403,311.56763,1332.7395,383.45605,298.13229,1313.28674,383.05258,269.61917,1384.18018
20,0.158,315.65186,311.45462,1332.57727,383.45605,298.13229,1313.28674,383.21213,269.00629,1384.0343
21,0.167,315.31403,311.56763,1332.7395,383.52554,298.33923,1313.09021,383.21213,269.00629,1384.0343
22,0.175,315.31403,311.56763,1332.7395,383.45605,298.13229,1313.28674,383.21213,269.00629,1384.0343
23,0.183,315.31403,311.56763,1332.7395,383.45605,298.13229,1313.28674,383.26437,268.64059,1383.98743
24,0.192,315.03354,311.77356,1332.97473,382.91391,298.51056,1313.28333,383.26437,268.64059,1383.98743
25,0.2,315.31403,311.56763,1332.7395,381.95444,296.96213,1313.79077,383.09048,268.62897,1384.00842
26,0.208,315.31403,311.56763,1332.7395,381.95444,296.96213,1313.79077,382.42059,268.18137,1383.74121
27,0.217,315.64423,311.09628,1332.25793,382.00598,296.61649,1313.61523,382.42059,268.18137,1383.74121
28,0.225,314.96414,311.44717,1332.69507,382.00598,296.61649,1313.61523,382.41895,267.93478,1383.80798
29,0.233,315.65186,311.45462,1332.57727,382.00598,296.61649,1313.61523,382.10031,267.29745,1383.70618
30,0.242,315.27643,311.2522,1332.46387,382.00598,296.61649,1313.61523,382.10031,267.29745,1383.70618
31,0.25,314.96414,311.44717,1332.69507,382.00598,296.61649,1313.61523,381.80316,266.45749,1383.74036
32,0.258,315.27643,311.2522,1332.46387,382.29333,295.93713,1313.76501,381.80316,266.45749,1383.74036
33,0.267,314.96414,311.44717,1332.69507,381.12561,295.43961,1313.58765,381.5946,266.1181,1384.01416
34,0.275,314.74112,311.61731,1333.2428,381.12561,295.43961,1313.58765,381.5946,266.1181,1384.01416
35,0.283,314.74112,311.61731,1333.2428,381.73743,295.40176,1313.78516,381.5946,266.1181,1384.01416
36,0.292,314.72595,312.09903,1333.42493,380.87854,295.21933,1313.42285,381.39026,265.65927,1384.05823
37,0.3,314.52332,312.2518,1333.57434,381.73743,295.40176,1313.78516,381.39026,265.65927,1384.05823
38,0.308,314.58496,312.55942,1333.7583,380.87854,295.21933,1313.42285,381.59357,265.3302,1384.23926
39,0.317,314.72595,312.09903,1333.42493,380.87854,295.21933,1313.42285,381.59357,265.3302,1384.23926
40,0.325,314.52332,312.2518,1333.57434,380.87854,295.21933,1313.42285,381.27615,265.43521,1384.42114
41,0.333,314.58496,312.55942,1333.7583,380.87854,295.21933,1313.42285,381.27615,265.43521,1384.42114
42,0.342,314.86746,311.28784,1333.19885,380.87854,295.21933,1313.42285,381.27615,265.43521,1384.42114
43,0.35,314.42377,311.22864,1333.27136,381.12561,295.43961,1313.58765,381.06354,265.44589,1384.41541
44,0.358,314.66483,311.44043,1333.34827,380.87854,295.21933,1313.42285,381.28482,265.06586,1384.49207
45,0.367,314.11877,311.18747,1333.32141,380.87854,295.21933,1313.42285,381.28482,265.06586,1384.49207
46,0.375,314.37234,310.33838,1332.96094,380.87854,295.21933,1313.42285,381.0722,265.07654,1384.48633
47,0.383,313.922,310.33682,1333.04175,380.62653,295.25272,1313.39697,381.0722,265.07654,1384.48633
48,0.392,314.01447,310.42114,1333.52246,380.62653,295.25272,1313.39697,381.0722,265.07654,1384.48633
49,0.4,313.922,310.33682,1333.04175,380.62653,295.25272,1313.39697,381.0722,265.07654,1384.48633
50,0.408,313.70969,310.40167,1333.54199,380.5062,294.95261,1312.53979,381.38965,264.97159,1384.30457
51,0.417,313.69858,310.21201,1333.36841,380.5062,294.95261,1312.53979,381.18637,265.30066,1384.12354
52,0.425,313.1347,309.17593,1333.38232,380.30441,295.03958,1312.44788,381.21692,265.32584,1383.78125
53,0.433,312.42911,310.01956,1333.17615,380.30441,295.03958,1312.44788,380.70956,264.97183,1383.69714
54,0.442,312.67941,309.14996,1332.79431,380.10291,294.99283,1312.51453,380.66077,265.06708,1383.57849
55,0.45,311.98694,310.64807,1332.55017,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
56,0.458,312.67941,309.14996,1332.79431,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
57,0.467,312.67941,309.14996,1332.79431,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
58,0.475,311.95752,311.20322,1333.24512,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
59,0.483,311.98694,310.64807,1332.55017,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
60,0.492,312.67941,309.14996,1332.79431,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
61,0.5,311.95752,311.20322,1333.24512,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
62,0.508,311.95752,311.20322,1333.24512,380.10291,294.99283,1312.51453,380.23267,264.95035,1383.22485
63,0.517,311.98694,310.64807,1332.55017,380.10291,294.99283,1312.51453,380.23267,264.95035,1383.22485
64,0.525,311.95752,311.20322,1333.24512,380.10291,294.99283,1312.51453,380.04861,265.04471,1383.45105
65,0.533,311.77481,310.44492,1333.38782,380.10291,294.99283,1312.51453,380.09738,264.94949,1383.56958
66,0.542,311.32281,311.25815,1332.99365,380.10291,294.99283,1312.51453,380.06381,265.1297,1383.86572
67,0.55,311.32281,311.25815,1332.99365,380.10291,294.99283,1312.51453,379.88565,265.13657,1384.16589
68,0.558,311.21381,311.39578,1333.56165,380.10291,294.99283,1312.51453,379.88565,265.13657,1384.16589
69,0.567,311.21381,311.39578,1333.56165,379.91785,295.21237,1312.97986,380.08893,264.80753,1384.34692
70,0.575,311.1362,311.1741,1333.74719,380.22333,295.29309,1313.3717,380.51099,264.73947,1384.36389
71,0.583,311.18457,310.67828,1334.13672,380.22333,295.29309,1313.3717,380.75616,264.75403,1384.56836
72,0.592,311.62924,311.35757,1334.55945,380.20868,295.05341,1313.65808,380.75616,264.75403,1384.56836
73,0.6,311.79153,311.69653,1334.83252,380.16855,294.94373,1313.79016,380.63568,264.82681,1384.68579
74,0.608,311.79153,311.69653,1334.83252,380.28973,294.81128,1313.94031,380.63568,264.82681,1384.68579
75,0.617,311.79153,311.69653,1334.83252,379.98318,294.93045,1314.13477,380.63568,264.82681,1384.68579
76,0.625,311.79153,311.69653,1334.83252,380.10443,294.73819,1314.35645,380.63568,264.82681,1384.68579
77,0.633,311.79153,311.69653,1334.83252,380.10443,294.73819,1314.35645,379.98068,264.78473,1384.85925
78,0.642,311.79153,311.69653,1334.83252,380.10443,294.73819,1314.35645,379.74628,264.82483,1385.4104
79,0.65,311.79153,311.69653,1334.83252,380.10443,294.73819,1314.35645,379.80283,264.91116,1385.20251
80,0.658,312.02881,311.70605,1334.79712,380.10443,294.73819,1314.35645,380.43817,264.70032,1384.83875
81,0.667,311.79153,311.69653,1334.83252,380.10443,294.73819,1314.35645,380.43817,264.70032,1384.83875
82,0.675,312.02881,311.70605,1334.79712,380.10443,294.73819,1314.35645,380.43817,264.70032,1384.83875
83,0.683,311.62924,311.35757,1334.55945,380.10443,294.73819,1314.35645,380.43817,264.70032,1384.83875
84,0.692,311.62924,311.35757,1334.55945,380.41101,294.61902,1314.16199,380.43817,264.70032,1384.83875
85,0.7,311.41345,311.08072,1334.35168,380.34366,294.70575,1314.06262,380.63568,264.82681,1384.68579
86,0.708,311.41345,311.08072,1334.35168,380.34366,294.70575,1314.06262,380.51099,264.73947,1384.36389
87,0.717,311.18457,310.67828,1334.13672,380.54074,294.66724,1313.38208,380.08893,264.80753,1384.34692
88,0.725,313.77646,304.2511,1333.98108,380.2352,294.58661,1312.99023,380.08893,264.80753,1384.34692
89,0.733,313.77646,304.2511,1333.98108,380.04813,294.64359,1312.93311,380.0499,264.5412,1384.05249
90,0.742,313.72595,304.93536,1333.51416,380.10291,294.99283,1312.51453,380.72275,264.5524,1383.7677
91,0.75,313.64316,305.28741,1333.2959,380.10291,294.99283,1312.51453,380.72275,264.5524,1383.7677
92,0.758,313.75,305.8429,1333.84937,380.10291,294.99283,1312.51453,380.9465,264.46255,1383.58215
93,0.767,313.81143,306.89853,1333.70239,380.10291,294.99283,1312.51453,380.9465,264.46255,1383.58215
94,0.775,313.81143,306.89853,1333.70239,380.10291,294.99283,1312.51453,380.89771,264.55783,1383.4635
95,0.783,313.81143,306.89853,1333.70239,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
96,0.792,313.81143,306.89853,1333.70239,380.10291,294.99283,1312.51453,380.6944,264.88681,1383.28235
97,0.8,313.81143,306.89853,1333.70239,380.22516,294.79575,1311.62366,380.56995,264.75922,1382.76001
98,0.808,313.9277,307.08835,1333.58936,380.22516,294.79575,1311.62366,380.56995,264.75922,1382.76001
99,0.817,314.1337,306.52148,1333.31445,380.51205,294.3324,1310.95239,380.56995,264.75922,1382.76001
100,0.825,314.09628,307.06412,1333.05334,380.71365,294.37906,1310.88586,380.56995,264.75922,1382.76001
101,0.833,314.45786,306.36996,1332.9928,380.51205,294.3324,1310.95239,380.56995,264.75922,1382.76001
102,0.842,314.54626,307.71832,1332.69666,380.71365,294.37906,1310.88586,380.56995,264.75922,1382.76001
103,0.85,314.38525,307.72849,1332.71851,380.71365,294.37906,1310.88586,380.70575,264.87128,1382.42627
104,0.858,314.38525,307.72849,1332.71851,380.71365,294.37906,1310.88586,380.70575,264.87128,1382.42627
105,0.867,314.38525,307.72849,1332.71851,380.52826,294.59949,1311.35071,380.70575,264.87128,1382.42627
106,0.875,314.15775,308.11902,1332.90649,380.22516,294.79575,1311.62366,380.70575,264.87128,1382.42627
107,0.883,314.15775,308.11902,1332.90649,380.42673,294.84241,1311.55701,380.60532,265.41321,1383.01624
108,0.892,313.95163,308.68585,1333.18152,380.12009,295.0274,1311.94678,380.60532,265.41321,1383.01624
109,0.9,313.85229,308.48596,1333.29663,380.10291,294.99283,1312.51453,380.60532,265.41321,1383.01624
110,0.908,313.85229,308.48596,1333.29663,380.10291,294.99283,1312.51453,380.14374,265.47672,1382.95862
111,0.917,313.7529,308.28622,1333.41187,379.81561,295.67221,1312.36475,379.78619,265.61807,1383.13184
112,0.925,312.76868,309.18958,1333.29053,379.81561,295.67221,1312.36475,379.75266,265.79831,1383.4281
113,0.933,312.76868,309.18958,1333.29053,379.81561,295.67221,1312.36475,379.75266,265.79831,1383.4281
114,0.942,312.76868,309.18958,1333.29053,379.81561,295.67221,1312.36475,379.40396,265.81918,1383.92163
115,0.95,312.76868,309.18958,1333.29053,379.81561,295.67221,1312.36475,379.72025,266.14185,1383.8396
116,0.958,311.91843,309.79401,1333.29626,379.81561,295.67221,1312.36475,379.72025,266.14185,1383.8396
117,0.967,310.75784,314.42163,1333.32129,379.81561,295.67221,1312.36475,379.67813,266.38541,1383.8905
118,0.975,310.99762,315.20609,1333.39221,379.63052,295.89178,1312.8302,379.39554,267.02139,1383.78247
119,0.983,310.99762,315.20609,1333.39221,379.81561,295.67221,1312.36475,379.39554,267.02139,1383.78247
120,0.992,310.99762,315.20609,1333.39221,379.81561,295.67221,1312.36475,379.44562,267.08014,1383.70654
121,1,310.99762,315.20609,1333.39221,379.63052,295.89178,1312.8302,379.24585,267.70145,1383.76794
122,1.008,310.99762,315.20609,1333.39221,379.65414,295.75531,1312.27539,379.24585,267.70145,1383.76794
123,1.017,310.99762,315.20609,1333.39221,379.81561,295.67221,1312.36475,379.18811,268.02994,1383.60034
124,1.025,310.99762,315.20609,1333.39221,379.65414,295.75531,1312.27539,379.37341,268.29736,1383.41797
125,1.033,311.72424,315.02771,1333.3418,379.41867,296.08881,1311.94995,379.37341,268.29736,1383.41797
126,1.042,311.72424,315.02771,1333.3418,379.41867,296.08881,1311.94995,379.37341,268.29736,1383.41797
127,1.05,311.72424,315.02771,1333.3418,379.41867,296.08881,1311.94995,379.26892,268.16959,1383.08508
128,1.058,311.60617,314.41901,1333.16479,379.1767,296.11325,1311.93481,379.26892,268.16959,1383.08508
129,1.067,311.48465,314.24341,1333.27087,379.1767,296.11325,1311.93481,379.26892,268.16959,1383.08508
130,1.075,310.75784,314.42163,1333.32129,379.24646,296.32019,1311.73828,379.34827,268.09943,1382.86121
131,1.083,311.49042,313.88394,1333.03723,379.24646,296.32019,1311.73828,379.20389,268.16238,1382.78723
132,1.092,310.76346,314.06219,1333.08765,379.24646,296.32019,1311.73828,378.8595,267.89844,1382.97131
133,1.1,310.75784,314.42163,1333.32129,379.24646,296.32019,1311.73828,378.64197,267.63898,1382.97681
134,1.108,310.47089,313.99814,1333.12012,379.01379,296.74356,1311.70313,378.41751,267.82565,1382.6322
135,1.117,311.59396,309.83762,1333.31311,379.24646,296.32019,1311.73828,378.2608,267.55194,1382.30994
136,1.125,311.44366,309.32318,1333.14453,379.01379,296.74356,1311.70313,378.29422,267.37158,1382.01343
137,1.133,311.27472,309.47885,1333.09595,379.01379,296.74356,1311.70313,378.28162,267.12399,1382.10986
138,1.142,311.27472,309.47885,1333.09595,379.01379,296.74356,1311.70313,377.82446,267.20853,1382.13025
139,1.15,311.27472,309.47885,1333.09595,378.70822,296.66345,1311.31152,377.82446,267.20853,1382.13025
140,1.158,311.27472,309.47885,1333.09595,378.70822,296.66345,1311.31152,377.57996,267.47702,1382.21606
141,1.167,311.27472,309.47885,1333.09595,378.70822,296.66345,1311.31152,377.50439,267.90097,1382.5636
142,1.175,310.18106,313.99567,1333.15906,379.01379,296.74356,1311.70313,377.50439,267.90097,1382.5636
143,1.183,310.15958,313.66309,1332.94946,379.01379,296.74356,1311.70313,377.50616,268.14777,1382.4967
144,1.192,310.15958,313.66309,1332.94946,379.01379,296.74356,1311.70313,377.08102,268.50507,1382.78369
145,1.2,310.18106,313.99567,1333.15906,378.89017,296.83545,1311.82874,377.25928,268.49817,1382.48315
146,1.208,310.18106,313.99567,1333.15906,378.89017,296.83545,1311.82874,377.08102,268.50507,1382.78369
147,1.217,310.35168,314.39401,1333.29626,378.82037,296.62851,1312.02539,377.14883,269.12198,1382.95374
148,1.225,310.3302,314.06143,1333.08679,378.82037,296.62851,1312.02539,377.88699,269.37689,1382.88879
149,1.233,310.35168,314.39401,1333.29626,378.89017,296.83545,1311.82874,378.07224,269.64407,1382.70654
150,1.242,310.49231,314.33072,1333.32959,378.82037,296.62851,1312.02539,378.15158,269.57391,1382.48254
151,1.25,310.64096,313.33957,1333.47717,378.89017,296.83545,1311.82874,378.29092,269.5452,1382.94067
152,1.258,310.64096,313.33957,1333.47717,379.01379,296.74356,1311.70313,378.58051,269.47424,1382.81421
153,1.267,310.9014,313.98956,1333.56726,378.94403,296.53662,1311.89966,378.91165,268.89035,1382.80249
154,1.275,310.9014,313.98956,1333.56726,379.01379,296.74356,1311.70313,379.22998,268.61926,1383.02637
155,1.283,310.9014,313.98956,1333.56726,379.01379,296.74356,1311.70313,379.21692,268.53564,1383.1322
156,1.292,310.73206,315.11511,1333.40039,379.1767,296.11325,1311.93481,379.21692,268.53564,1383.1322
157,1.3,310.99762,315.20609,1333.39221,379.1767,296.11325,1311.93481,378.97229,268.80414,1383.21802
158,1.308,310.99762,315.20609,1333.39221,378.9342,296.37686,1312.09058,378.89148,268.66452,1383.73328
159,1.317,310.99762,315.20609,1333.39221,378.9342,296.37686,1312.09058,378.73328,268.67126,1383.73059
160,1.325,310.73206,315.11511,1333.40039,378.74918,296.59647,1312.55615,378.56641,268.26364,1384.19397
161,1.333,310.73206,315.11511,1333.40039,378.98465,296.26294,1312.88159,378.24997,267.94098,1384.27612
