Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,124.47389,80.0648,1041.47656,209.86824,-116.55836,1040.48669,282.32068,214.14955,1032.44617
2,0.008,124.67634,80.07496,1041.46509,210.05241,-116.58641,1040.26892,282.32068,214.14955,1032.44617
3,0.017,124.47389,80.0648,1041.47656,209.75951,-116.19431,1040.71729,282.32068,214.14955,1032.44617
4,0.025,124.47389,80.0648,1041.47656,209.45107,-116.39536,1040.57703,282.68723,214.1998,1032.54297
5,0.033,124.42281,80.13387,1041.30432,209.45107,-116.39536,1040.57703,282.70078,214.30234,1032.48108
6,0.042,124.47389,80.0648,1041.47656,209.68536,-116.43926,1040.33374,282.33423,214.25209,1032.38428
7,0.05,124.47389,80.0648,1041.47656,209.45107,-116.39536,1040.57703,282.8284,214.18353,1032.34546
8,0.058,124.47389,80.0648,1041.47656,209.6088,-116.17277,1040.3418,282.00061,214.51968,1032.39905
9,0.067,124.47389,80.0648,1041.47656,209.45107,-116.39536,1040.57703,282.50845,214.5536,1032.29834
10,0.075,124.47389,80.0648,1041.47656,209.45107,-116.39536,1040.57703,282.54779,214.62837,1032.37524
11,0.083,124.47424,80.42566,1041.78723,209.45107,-116.39536,1040.57703,282.75732,214.62573,1032.17468
12,0.092,124.47424,80.42566,1041.78723,209.45107,-116.39536,1040.57703,282.50845,214.5536,1032.29834
13,0.1,124.47389,80.0648,1041.47656,209.34236,-116.03123,1040.80762,282.75732,214.62573,1032.17468
14,0.108,124.42313,80.49471,1041.61487,209.45107,-116.39536,1040.57703,282.50845,214.5536,1032.29834
15,0.117,124.42313,80.49471,1041.61487,209.45107,-116.39536,1040.57703,282.50845,214.5536,1032.29834
16,0.125,124.42313,80.49471,1041.61487,209.34236,-116.03123,1040.80762,282.50845,214.5536,1032.29834
17,0.133,124.07751,80.59249,1041.71045,209.45107,-116.39536,1040.57703,282.75732,214.62573,1032.17468
18,0.142,124.31856,80.19172,1041.24048,209.34236,-116.03123,1040.80762,282.24957,214.59177,1032.27539
19,0.15,124.16904,80.85636,1041.41333,208.88029,-115.81129,1040.74841,282.34152,214.71216,1032.39441
20,0.158,123.87982,81.03161,1041.45325,208.88029,-115.81129,1040.74841,282.75732,214.62573,1032.17468
21,0.167,124.16904,80.85636,1041.41333,209.03799,-115.58862,1040.51318,282.50845,214.5536,1032.29834
22,0.175,124.12115,80.99166,1041.29395,209.03799,-115.58862,1040.51318,282.50845,214.5536,1032.29834
23,0.183,124.12115,80.99166,1041.29395,208.88029,-115.81129,1040.74841,282.09256,214.64006,1032.51807
24,0.192,123.78833,80.76774,1041.75024,209.03799,-115.58862,1040.51318,282.40808,214.76936,1032.52698
25,0.2,123.87982,81.03161,1041.45325,209.03799,-115.58862,1040.51318,282.50845,214.5536,1032.29834
26,0.208,123.87982,81.03161,1041.45325,208.67255,-115.94981,1040.54114,282.09256,214.64006,1032.51807
27,0.217,123.87982,81.03161,1041.45325,208.5148,-116.17246,1040.77649,281.6825,214.55832,1032.53589
28,0.225,123.4157,81.04668,1041.33105,208.5148,-116.17246,1040.77649,281.6825,214.55832,1032.53589
29,0.233,123.53,81.64696,1041.19275,208.5148,-116.17246,1040.77649,281.6825,214.55832,1032.53589
30,0.242,123.99402,81.63197,1041.31482,208.45973,-115.97766,1040.88989,281.6825,214.55832,1032.53589
31,0.25,123.4157,81.04668,1041.33105,208.45973,-115.97766,1040.88989,281.6825,214.55832,1032.53589
32,0.258,123.4157,81.04668,1041.33105,208.14696,-116.25322,1040.76819,281.49304,214.69849,1032.47534
33,0.267,123.58493,81.25051,1041.20679,208.45973,-115.97766,1040.88989,281.80856,214.82776,1032.48425
34,0.275,123.4157,81.04668,1041.33105,207.67088,-116.04229,1040.77002,281.30655,214.51683,1032.59094
35,0.283,123.40262,81.75915,1041.0448,207.67088,-116.04229,1040.77002,281.11707,214.657,1032.53027
36,0.292,123.40262,81.75915,1041.0448,207.4081,-116.25907,1040.60291,281.11707,214.657,1032.53027
37,0.3,123.40262,81.75915,1041.0448,207.31096,-116.40323,1040.42651,281.11707,214.657,1032.53027
38,0.308,123.4209,81.94758,1040.87842,207.09808,-116.43108,1040.77539,281.11707,214.657,1032.53027
39,0.317,123.30654,81.3473,1041.01685,207.09808,-116.43108,1040.77539,280.3349,215.09082,1032.6145
40,0.325,123.30654,81.3473,1041.01685,207.09808,-116.43108,1040.77539,281.11707,214.657,1032.53027
41,0.333,123.28831,81.15883,1041.18323,206.98102,-116.45388,1041.07727,280.3349,215.09082,1032.6145
42,0.342,123.4209,81.94758,1040.87842,206.81726,-116.44378,1041.09937,280.3349,215.09082,1032.6145
43,0.35,122.94445,82.00671,1041.05017,206.31316,-116.25063,1041.22302,280.3349,215.09082,1032.6145
44,0.358,122.71556,82.00378,1040.91577,205.97412,-116.5825,1041.24438,280.05557,215.2036,1032.68347
45,0.367,122.71556,82.00378,1040.91577,205.27057,-116.25993,1041.20154,280.05557,215.2036,1032.68347
46,0.375,122.60107,81.40359,1041.0542,205.2536,-116.1855,1040.93018,280.3349,215.09082,1032.6145
47,0.383,122.60107,81.40359,1041.0542,205.2536,-116.1855,1040.93018,280.05557,215.2036,1032.68347
48,0.392,122.60107,81.40359,1041.0542,205.2536,-116.1855,1040.93018,280.05557,215.2036,1032.68347
49,0.4,122.61141,82.06151,1040.85205,204.92883,-116.25647,1040.61157,280.05557,215.2036,1032.68347
50,0.408,122.61141,82.06151,1040.85205,204.92883,-116.25647,1040.61157,280.05557,215.2036,1032.68347
51,0.417,122.51595,81.86693,1040.71033,204.94576,-116.33097,1040.88281,280.05557,215.2036,1032.68347
52,0.425,122.51595,81.86693,1040.71033,204.94576,-116.33097,1040.88281,279.73141,215.41577,1032.57898
53,0.433,122.51595,81.86693,1040.71033,204.92883,-116.25647,1040.61157,279.73141,215.41577,1032.57898
54,0.442,121.78187,81.77682,1040.78589,204.94576,-116.33097,1040.88281,279.73141,215.41577,1032.57898
55,0.45,121.80568,81.80459,1040.58252,204.92883,-116.25647,1040.61157,279.73141,215.41577,1032.57898
56,0.458,121.80568,81.80459,1040.58252,204.92883,-116.25647,1040.61157,279.73141,215.41577,1032.57898
57,0.467,121.80568,81.80459,1040.58252,204.92883,-116.25647,1040.61157,279.73141,215.41577,1032.57898
58,0.475,121.89633,82.37704,1040.64758,204.92883,-116.25647,1040.61157,279.73141,215.41577,1032.57898
59,0.483,121.89633,82.37704,1040.64758,204.94576,-116.33097,1040.88281,279.73141,215.41577,1032.57898
60,0.492,121.89633,82.37704,1040.64758,204.92883,-116.25647,1040.61157,279.73141,215.41577,1032.57898
61,0.5,121.78187,81.77682,1040.78589,204.94576,-116.33097,1040.88281,279.73141,215.41577,1032.57898
62,0.508,121.78187,81.77682,1040.78589,204.94576,-116.33097,1040.88281,279.73141,215.41577,1032.57898
63,0.517,121.78187,81.77682,1040.78589,204.94576,-116.33097,1040.88281,279.73141,215.41577,1032.57898
64,0.525,121.63848,81.83165,1040.95667,204.48848,-116.15961,1041.0094,279.73141,215.41577,1032.57898
65,0.533,121.42562,81.9474,1040.67761,204.48848,-116.15961,1041.0094,279.73141,215.41577,1032.57898
66,0.542,121.31193,81.98734,1040.8291,204.48848,-116.15961,1041.0094,279.73141,215.41577,1032.57898
67,0.55,121.42519,81.98521,1040.49976,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
68,0.558,121.53901,82.55485,1040.87756,204.48848,-116.15961,1041.0094,279.73141,215.41577,1032.57898
69,0.567,121.33563,82.65583,1041.00854,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
70,0.575,121.22129,82.05564,1041.14685,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
71,0.583,121.22129,82.05564,1041.14685,204.81322,-116.08858,1041.328,279.53522,215.32156,1032.46851
72,0.592,121.1298,81.79189,1041.44373,204.81322,-116.08858,1041.328,279.27515,215.21088,1032.37964
73,0.6,120.92751,81.78171,1041.4552,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
74,0.608,121.22129,82.05564,1041.14685,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
75,0.617,121.22875,82.84019,1041.16174,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
76,0.625,121.13335,82.64562,1041.02014,204.81322,-116.08858,1041.328,279.73141,215.41577,1032.57898
77,0.633,121.13335,82.64562,1041.02014,204.81322,-116.08858,1041.328,279.59891,215.31374,1032.49316
78,0.642,121.019,82.04546,1041.15833,204.81322,-116.08858,1041.328,279.3154,215.3848,1032.49744
79,0.65,121.019,82.04546,1041.15833,204.81322,-116.08858,1041.328,278.72556,215.22736,1032.42603
80,0.658,121.019,82.04546,1041.15833,204.81322,-116.08858,1041.328,278.52936,215.13316,1032.31555
81,0.667,121.019,82.04546,1041.15833,204.81322,-116.08858,1041.328,278.21109,215.04987,1032.42358
82,0.675,121.13335,82.64562,1041.02014,204.81322,-116.08858,1041.328,277.74991,214.88522,1032.44556
83,0.683,121.0207,82.67826,1040.83337,204.81322,-116.08858,1041.328,278.3219,215.08217,1032.44824
84,0.692,120.83133,82.80862,1040.7843,204.81322,-116.08858,1041.328,278.5181,215.17636,1032.55872
85,0.7,120.83133,82.80862,1040.7843,204.29707,-115.85228,1041.29663,278.5181,215.17636,1032.55872
86,0.708,120.78028,82.8775,1040.61194,204.29707,-115.85228,1041.29663,278.32028,214.96976,1032.51575
87,0.717,120.51147,82.17684,1040.64148,203.97243,-115.92324,1040.97791,277.74829,214.77278,1032.51306
