Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,1657.13953,236.63284,652.21301,1655.09888,282.63144,479.79895,1661.03601,374.83255,489.25644
2,0.008,1653.10559,236.32526,652.70288,1651.2041,282.82571,479.49454,1658.50842,375.99884,488.64594
3,0.017,1650.21411,234.84386,652.24683,1650.56531,282.67334,478.35669,1658.1062,376.3902,488.80975
4,0.025,1645.46301,236.69652,651.27435,1648.6001,282.41217,478.0741,1653.29565,373.78613,488.46756
5,0.033,1641.68933,235.41982,651.42084,1646.7345,281.33737,478.54968,1652.19043,375.85205,488.52371
6,0.042,1636.43835,235.5274,650.08069,1644.60205,280.73688,478.92343,1649.68665,374.97668,487.1875
7,0.05,1632.89197,235.98178,650.49554,1640.37329,281.63107,478.61694,1648.29822,375.6911,487.10471
8,0.058,1628.78943,237.24162,648.92181,1638.80872,281.64273,477.17944,1644.94275,375.07883,487.00204
9,0.067,1625.32996,235.41031,648.13916,1636.10022,280.82974,476.52371,1641.86255,374.28632,485.84689
10,0.075,1620.06726,237.63344,648.23022,1635.33179,281.24136,475.96399,1640.78162,374.91904,485.79233
11,0.083,1617.38599,237.78255,647.95892,1629.79236,282.0065,475.76273,1635.91443,374.0867,484.75949
12,0.092,1612.34167,240.27252,648.03662,1628.20789,281.90387,475.33191,1634.30469,375.44226,485.02719
13,0.1,1607.90979,236.53091,646.77466,1625.29541,280.25677,474.47836,1629.63892,374.56387,484.30365
14,0.108,1601.02429,238.19388,645.69806,1622.35266,281.49432,472.6528,1626.09546,374.75586,482.88672
15,0.117,1598.75867,236.50697,645.5755,1618.42651,280.78525,470.39227,1623.06909,375.04971,482.96396
16,0.125,1592.63745,239.16002,644.63513,1614.08777,282.56204,470.80994,1619.37598,375.10101,481.45563
17,0.133,1587.9491,237.00879,642.62555,1610.67578,281.26758,470.59045,1614.92065,375.66519,480.75174
18,0.142,1581.7489,236.68562,642.63202,1605.8573,280.48108,470.30176,1610.61597,375.99551,480.48065
19,0.15,1577.98511,239.57547,641.64532,1602.37402,283.01569,469.10855,1605.74121,374.94745,479.02304
20,0.158,1572.47095,237.13402,638.86365,1599.77551,282.12411,468.15762,1600.71667,376.185,478.0834
