Frame#,Time,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-1318.71082,-481.0098,1382.80774
2,0.008,-1310.47571,-481.75339,1383.21997
3,0.017,-1303.17664,-481.64014,1381.21362
4,0.025,-1296.58423,-480.58105,1381.35217
5,0.033,-1289.47046,-480.90073,1381.30322
6,0.042,-1280.83801,-480.74628,1379.98425
7,0.05,-1273.02405,-481.02734,1378.5105
8,0.058,-1265.41614,-479.30515,1378.80627
9,0.067,-1257.70972,-480.04764,1377.74878
10,0.075,-1250.56177,-479.11258,1376.73254
11,0.083,-1243.40234,-478.72186,1375.2478
12,0.092,-1234.07043,-477.05569,1374.62451
13,0.1,-1227.49646,-476.87216,1374.18262
14,0.108,-1218.88403,-476.05356,1372.10535
15,0.117,-1213.24792,-475.40164,1372.04321
16,0.125,-1203.18823,-475.73297,1370.70984
17,0.133,-1196.24341,-472.53479,1369.87451
18,0.142,-1188.69385,-471.90231,1368.18396
19,0.15,-1182.13562,-469.33731,1367.69653
20,0.158,-1174.53052,-468.87451,1366.61975
21,0.167,-1164.83826,-467.74512,1365.36841
22,0.175,-1158.01404,-465.41541,1364.54968
23,0.183,-1151.63501,-464.67599,1364.3656
24,0.192,-1142.23389,-462.88925,1364.10791
25,0.2,-1134.25793,-460.92993,1363.75537
26,0.208,-1126.35559,-460.573,1362.15698
27,0.217,-1118.52917,-458.37421,1362.41248
28,0.225,-1110.5094,-454.92398,1361.87793
29,0.233,-1102.33447,-453.43286,1362.04041
30,0.242,-1094.40845,-450.73264,1362.76282
31,0.25,-1088.5824,-448.98547,1363.4425
32,0.258,-1079.2699,-447.35156,1364.78333
33,0.267,-1070.12012,-445.41476,1364.55981
34,0.275,-1063.60901,-443.69128,1365.2738
35,0.283,-1055.453,-441.33432,1366.12817
36,0.292,-1047.66235,-439.67697,1367.30225
37,0.3,-1039.55688,-438.85699,1367.47839
38,0.308,-1032.31787,-436.70129,1368.70398
39,0.317,-1024.61096,-434.89786,1369.98193
40,0.325,-1017.50214,-434.03,1371.36536
41,0.333,-1009.12787,-432.17261,1372.71729
42,0.342,-1002.09625,-430.35382,1373.4137
43,0.35,-994.08978,-430.00223,1374.6781
44,0.358,-986.9223,-428.70203,1375.64233
45,0.367,-978.94391,-426.43933,1376.79565
46,0.375,-970.26941,-426.09341,1377.09192
47,0.383,-964.64777,-426.11322,1379.20508
48,0.392,-957.48566,-424.26248,1379.24707
49,0.4,-950.07825,-422.20999,1381.80566
50,0.408,-943.00806,-422.98361,1382.95435
51,0.417,-936.76294,-420.71594,1383.50439
52,0.425,-929.13788,-419.30841,1384.57837
53,0.433,-921.22461,-420.34915,1387.07178
54,0.442,-914.72101,-418.34012,1388.25464
55,0.45,-907.77454,-416.45486,1388.45715
56,0.458,-901.34692,-416.99506,1390.50537
57,0.467,-893.95148,-415.10678,1391.4884
58,0.475,-887.58484,-415.53235,1390.98914
59,0.483,-881.19403,-414.08179,1392.60498
60,0.492,-873.22571,-414.57349,1392.89111
61,0.5,-866.45776,-412.66681,1393.56116
62,0.508,-859.8797,-412.04221,1394.40747
63,0.517,-852.36633,-411.45001,1394.9137
64,0.525,-845.37152,-411.27054,1395.9386
65,0.533,-838.67413,-410.18481,1396.65808
66,0.542,-832.0235,-408.5415,1396.41211
67,0.55,-825.13263,-408.99857,1396.15894
68,0.558,-818.31329,-407.33093,1396.953
69,0.567,-812.00739,-407.3421,1397.23022
70,0.575,-804.37689,-405.61304,1395.62817
71,0.583,-796.77368,-405.53729,1395.55627
72,0.592,-790.14886,-405.15195,1395.89734
73,0.6,-783.33002,-404.66391,1395.32263
74,0.608,-776.31769,-403.97537,1395.43152
75,0.617,-769.33795,-404.82309,1395.59631
76,0.625,-760.70691,-403.07169,1393.77234
77,0.633,-755.15973,-403.44513,1393.63416
78,0.642,-747.50287,-402.44052,1393.5531
79,0.65,-740.63782,-403.02905,1392.62646
80,0.658,-731.89026,-401.29874,1392.33142
81,0.667,-726.64209,-402.05655,1390.74841
82,0.675,-718.77191,-400.64127,1390.55872
83,0.683,-710.31238,-399.59644,1389.20654
84,0.692,-703.38843,-400.65143,1388.57971
85,0.7,-694.41785,-400.50809,1387.37122
86,0.708,-688.32886,-401.48663,1386.01526
87,0.717,-681.10974,-400.57562,1385.41296
88,0.725,-672.99261,-400.94049,1383.24744
89,0.733,-666.25616,-399.94284,1381.85852
90,0.742,-658.45721,-400.39365,1381.03162
91,0.75,-650.30151,-401.21021,1378.60901
92,0.758,-642.81055,-400.73151,1377.96765
93,0.767,-633.94543,-401.24167,1376.01904
94,0.775,-626.51776,-399.78052,1375.24438
95,0.783,-619.18286,-399.89136,1373.63306
96,0.792,-610.86194,-399.81363,1371.72473
97,0.8,-602.71143,-400.69452,1370.24048
98,0.808,-595.16034,-401.10495,1368.90918
99,0.817,-586.67859,-400.53152,1367.93445
100,0.825,-578.56213,-401.47662,1366.06775
101,0.833,-570.45294,-401.43051,1365.76379
102,0.842,-561.76746,-401.63907,1364.03894
103,0.85,-553.37042,-402.67087,1364.01611
104,0.858,-544.55396,-402.19513,1363.66162
105,0.867,-536.48358,-401.87759,1362.39124
106,0.875,-527.49823,-402.5708,1362.71216
107,0.883,-518.5224,-402.4252,1363.28906
108,0.892,-509.25912,-402.99921,1362.90271
109,0.9,-500.47794,-403.45377,1364.23743
110,0.908,-491.91522,-402.6792,1364.71643
111,0.917,-482.86395,-404.06302,1365.47083
112,0.925,-473.18362,-405.2442,1366.98071
113,0.933,-464.66159,-404.77475,1368.13623
114,0.942,-456.19257,-405.7778,1369.35413
115,0.95,-446.77127,-407.23267,1370.77026
116,0.958,-437.70471,-408.50433,1371.98572
117,0.967,-429.34366,-408.74829,1373.7948
118,0.975,-420.26898,-409.7746,1374.91479
119,0.983,-411.77283,-411.12411,1376.1499
120,0.992,-402.552,-411.35815,1377.2616
121,1,-394.01773,-411.47791,1378.0647
122,1.008,-384.91992,-412.26913,1379.47668
123,1.017,-376.97113,-412.73279,1380.15405
124,1.025,-368.89386,-414.28458,1381.05884
125,1.033,-360.9093,-414.55988,1381.66724
126,1.042,-351.83777,-414.88367,1383.42236
127,1.05,-343.67017,-416.56323,1384.00488
128,1.058,-336.47919,-416.17032,1384.38586
129,1.067,-327.59628,-417.10358,1385.69336
130,1.075,-319.60129,-417.66772,1386.44934
131,1.083,-311.16174,-416.89496,1387.54871
132,1.092,-303.25793,-417.85608,1388.11047
133,1.1,-295.49161,-418.1842,1388.60315
134,1.108,-288.12112,-418.51065,1389.40637
135,1.117,-281.27939,-419.44479,1390.02112
136,1.125,-273.64172,-419.06833,1390.99841
137,1.133,-265.55466,-418.78104,1391.14172
138,1.142,-257.80563,-420.13385,1391.65588
139,1.15,-250.21495,-419.03195,1391.79565
140,1.158,-242.94859,-418.49609,1391.87305
141,1.167,-235.79701,-420.37283,1392.21484
142,1.175,-227.92079,-419.92303,1392.4259
143,1.183,-220.99557,-419.20181,1391.76306
144,1.192,-212.8822,-419.33557,1391.45203
145,1.2,-205.65945,-419.34406,1391.63806
146,1.208,-199.00987,-419.6098,1391.18909
147,1.217,-191.76959,-420.69122,1391.21082
148,1.225,-184.72458,-419.26926,1390.38965
149,1.233,-176.29031,-419.6181,1389.98462
150,1.242,-168.83295,-419.50299,1389.55066
151,1.25,-161.7697,-418.50671,1388.88489
152,1.258,-153.33272,-418.14395,1388.63269
153,1.267,-146.00446,-418.20776,1388.19556
154,1.275,-138.60899,-418.14258,1387.10779
155,1.283,-131.39259,-417.83292,1386.21655
156,1.292,-123.36276,-416.52249,1385.33167
157,1.3,-115.97728,-416.36444,1384.56714
158,1.308,-108.61776,-415.1138,1383.21484
159,1.317,-100.2438,-414.69156,1382.83838
160,1.325,-93.76487,-413.09186,1381.6532
161,1.333,-85.40157,-411.64975,1380.45288
162,1.342,-78.37654,-410.97919,1379.57629
163,1.35,-70.67515,-410.46323,1379.43152
164,1.358,-63.47047,-408.71909,1378.70618
165,1.367,-55.66509,-406.35345,1377.66394
166,1.375,-47.13094,-405.93814,1376.32727
167,1.383,-40.39192,-404.21585,1375.68909
168,1.392,-32.63488,-402.5412,1375.17065
169,1.4,-24.32513,-401.36853,1374.86951
170,1.408,-16.51265,-399.71094,1374.21887
171,1.417,-9.06068,-397.75043,1374.44629
172,1.425,-0.93231,-396.58643,1373.61401
173,1.433,7.37951,-395.36472,1373.53699
174,1.442,15.30623,-393.45898,1373.76196
175,1.45,23.00975,-391.83194,1374.21704
176,1.458,30.81347,-390.405,1374.8429
177,1.467,39.23867,-388.85254,1375.51599
178,1.475,47.32503,-387.04419,1376.39722
179,1.483,56.29265,-387.46765,1377.66626
180,1.492,63.02241,-384.87814,1377.4856
181,1.5,71.30223,-383.63501,1378.36768
182,1.508,79.44236,-382.45892,1379.55164
183,1.517,87.47285,-380.91092,1380.44934
184,1.525,94.99554,-380.28299,1381.3479
185,1.533,102.10271,-379.10464,1382.4176
186,1.542,109.77918,-377.74133,1382.54565
187,1.55,118.12933,-376.79465,1383.50159
188,1.558,125.53584,-374.59579,1384.38623
189,1.567,132.36684,-373.1308,1385.19312
190,1.575,141.74739,-372.73764,1386.66187
191,1.583,148.57661,-371.77066,1387.1676
192,1.592,156.59369,-371.71216,1388.44031
193,1.6,163.48332,-370.04688,1390.1001
194,1.608,171.01057,-370.33368,1392.15503
