Frame#,Time,R.ASIS.x,R.ASIS.y,R.ASIS.z
1,0,1689.07288,667.15448,1115.63965
2,0.008,1682.89478,667.90961,1116.80273
3,0.017,1675.36816,667.08527,1115.89502
4,0.025,1668.81848,666.98419,1115.64307
5,0.033,1663.51709,667.19189,1115.38208
6,0.042,1657.6178,666.44116,1114.74963
7,0.05,1651.53662,665.91663,1115.01489
8,0.058,1645.77197,667.03516,1113.59595
9,0.067,1639.34912,667.38873,1113.38049
10,0.075,1633.66211,666.90033,1111.74084
11,0.083,1626.26978,666.28632,1111.39758
12,0.092,1620.64783,666.94397,1109.63611
13,0.1,1614.2959,665.55731,1108.35059
14,0.108,1606.13184,666.19635,1107.06873
15,0.117,1600.16553,667.41418,1106.57434
16,0.125,1593.29932,665.97375,1105.44226
17,0.133,1586.172,665.93848,1104.41479
18,0.142,1578.84375,665.96942,1101.90125
19,0.15,1571.59094,665.31085,1101.66443
20,0.158,1566.35046,665.99573,1100.33252
21,0.167,1557.28894,666.40161,1098.56787
22,0.175,1549.67065,665.37646,1095.86182
23,0.183,1543.65649,667.01904,1095.18054
24,0.192,1534.53259,665.72711,1093.45276
25,0.2,1527.2395,666.32263,1092.36926
26,0.208,1519.89648,667.71191,1091.07361
27,0.217,1510.7373,666.31055,1089.71155
28,0.225,1504.29724,667.99426,1087.72754
29,0.233,1496.69702,666.81409,1086.58496
30,0.242,1488.64392,666.59082,1084.76025
31,0.25,1480.04248,668.49725,1083.49194
32,0.258,1471.70801,667.00208,1082.33643
33,0.267,1464.03772,667.9527,1081.28857
34,0.275,1454.96021,666.97723,1079.54956
35,0.283,1447.20337,668.71381,1078.50525
36,0.292,1438.91504,669.46844,1077.94568
37,0.3,1430.63757,667.84174,1077.35132
38,0.308,1422.32019,669.07013,1076.02673
39,0.317,1413.5686,667.73291,1075.2959
40,0.325,1405.99194,668.97583,1074.10437
41,0.333,1396.7334,671.27771,1074.88574
42,0.342,1387.2981,670.18542,1074.26953
43,0.35,1378.77942,671.45679,1073.94226
44,0.358,1370.19653,670.5274,1074.35022
45,0.367,1361.39331,670.61511,1074.23132
46,0.375,1351.69397,670.97736,1075.1499
47,0.383,1342.94373,672.58008,1076.47253
48,0.392,1334.00244,672.05481,1077.47205
49,0.4,1325.10974,673.46387,1077.10669
50,0.408,1315.53906,675.65875,1078.99414
51,0.417,1305.93945,674.52472,1079.1698
52,0.425,1296.82458,676.39117,1079.96179
53,0.433,1287.73572,676.01312,1081.39832
54,0.442,1279.98572,677.68335,1082.4021
55,0.45,1270.14734,680.14154,1082.35583
56,0.458,1261.04834,679.51166,1082.13147
57,0.467,1251.22742,681.40155,1083.97144
58,0.475,1241.51917,680.9491,1084.72534
59,0.483,1233.06006,682.61841,1085.85974
60,0.492,1223.70166,683.86725,1086.28662
61,0.5,1215.91101,684.39886,1087.34155
62,0.508,1206.51624,685.70038,1088.85815
63,0.517,1197.85693,684.87061,1089.4657
64,0.525,1188.79846,687.24982,1090.19189
65,0.533,1179.2644,686.00995,1090.25305
66,0.542,1170.62231,687.92419,1090.98364
67,0.55,1162.17578,688.12836,1092.30481
68,0.558,1153.04138,687.97754,1093.08386
69,0.567,1143.06812,689.88507,1093.31238
70,0.575,1135.66064,689.7113,1093.92773
71,0.583,1127.4635,691.26343,1095.13562
72,0.592,1118.37183,690.461,1095.09692
73,0.6,1110.14856,692.42737,1095.29785
74,0.608,1100.2229,693.70135,1095.33728
75,0.617,1092.62964,693.71802,1095.57202
76,0.625,1083.69495,693.89319,1095.80701
77,0.633,1074.85681,693.99829,1095.37134
78,0.642,1065.99573,695.25879,1095.30762
79,0.65,1056.85168,696.32867,1094.54004
80,0.658,1048.37952,697.45721,1094.4054
81,0.667,1040.02832,696.76367,1093.53601
82,0.675,1030.9364,697.6073,1093.06873
83,0.683,1021.32715,697.73798,1093.03857
84,0.692,1013.44177,699.15216,1092.82898
85,0.7,1004.5816,698.18488,1090.40588
86,0.708,995.97784,699.90363,1090.67053
87,0.717,986.47211,698.99585,1089.86462
88,0.725,978.07898,701.37366,1089.09827
89,0.733,969.12897,700.78931,1087.30579
90,0.742,960.96222,701.66504,1087.23401
91,0.75,951.01434,700.99164,1086.04346
92,0.758,942.44244,701.97766,1084.85461
93,0.767,933.78381,700.91388,1084.70544
94,0.775,924.02588,701.99994,1083.91211
95,0.783,915.28925,702.80188,1082.80676
96,0.792,906.55444,702.45361,1082.67834
97,0.8,897.62262,702.78711,1083.07227
98,0.808,888.52124,701.77032,1081.74573
99,0.817,880.15619,702.37659,1082.03796
100,0.825,870.92041,701.46118,1081.24451
101,0.833,861.94183,703.44928,1081.25085
102,0.842,853.09344,702.69153,1081.02502
103,0.85,843.29968,701.52869,1080.422
104,0.858,835.54413,702.51416,1080.90747
105,0.867,827.25403,700.95557,1080.79163
106,0.875,819.18646,700.98877,1081.5752
107,0.883,809.59064,700.80151,1080.34265
108,0.892,799.77325,700.32062,1080.99695
109,0.9,790.90131,701.61969,1082.38489
110,0.908,783.38043,700.37836,1081.88818
111,0.917,774.05334,700.2146,1081.89282
112,0.925,765.58496,699.56805,1082.71838
113,0.933,757.23755,698.80762,1083.82532
114,0.942,747.46783,697.578,1084.90918
115,0.95,740.26758,696.31934,1085.80493
116,0.958,731.86707,696.78168,1087.48254
117,0.967,723.79669,695.56165,1088.56897
118,0.975,715.32031,696.08252,1090.22449
119,0.983,708.03815,695.34375,1091.04041
120,0.992,699.12933,695.08557,1093.56616
121,1,691.91711,694.72021,1094.81311
122,1.008,684.95325,693.22052,1095.75391
123,1.017,676.27911,693.54089,1097.11462
124,1.025,669.30847,693.43896,1098.79089
125,1.033,663.30786,692.31134,1099.33069
126,1.042,655.82861,692.75702,1100.21143
127,1.05,648.27844,692.90253,1101.56531
128,1.058,641.31024,692.92523,1102.83398
129,1.067,633.42377,692.34967,1103.79321
130,1.075,626.78583,692.8172,1104.99451
131,1.083,619.36444,691.95032,1106.63171
132,1.092,613.09296,691.90125,1107.39807
133,1.1,604.5625,691.33331,1108.23071
134,1.108,598.11127,691.06647,1109.9054
