Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
1,0,1751.71875,400.41095,1579.43103,1544.849,351.06918,1479.52393
2,0.008,1744.64868,399.95209,1579.97107,1539.0365,349.8653,1478.14124
3,0.017,1738.25781,399.30579,1579.62292,1532.22546,352.50153,1478.20605
4,0.025,1730.34705,399.51352,1578.61316,1524.6438,353.94693,1479.27222
5,0.033,1724.01147,398.80493,1578.62952,1516.7417,354.99689,1479.42273
6,0.042,1717.25623,399.04315,1577.82788,1510.69629,353.79437,1478.48511
7,0.05,1710.35168,399.35764,1576.96021,1504.35168,351.99197,1477.37378
8,0.058,1701.48645,397.88699,1575.89392,1497.50378,354.60812,1476.74951
9,0.067,1694.17822,398.70251,1574.60596,1489.38782,355.42706,1476.09192
10,0.075,1686.13037,398.94464,1575.4353,1480.42029,354.97046,1474.04956
11,0.083,1679.65564,398.41608,1573.3418,1474.40381,353.86835,1473.36426
12,0.092,1673.15918,398.46561,1572.2677,1466.60632,354.62857,1472.74426
13,0.1,1665.09961,398.17084,1570.74365,1460.85938,353.85864,1471.45911
14,0.108,1656.64185,397.9892,1569.4303,1451.97876,353.35855,1470.44788
15,0.117,1650.39148,398.2312,1568.69165,1443.81946,353.61563,1470.18628
16,0.125,1642.75671,398.63602,1567.8573,1435.79675,354.01123,1468.97485
17,0.133,1635.04626,399.19785,1566.27795,1426.97131,355.22934,1467.91028
18,0.142,1627.3147,398.63235,1565.39014,1419.20874,356.32986,1467.31201
19,0.15,1619.00073,399.12762,1563.56384,1411.62329,357.72275,1465.20764
20,0.158,1611.71021,399.49631,1562.92432,1403.60205,358.16483,1465.73889
21,0.167,1604.40002,401.40588,1561.32507,1395.72534,358.55878,1464.4823
22,0.175,1597.48901,401.33673,1560.98816,1387.55164,359.23798,1463.7478
23,0.183,1586.89673,400.85764,1558.14954,1379.77026,361.09097,1462.45667
24,0.192,1580.20874,400.70169,1557.16211,1371.74829,362.0148,1461.81494
25,0.2,1572.69055,402.11002,1555.86621,1363.46948,361.9729,1459.39807
26,0.208,1563.9884,404.35699,1555.39819,1355.53638,361.97311,1458.90979
27,0.217,1555.42883,404.72034,1553.38208,1347.31604,363.80377,1457.50256
28,0.225,1547.45374,404.40948,1553.05298,1339.33118,363.37418,1455.83618
29,0.233,1539.83167,405.71091,1552.25305,1331.61243,363.7872,1456.08325
30,0.242,1530.65735,405.78946,1550.17761,1323.06067,365.9877,1455.89502
31,0.25,1523.12598,408.78061,1550.46094,1314.77405,365.11084,1454.25793
32,0.258,1515.23181,408.33725,1550.29004,1305.17847,368.73105,1454.92676
33,0.267,1505.86804,409.66211,1549.91211,1297.30896,369.23962,1452.94287
34,0.275,1498.43604,411.00186,1549.84534,1288.02222,373.61389,1453.54529
35,0.283,1489.78748,411.59598,1548.56433,1280.21387,374.15555,1452.10242
36,0.292,1480.6095,413.04214,1548.25208,1273.13708,375.16052,1450.90356
37,0.3,1471.82397,415.71771,1548.12842,1264.79541,376.38745,1450.44568
38,0.308,1462.84875,417.36609,1549.29395,1255.96484,375.8895,1450.28064
39,0.317,1455.32654,418.56348,1549.00818,1247.65088,380.96378,1452.90723
40,0.325,1446.9104,420.03671,1550.19373,1236.69958,380.82422,1451.07727
41,0.333,1437.73901,421.75195,1550.41541,1227.60986,380.61359,1452.45728
42,0.342,1428.18018,422.70636,1550.50513,1218.29541,384.40628,1454.05554
43,0.35,1418.32495,424.56693,1551.17188,1209.74573,386.25699,1454.67993
44,0.358,1410.95569,425.86331,1551.65247,1200.07813,387.1524,1456.81128
45,0.367,1401.09558,426.63205,1553.13586,1192.23767,387.22116,1457.0752
46,0.375,1393.271,429.25769,1553.57153,1182.72327,390.92456,1459.40076
47,0.383,1384.2478,430.26389,1554.49329,1173.92749,391.44479,1459.64563
48,0.392,1375.802,431.9158,1556.16125,1164.79272,393.88367,1461.1488
49,0.4,1366.33508,434.1127,1556.55627,1157.11426,393.84235,1461.7439
50,0.408,1358.89148,434.88687,1558.24646,1148.5553,395.8815,1462.41431
51,0.417,1349.6543,435.97348,1558.83887,1141.35425,396.67606,1463.56519
52,0.425,1341.80969,438.11563,1560.74792,1131.31812,397.27209,1465.13037
53,0.433,1332.94092,438.37735,1561.43115,1122.87976,397.9704,1464.18579
54,0.442,1324.51819,439.97598,1561.93347,1113.91321,401.57211,1466.60339
55,0.45,1315.78918,440.52344,1563.08923,1105.57507,401.42822,1467.03455
56,0.458,1307.68103,441.76614,1563.32361,1097.01636,401.0488,1468.07422
57,0.467,1299.24951,442.77444,1564.99231,1090.2439,402.43945,1468.76978
58,0.475,1291.61841,444.35648,1565.27087,1080.37927,404.52277,1470.29102
59,0.483,1283.69543,445.18756,1565.46826,1072.55408,402.68753,1470.82007
60,0.492,1274.28564,445.36182,1567.07581,1063.44727,403.79108,1472.68469
61,0.5,1266.8158,446.6449,1567.95081,1056.22803,404.3212,1472.30359
62,0.508,1258.24329,447.54443,1569.08032,1047.39551,403.95834,1474.23523
63,0.517,1250.46289,448.70963,1570.23792,1039.97009,404.17499,1473.76941
64,0.525,1241.77661,449.375,1570.71875,1030.98425,406.72513,1475.60376
65,0.533,1234.81335,450.30103,1572.09729,1023.01617,405.94678,1476.18579
66,0.542,1225.88342,450.73383,1573.01917,1015.93427,406.30222,1476.68811
67,0.55,1218.77881,451.70041,1573.52185,1007.72156,406.17712,1477.04626
68,0.558,1210.25903,452.68796,1574.79932,999.94714,408.01218,1477.79224
69,0.567,1202.83606,453.95444,1575.34558,992.8559,408.60974,1478.98608
70,0.575,1195.54102,453.7084,1575.29663,984.6792,408.08453,1479.10986
71,0.583,1186.85718,454.37057,1576.54773,976.60754,407.06836,1478.53674
72,0.592,1178.94434,455.51025,1576.65356,969.7453,407.76193,1479.77002
73,0.6,1170.45386,455.26721,1576.68066,961.61597,407.23169,1479.87646
74,0.608,1163.3717,456.69763,1577.04541,955.16223,409.1958,1480.26697
75,0.617,1155.48865,457.12692,1577.20496,946.87952,408.63937,1480.18604
76,0.625,1147.66577,457.84662,1576.73083,939.02167,408.48752,1479.4812
77,0.633,1139.53015,458.61536,1577.62488,931.74146,407.78998,1479.56006
78,0.642,1132.07458,458.26059,1576.66528,925.1084,409.48557,1479.12402
79,0.65,1124.42932,459.46674,1576.60315,917.51263,408.15707,1478.02808
80,0.658,1115.55396,460.6543,1576.33459,909.80084,409.48416,1477.97766
81,0.667,1107.87183,460.5383,1574.81018,901.88269,407.91098,1476.57666
82,0.675,1100.33801,460.74857,1574.45178,894.83929,409.06638,1475.23401
83,0.683,1092.99097,461.50787,1574.59741,887.58307,408.24228,1475.14734
84,0.692,1084.77917,460.82382,1573.36548,880.92181,408.85922,1474.08557
85,0.7,1076.28845,462.46866,1572.71484,872.33636,407.61105,1472.10767
86,0.708,1068.68079,461.78522,1571.6449,864.02307,406.86414,1472.43201
87,0.717,1061.09167,461.49249,1570.90637,856.90063,406.00909,1471.39575
88,0.725,1052.422,461.34546,1570.09583,847.93335,406.59183,1470.50623
89,0.733,1044.94299,461.49173,1567.80957,840.54077,410.09485,1469.11731
90,0.742,1036.74463,461.11349,1568.06763,832.05371,407.68442,1468.53308
91,0.75,1029.01111,461.23181,1567.00964,825.08777,405.61728,1468.16431
92,0.758,1021.76294,460.83755,1566.18738,817.18085,405.78275,1466.68994
93,0.767,1013.45959,460.23041,1565.17725,808.64911,405.52371,1466.13306
94,0.775,1005.96729,458.8949,1563.5636,802.44958,406.93185,1464.17334
95,0.783,996.8952,459.74835,1562.65015,793.96094,405.45819,1464.00623
96,0.792,989.1416,458.30508,1561.07703,785.93158,404.31604,1462.11633
97,0.8,980.85901,457.92197,1560.58655,777.30432,404.01892,1460.37683
98,0.808,973.16571,457.85834,1559.75,770.45233,402.70303,1460.71606
99,0.817,965.40662,456.30026,1559.19263,763.20563,402.91754,1460.07739
