Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-675.19989,-546.66046,1055.07214,-660.28394,-580.84424,977.54266,-622.31689,-510.1564,955.61835
2,0.008,-669.92511,-546.76593,1054.62573,-654.19373,-581.76385,977.05792,-616.57404,-508.69162,955.76874
3,0.017,-663.61761,-545.43024,1054.38037,-648.90118,-581.7049,976.92224,-609.76849,-510.64703,955.10699
4,0.025,-657.52985,-546.78967,1053.88293,-643.492,-580.12885,976.35803,-603.06866,-509.46289,954.50806
5,0.033,-650.8396,-546.07129,1054.24231,-636.95703,-581.30292,975.8468,-597.66718,-509.06918,954.3241
6,0.042,-646.74225,-545.39478,1053.33411,-631.53864,-580.21228,975.53882,-591.98407,-510.56622,954.27057
7,0.05,-640.88196,-547.41486,1052.32983,-626.19073,-579.9986,974.39948,-586.78101,-508.55804,954.12494
8,0.058,-634.06689,-544.97577,1052.18018,-621.22357,-579.71619,974.17767,-581.16052,-508.33548,953.07428
9,0.067,-628.40906,-545.11646,1051.79993,-613.70636,-579.41217,973.75989,-573.46832,-509.09521,953.00336
10,0.075,-621.63885,-546.60602,1051.41724,-608.62122,-579.59705,973.67926,-568.03333,-508.75293,952.19745
11,0.083,-615.37433,-544.78748,1050.32214,-601.53326,-578.28473,971.77423,-561.29633,-507.74094,951.7973
12,0.092,-611.02136,-545.92334,1049.14563,-595.82953,-579.36969,971.77759,-554.79919,-508.79919,950.1015
13,0.1,-602.73578,-545.68097,1048.41003,-588.88568,-579.25317,971.15802,-549.12494,-506.88782,949.49744
14,0.108,-596.60272,-545.43243,1048.4895,-583.09845,-577.93884,970.88983,-543.45642,-507.62064,948.73047
15,0.117,-591.18713,-544.17847,1046.54993,-575.74957,-578.44098,969.79974,-536.26129,-506.36169,948.30646
16,0.125,-584.13501,-544.00189,1045.75378,-570.28052,-578.08673,968.72137,-529.30542,-507.6886,947.27899
17,0.133,-576.92664,-543.96295,1044.33398,-563.51929,-577.39716,967.56348,-522.6214,-505.86935,946.74713
18,0.142,-570.66431,-543.49811,1044.14709,-556.01086,-577.42523,966.71893,-514.83551,-507.41983,944.76501
19,0.15,-563.45862,-543.69855,1043.2572,-549.7254,-576.86548,965.75879,-508.77365,-506.16708,944.27313
20,0.158,-556.28668,-543.48749,1042.17188,-541.97321,-576.60291,964.61584,-501.77185,-505.97104,943.33087
21,0.167,-548.3902,-543.55481,1040.96973,-534.98389,-576.80634,964.07294,-493.57553,-506.15109,942.54388
22,0.175,-541.8103,-543.27887,1039.87708,-527.85754,-577.0545,962.79742,-486.86288,-505.08408,941.07581
23,0.183,-534.29504,-542.21155,1037.98657,-520.39362,-576.60999,961.59943,-478.97235,-505.76309,941.24969
24,0.192,-526.54553,-542.82037,1038.26025,-513.25067,-575.67352,960.27271,-471.16959,-505.45184,939.61743
25,0.2,-519.17499,-541.47278,1036.30554,-505.85168,-574.42963,958.51074,-464.35782,-504.50092,938.25476
26,0.208,-512.81647,-541.54114,1035.4082,-497.55865,-574.99774,956.95129,-455.88617,-504.77859,937.61218
27,0.217,-503.24673,-542.43463,1035.46667,-490.80536,-574.83881,955.94843,-449.10455,-503.26639,936.70074
28,0.225,-496.47458,-542.51062,1032.71387,-482.47101,-575.54565,954.86371,-440.16028,-504.04648,935.77942
