Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,-799.1557,-392.07495,113.9555,-595.43695,-415.59476,60.48309,-645.17767,-372.759,86.9357
2,0.008,-776.26837,-389.90652,107.38039,-570.1554,-416.48483,60.85099,-620.72864,-370.47156,85.14324
3,0.017,-752.0885,-388.75098,99.77795,-545.6131,-415.79904,61.65516,-596.27917,-371.16727,83.76785
4,0.025,-728.18268,-388.60748,93.04125,-519.87006,-414.56778,63.03922,-572.39771,-369.76398,82.3621
5,0.033,-702.38416,-387.20685,87.08109,-494.87299,-412.62714,63.59668,-546.76392,-366.54306,82.09559
6,0.042,-677.65649,-387.16306,80.35948,-469.78748,-410.97421,64.46423,-523.64893,-364.81943,81.67123
7,0.05,-654.36334,-383.63019,74.84417,-445.5083,-408.71295,65.87486,-500.41699,-363.56827,81.21737
8,0.058,-632.19611,-384.71494,69.22403,-420.66275,-405.44888,66.9264,-476.3255,-361.55731,80.75812
9,0.067,-609.03668,-383.39996,65.41579,-397.38052,-403.4119,68.81174,-453.52179,-357.66525,81.73158
10,0.075,-586.20154,-382.92218,61.15798,-374.91919,-400.20343,70.59296,-431.27869,-355.41968,81.27167
11,0.083,-562.14722,-381.51868,56.45345,-351.80151,-395.40146,72.79851,-409.48355,-353.26846,81.74477
12,0.092,-539.91827,-379.31894,53.07927,-328.5069,-392.1008,75.2354,-387.51852,-351.75778,83.43181
13,0.1,-517.49414,-377.02496,49.1769,-307.53314,-390.04486,78.41209,-366.85513,-348.69989,84.81747
14,0.108,-497.2222,-376.37979,46.29208,-287.4035,-387.88992,84.00455,-347.0145,-348.30527,86.36676
15,0.117,-475.36063,-375.52515,43.58054,-267.35242,-385.319,85.12883,-328.21252,-346.02625,87.76262
16,0.125,-455.39746,-373.32974,40.98055,-248.0343,-382.94836,90.1576,-308.6272,-344.19687,89.73715
17,0.133,-435.1875,-372.3233,39.10406,-229.73018,-381.03229,93.64271,-290.00232,-341.00018,92.65364
18,0.142,-415.90451,-370.36383,37.49004,-212.15501,-378.76849,97.35778,-272.62503,-339.52768,94.93862
19,0.15,-398.07333,-367.73212,36.26566,-195.63173,-376.14355,101.19204,-256.01056,-336.30698,96.10723
20,0.158,-380.40753,-366.2269,34.2918,-178.72469,-374.10565,104.14067,-239.31282,-334.78387,98.52824
21,0.167,-364.172,-363.81445,33.29328,-163.67709,-371.43085,107.04262,-224.6897,-331.54373,99.63605
22,0.175,-348.81335,-362.51596,32.64693,-148.92915,-368.13828,109.54791,-211.14873,-329.54309,101.62313
23,0.183,-334.1813,-359.80606,31.69036,-135.65596,-365.76324,111.20757,-198.31226,-327.30588,102.33212
24,0.192,-320.66968,-357.63715,29.77662,-123.63669,-362.93622,113.25887,-185.32465,-325.64337,102.95048
25,0.2,-310.44437,-355.41556,29.50823,-112.23198,-361.16116,114.02392,-175.08888,-323.64645,103.56686
26,0.208,-300.06644,-353.47061,27.81509,-102.69042,-359.32474,114.31822,-165.20682,-321.43719,102.87432
27,0.217,-290.79745,-351.44696,27.02422,-94.07335,-356.98892,112.55457,-156.25058,-319.0412,102.16954
28,0.225,-283.06573,-348.10535,25.42921,-86.26595,-354.59372,111.94167,-148.77318,-317.5994,100.96749
29,0.233,-277.98538,-345.62506,24.73866,-79.61745,-353.1033,108.14611,-142.33817,-314.97519,98.5563
30,0.242,-272.37845,-342.78247,22.72688,-74.11179,-351.47665,106.54769,-137.42029,-312.397,95.74833
31,0.25,-270.70673,-341.0293,21.09192,-71.1571,-349.58896,101.81081,-133.37633,-311.52533,92.83006
32,0.258,-269.70114,-339.07764,21.46328,-68.22266,-349.52271,98.27988,-130.8008,-308.84988,89.18387
33,0.267,-269.87,-338.00821,20.00273,-66.75241,-347.33014,92.90201,-129.99402,-307.63272,85.15877
34,0.275,-269.35953,-337.76443,19.90561,-64.29957,-345.72433,86.54247,-127.78982,-304.58386,79.19659
35,0.283,-268.86404,-336.46606,21.74464,-63.58787,-343.58984,79.04266,-125.43658,-301.8381,72.89536
36,0.292,-265.92334,-336.79794,23.85352,-61.83119,-341.1398,69.38454,-120.50903,-301.71246,68.1393
37,0.3,-265.47446,-339.01016,25.76348,-58.23334,-337.56812,65.40908,-117.35126,-300.41794,66.32859
38,0.308,-263.61389,-339.89603,26.76703,-51.81936,-335.53802,63.31636,-116.31205,-301.19708,65.53016
39,0.317,-263.46649,-340.1485,27.7488,-47.19031,-334.16718,60.73187,-115.14496,-301.27661,62.93279
40,0.325,-262.52795,-340.60092,28.42396,-46.57438,-334.13773,56.99533,-113.85864,-300.18671,60.80603
41,0.333,-261.25656,-341.26846,28.77003,-46.11861,-335.6322,53.10967,-112.77477,-299.8046,58.18024
42,0.342,-259.87677,-341.37915,29.23447,-47.67947,-335.92697,49.46982,-112.03802,-299.68741,56.56631
43,0.35,-259.09406,-340.66003,30.50939,-47.69407,-336.74716,48.60393,-110.07858,-298.07358,55.49549
44,0.358,-258.35092,-340.54724,30.66551,-46.84908,-336.86099,48.17556,-109.02116,-297.61743,54.97271
45,0.367,-257.78592,-340.75558,30.29462,-43.62288,-336.61826,47.00501,-108.42451,-297.82663,54.20849
46,0.375,-257.60318,-340.96591,30.35973,-41.91837,-334.72556,46.09808,-108.13752,-296.95853,53.92406
47,0.383,-257.61429,-340.55103,30.57663,-42.66205,-333.09094,45.37156,-108.01706,-296.8512,53.80443
48,0.392,-257.58841,-340.89908,30.96669,-42.92762,-332.39148,43.89077,-109.3254,-297.3566,53.1804
49,0.4,-257.30093,-341.05179,31.01339,-43.00917,-331.66415,43.35059,-109.39159,-296.78635,52.91191
50,0.408,-257.49277,-340.74802,31.02664,-42.48201,-332.22946,43.50643,-109.33738,-296.26822,52.95139
51,0.417,-257.3909,-341.10239,31.09177,-42.65983,-333.47137,43.11689,-109.06532,-297.08737,52.50198
52,0.425,-257.55896,-340.50708,30.89591,-42.33266,-334.38791,42.29379,-108.91642,-297.68961,52.42329
53,0.433,-257.49429,-341.31653,31.12678,-42.15705,-334.93835,41.98351,-108.7002,-297.1615,52.81224
54,0.442,-258.14374,-341.41379,31.4186,-42.15705,-334.93835,41.98351,-108.57578,-297.36383,52.97277
55,0.45,-257.44492,-341.27274,30.69815,-42.02101,-335.38794,41.62546,-108.5386,-297.69595,53.19126
56,0.458,-257.39954,-341.15643,30.58714,-42.02101,-335.38794,41.62546,-108.33322,-297.91931,53.25353
57,0.467,-257.61325,-340.99548,30.32089,-41.95411,-335.61627,41.62664,-108.46016,-298.16071,52.98446
58,0.475,-257.58936,-340.81503,30.36005,-41.96354,-335.85074,41.56427,-108.579,-298.75574,52.982
59,0.483,-257.87323,-340.66385,30.28806,-41.96354,-335.85074,41.56427,-108.52545,-298.81445,53.28365
60,0.492,-257.69839,-341.30157,30.28146,-42.35003,-336.35172,41.28636,-108.70477,-299.66113,53.20375
61,0.5,-257.56705,-340.595,30.18491,-42.35003,-336.35172,41.28636,-107.82252,-298.52124,53.55219
62,0.508,-257.56705,-340.595,30.18491,-42.60207,-336.49814,41.17279,-107.52083,-298.06256,53.64393
63,0.517,-257.49002,-340.24957,30.09593,-42.61576,-336.87814,41.19667,-107.61824,-298.22644,53.5672
64,0.525,-257.78873,-340.31512,30.14725,-42.72427,-337.07758,41.12212,-107.70953,-298.14563,53.42343
65,0.533,-257.78873,-340.31512,30.14725,-42.72427,-337.07758,41.12212,-107.72462,-298.39566,53.45857
66,0.542,-257.49002,-340.24957,30.09593,-42.80009,-337.47968,41.03283,-107.83905,-298.34528,53.28233
67,0.55,-257.72003,-340.58011,30.22294,-42.80009,-337.47968,41.03283,-107.82689,-298.55753,53.58313
68,0.558,-257.58911,-340.46844,30.31183,-42.63865,-337.17157,41.0466,-107.76939,-298.30386,53.44225
69,0.567,-257.65234,-340.59671,30.56548,-42.62072,-337.29074,40.81211,-107.6937,-298.24835,52.96946
70,0.575,-260.75742,-339.30933,30.57309,-42.53272,-337.34225,40.45487,-108.9258,-299.07022,52.5236
71,0.583,-258.86041,-339.99832,30.96946,-42.62072,-337.29074,40.81211,-108.0536,-296.92126,52.2325
72,0.592,-258.33789,-339.49954,31.19827,-42.78104,-337.98547,40.56509,-108.54523,-297.56427,52.29942
73,0.6,-258.37537,-338.7352,31.36629,-42.56305,-337.74487,40.45132,-108.48122,-298.07776,52.10662
74,0.608,-258.40018,-338.86414,31.51694,-42.68422,-337.7536,40.35216,-108.13464,-297.79114,51.95071
75,0.617,-257.92969,-338.42532,30.8835,-42.9022,-337.99423,40.46593,-107.93316,-297.6954,52.09843
76,0.625,-257.99496,-339.02505,31.45319,-42.94448,-338.13992,40.23254,-107.85228,-297.99686,52.3051
77,0.633,-258.08722,-338.78632,31.55245,-43.01896,-338.31723,40.14592,-108.52481,-297.80603,51.37495
78,0.642,-258.05365,-338.1991,31.48864,-42.64912,-338.53091,40.39082,-108.47314,-296.80136,50.33009
79,0.65,-257.75937,-337.92093,31.85267,-43.03756,-338.37933,40.16418,-109.36795,-295.8819,51.81868
80,0.658,-257.74387,-337.70068,31.88466,-42.73028,-338.32443,40.11225,-106.82861,-296.28897,51.94869
81,0.667,-257.47131,-337.70883,32.17507,-42.48885,-338.12012,39.84539,-104.74263,-297.43152,49.87449
82,0.675,-257.49573,-337.5336,32.2729,-42.48885,-338.12012,39.84539,-105.82801,-295.16745,49.74187
83,0.683,-257.52817,-337.43842,32.44031,-42.48885,-338.12012,39.84539,-106.63515,-295.03229,50.39065
84,0.692,-257.366,-337.54199,32.73293,-42.87523,-338.06091,39.74211,-106.56997,-294.991,50.43251
85,0.7,-257.86145,-337.34247,34.27432,-42.79745,-338.11789,39.48581,-106.4305,-294.87991,49.84241
86,0.708,-258.00604,-336.67065,35.19908,-42.79745,-338.11789,39.48581,-106.40158,-294.86871,50.2025
87,0.717,-257.28555,-337.04623,35.30372,-42.84589,-338.14453,39.31573,-106.62605,-295.04263,49.51022
88,0.725,-257.46106,-336.25323,36.02821,-42.84589,-338.14453,39.31573,-107.09177,-293.47281,49.55212
89,0.733,-256.98099,-336.08163,36.14769,-42.83037,-337.97647,38.92419,-106.29681,-294.98712,48.90956
90,0.742,-257.07785,-335.59869,36.71738,-42.91587,-338.33301,39.30027,-106.51167,-294.33774,49.75756
91,0.75,-256.8013,-335.72134,37.27798,-42.91466,-338.10251,39.10946,-106.23439,-294.22278,49.65203
92,0.758,-257.0152,-335.93073,39.31658,-42.6988,-338.12979,39.14199,-106.38248,-294.16931,49.03686
93,0.767,-257.03787,-335.28143,41.0771,-42.37897,-337.33444,38.807,-106.02499,-294.241,50.02022
94,0.775,-256.62991,-335.2655,41.92606,-42.6298,-337.36453,38.82038,-105.65628,-294.11389,50.42475
95,0.783,-256.90387,-334.7226,43.00189,-42.29145,-337.19095,38.69238,-105.41147,-293.608,50.5141
96,0.792,-256.4436,-334.42297,44.4108,-42.09531,-336.37146,38.6039,-105.34543,-293.56461,50.61285
97,0.8,-255.80591,-334.36841,46.06984,-41.71473,-335.88644,38.62458,-105.09825,-293.45285,50.55838
98,0.808,-255.14618,-334.45593,48.11999,-41.81354,-335.91605,38.2396,-105.21249,-293.86398,51.11433
99,0.817,-255.34474,-334.16003,50.73011,-41.54549,-335.6604,38.53405,-105.27672,-293.41818,51.2722
100,0.825,-254.90332,-334.81781,53.05645,-41.43956,-335.89496,38.3791,-105.1396,-293.78345,51.62182
101,0.833,-254.18791,-335.94009,56.07559,-41.48365,-335.16296,37.81895,-104.53061,-294.45923,52.45241
102,0.842,-254.37811,-337.05579,59.57915,-41.45064,-335.0347,37.7089,-103.64577,-294.55707,53.15496
103,0.85,-252.97063,-337.59451,63.49652,-41.03458,-334.90018,37.86703,-103.28457,-294.14871,54.05476
104,0.858,-251.38165,-339.85632,67.41245,-41.06486,-334.54984,37.27,-102.39335,-294.12952,54.99195
105,0.867,-249.0125,-339.86111,72.77375,-40.96463,-334.69653,37.16553,-101.25038,-294.94772,56.61831
106,0.875,-247.43764,-341.74094,77.47935,-40.61523,-333.93375,37.26736,-100.1473,-295.40173,57.67078
107,0.883,-245.53798,-342.69653,84.30739,-39.57586,-334.19489,37.80465,-98.65683,-296.14664,59.36615
108,0.892,-242.20599,-342.20224,89.64864,-38.3998,-334.00519,36.89983,-96.76749,-296.05353,60.29366
109,0.9,-239.26222,-343.08447,96.33823,-37.62082,-333.54242,36.62005,-95.06307,-297.27151,62.05105
110,0.908,-235.27408,-342.68814,103.45379,-37.06933,-333.86084,36.53401,-94.42797,-297.548,62.8311
111,0.917,-231.33821,-342.36877,110.9737,-36.68063,-333.58734,36.60079,-90.46346,-297.66068,65.10934
112,0.925,-226.26387,-341.24094,118.97641,-35.93531,-333.61841,36.30362,-87.3568,-297.53845,67.62547
113,0.933,-220.42743,-341.2095,128.82489,-35.53385,-333.84494,35.92012,-83.01504,-298.7594,69.30151
114,0.942,-212.74702,-340.60541,137.71902,-34.23197,-333.85898,36.32132,-79.10395,-299.08261,71.23337
115,0.95,-205.34418,-338.52725,148.12465,-34.36528,-334.30084,35.46413,-74.79716,-299.25131,73.95707
116,0.958,-196.23561,-336.96091,157.84462,-32.3367,-334.23517,35.64367,-69.36317,-300.81512,76.62529
117,0.967,-185.34093,-336.61987,167.93005,-31.98725,-335.03491,35.74202,-64.3263,-300.48441,80.36607
118,0.975,-175.51338,-335.96399,177.48766,-30.51073,-335.49481,36.067,-57.3078,-304.16586,84.83057
119,0.983,-162.99091,-335.51193,186.048,-25.7604,-335.97845,38.62363,-50.68112,-304.39929,87.06469
120,0.992,-151.63783,-335.42886,195.00496,-22.35082,-336.44876,39.88514,-41.68793,-304.42325,90.1513
121,1,-138.69266,-337.01022,202.82368,-14.0932,-335.97345,41.73893,-32.50613,-304.01947,94.17893
122,1.008,-125.19373,-338.34583,209.7989,-5.51415,-335.25647,43.18441,-23.1147,-302.06174,97.88677
123,1.017,-111.24768,-338.46191,215.69133,6.22491,-334.42688,47.57275,-12.75054,-301.68582,101.4812
124,1.025,-97.29449,-337.29105,219.13425,21.07113,-333.9845,49.78938,1.2315,-300.81232,106.01492
125,1.033,-83.07664,-335.50305,221.71384,39.06376,-332.86151,54.13962,18.42599,-302.91263,108.92445
126,1.042,-68.0186,-333.10077,222.04588,58.63652,-336.52197,58.20055,36.60991,-304.32178,112.27664
127,1.05,-51.94794,-331.71536,222.32126,77.73025,-339.39664,59.90792,56.03557,-306.10638,113.67286
128,1.058,-34.94752,-329.20486,221.41812,99.53001,-343.98947,62.26217,76.23756,-307.17752,114.74805
129,1.067,-17.55611,-327.50131,218.83939,121.35765,-347.75787,63.49261,95.80715,-307.10153,115.23752
130,1.075,-0.0707,-325.82639,215.52609,142.87228,-350.97153,64.81947,117.66956,-307.80508,114.80768
131,1.083,18.67574,-324.18106,210.77809,166.46069,-353.21909,65.35716,138.40657,-307.01755,114.55669
132,1.092,37.36789,-323.58527,207.67564,190.57875,-354.95282,66.06097,162.04918,-308.47574,113.6647
133,1.1,57.47593,-322.15549,201.4366,215.60587,-355.7511,67.42519,185.45607,-308.6517,113.17471
134,1.108,77.73569,-321.806,195.2032,240.81949,-354.51767,67.69067,208.51967,-308.54214,111.81779
135,1.117,98.0373,-321.1456,187.30624,268.07443,-353.78537,67.49255,232.19592,-308.08365,110.55449
136,1.125,118.73254,-321.17947,181.07236,293.49454,-352.67511,68.44678,255.85625,-306.92117,109.06796
137,1.133,139.91795,-321.30682,173.9283,320.14114,-351.77655,69.83807,281.72516,-308.2627,107.62548
138,1.142,162.25185,-320.73224,165.74397,346.32553,-351.00861,67.82488,304.87323,-308.35248,105.83371
139,1.15,185.09459,-321.10007,157.81789,373.37482,-351.28635,67.98598,330.47507,-308.51602,104.22803
140,1.158,207.26875,-320.29541,149.78096,399.47336,-350.30838,67.67619,355.84549,-309.28494,102.0461
141,1.167,230.13037,-320.92587,142.6252,425.77972,-350.95883,67.53993,379.07498,-309.73349,99.78355
142,1.175,253.44739,-319.91846,135.14066,452.03629,-352.72165,67.82895,406.04428,-309.63522,98.90573
143,1.183,277.05637,-319.23349,127.70713,479.05316,-354.67072,68.82011,433.39999,-310.47894,97.23672
144,1.192,300.03555,-319.17154,120.47773,504.40918,-356.06616,69.52074,455.77441,-311.16183,95.83828
145,1.2,324.987,-319.54175,114.29752,530.58899,-358.5473,70.74109,481.93146,-311.56647,93.82674
146,1.208,349.05582,-320.63708,108.3228,555.4541,-359.7688,71.91708,507.17157,-313.9201,93.62109
147,1.217,372.38919,-320.75833,102.93567,581.93237,-361.34375,74.30141,530.62457,-314.73209,93.36782
148,1.225,397.93088,-320.67542,95.01266,605.56482,-361.77951,75.35069,555.54553,-315.12332,92.97897
149,1.233,421.85474,-322.43903,88.91039,630.75018,-363.05432,76.82471,579.58246,-316.32071,93.96263
150,1.242,444.09674,-321.0827,85.73545,655.13507,-363.02731,78.59352,602.5509,-316.70825,94.26603
151,1.25,467.55646,-324.88013,79.58565,678.50537,-362.43033,81.19806,626.25867,-316.72559,94.24252
152,1.258,491.66553,-325.36481,76.74013,701.32819,-362.58008,83.02309,648.96191,-317.03812,95.22511
153,1.267,514.6618,-325.50583,72.27299,725.56195,-363.05847,85.80351,670.59552,-316.70865,96.45139
154,1.275,537.17828,-327.05368,68.48494,747.56537,-362.03217,88.91376,692.3092,-317.29205,96.76131
155,1.283,558.69104,-329.38455,65.53468,768.57227,-362.62723,92.09419,712.86639,-317.07181,99.42176
156,1.292,580.81622,-331.32721,62.36388,790.0874,-361.99399,95.55532,733.0697,-318.32428,101.40328
157,1.3,601.43903,-333.36261,59.67228,810.2135,-362.98102,99.97297,752.93079,-319.06876,102.80734
158,1.308,622.67413,-334.70508,57.14284,830.43042,-362.7301,103.92131,772.5636,-318.08969,105.86658
159,1.317,641.9635,-337.88019,55.31788,847.91907,-363.12555,108.45037,790.59369,-318.41537,107.18352
160,1.325,660.953,-339.90552,53.40664,867.03333,-362.68234,111.7127,808.62518,-320.10788,109.30936
161,1.333,679.40045,-341.92322,51.29772,883.64661,-361.8891,115.41274,824.18372,-319.93564,111.86663
162,1.342,697.42053,-344.45367,49.65805,899.50427,-362.35229,118.27526,840.72821,-319.51678,113.74375
163,1.35,713.94489,-345.25739,48.10876,915.43994,-361.63828,122.6481,856.10797,-320.58313,114.5789
164,1.358,728.84552,-347.10223,47.63799,929.51746,-361.01767,124.14236,870.4436,-319.9407,114.81059
165,1.367,744.49622,-349.49805,46.35933,942.45947,-360.41757,127.07902,882.67322,-319.35947,115.96825
166,1.375,756.99194,-350.61325,45.24708,954.21198,-359.66312,128.08794,894.96722,-320.04327,116.70567
167,1.383,768.80701,-352.22974,44.08964,966.22449,-359.79947,129.71266,905.11304,-321.30927,116.43423
168,1.392,778.65222,-353.79929,42.33362,976.03387,-358.8743,129.65781,914.56079,-321.61029,116.35042
169,1.4,787.99164,-355.1517,41.01493,984.92755,-359.08029,128.67157,923.43787,-321.73203,115.49923
170,1.408,795.66119,-354.25217,39.18918,992.15942,-359.32462,127.03201,930.72736,-321.84177,113.05737
171,1.417,800.9693,-355.16577,37.98771,998.81189,-358.46249,124.36745,937.08392,-322.2507,110.70509
172,1.425,806.76953,-355.09082,35.65915,1004.75269,-359.62424,121.09571,942.74628,-322.4823,108.02002
173,1.433,808.72565,-353.99503,33.75434,1009.12476,-361.18231,117.87092,946.47217,-322.08243,104.93031
174,1.442,810.9715,-353.45541,31.46191,1011.31793,-360.78403,112.36104,949.87286,-322.18106,101.51637
175,1.45,812.11237,-352.05344,30.37089,1013.09137,-362.23038,107.39643,952.16718,-321.59232,97.7407
176,1.458,811.64612,-350.88602,28.42964,1014.51288,-361.98373,101.29499,953.4118,-321.27228,92.69913
177,1.467,812.64136,-350.03427,27.59385,1015.73328,-362.16379,94.65394,954.96149,-320.33051,87.94875
178,1.475,814.39069,-348.28903,30.07665,1018.00177,-362.47095,87.68778,959.33728,-319.62112,81.90868
179,1.483,816.06146,-349.31577,33.19373,1022.01581,-362.80115,79.21435,964.20026,-319.75403,77.89822
180,1.492,818.86115,-350.47629,35.00761,1027.78333,-362.21854,75.96073,968.8476,-320.76239,75.47901
181,1.5,820.51837,-350.80222,35.76688,1032.8894,-362.5759,73.78352,971.25763,-320.98602,73.67879
182,1.508,820.93658,-351.06131,36.15545,1038.14709,-362.27744,71.4227,971.20978,-320.49432,71.67044
183,1.517,822.33868,-351.29993,36.43744,1039.09644,-362.08847,66.6793,971.72528,-319.51633,68.01845
184,1.525,822.58026,-351.32681,37.00681,1038.396,-361.14059,62.21306,972.68585,-319.05252,66.13028
185,1.533,822.91266,-352.8038,38.61168,1037.82898,-360.10535,58.10024,974.25085,-318.70563,63.87347
186,1.542,824.33978,-353.08569,39.47425,1037.85571,-358.62988,53.60883,975.18262,-318.5159,62.4465
187,1.55,825.02258,-351.68665,39.82558,1039.84924,-357.82031,53.04362,977.11102,-317.65701,60.33729
188,1.558,825.271,-352.6427,40.31079,1043.0033,-355.72809,51.36542,977.05414,-317.37488,59.54799
