Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-744.49664,-360.75534,1707.40076,-611.97314,-317.05319,1645.18567
2,0.008,-737.8269,-359.21323,1707.6438,-605.44421,-319.0304,1646.00342
3,0.017,-730.79852,-359.75162,1707.14063,-597.68341,-316.5853,1646.1969
4,0.025,-722.80817,-358.20291,1706.73853,-591.32532,-315.19885,1647.34521
5,0.033,-715.72571,-357.90512,1705.49268,-584.6944,-314.77554,1646.56702
6,0.042,-708.41425,-356.91571,1705.98169,-576.93787,-313.58572,1645.25745
7,0.05,-701.33575,-356.31058,1704.79297,-568.65063,-315.79547,1643.90796
8,0.058,-693.4776,-355.46027,1704.13013,-561.3924,-311.55276,1643.47473
9,0.067,-685.94373,-355.04047,1703.63599,-552.55951,-316.27618,1641.49963
10,0.075,-678.2478,-354.82706,1703.35217,-545.44574,-313.29651,1640.9917
11,0.083,-670.36841,-353.75455,1702.23706,-536.87781,-311.7305,1640.59106
12,0.092,-663.32434,-353.58667,1701.06592,-531.88495,-313.24484,1638.88306
13,0.1,-655.06091,-353.06259,1700.83325,-524.78125,-309.50403,1639.37073
14,0.108,-648.90106,-352.91516,1700.23914,-516.99237,-311.01291,1636.72607
15,0.117,-640.89117,-352.76849,1699.33813,-507.64148,-312.0134,1633.78906
16,0.125,-632.8999,-352.28961,1698.18604,-501.8176,-311.65186,1633.27539
17,0.133,-624.61041,-353.69681,1696.745,-494.49576,-312.17606,1633.83777
18,0.142,-617.43475,-353.38928,1696.13123,-485.02042,-310.10272,1632.03564
19,0.15,-610.31372,-352.80624,1695.28906,-480.29416,-311.7312,1631.17639
20,0.158,-602.90594,-353.65945,1693.60779,-472.29422,-310.97766,1629.87903
21,0.167,-594.72687,-353.81708,1692.52917,-463.96259,-311.23843,1629.25073
22,0.175,-588.16595,-354.25095,1690.90417,-454.87845,-311.47162,1629.85779
23,0.183,-579.38123,-354.26614,1689.96924,-447.76352,-311.69418,1625.65991
24,0.192,-572.29028,-354.3063,1688.07678,-441.57617,-311.54764,1624.83057
25,0.2,-564.94812,-354.6427,1686.61377,-434.41855,-312.83563,1623.00623
26,0.208,-557.06854,-355.19644,1685.42468,-425.99274,-314.41013,1621.89587
27,0.217,-549.25854,-355.90457,1684.53357,-417.67111,-314.81454,1620.95386
28,0.225,-540.91418,-356.99631,1683.88196,-409.84879,-316.20303,1621.02197
29,0.233,-532.79871,-357.23822,1682.35254,-401.62146,-316.19852,1622.46069
30,0.242,-524.70673,-359.21088,1681.18799,-393.67996,-318.12729,1618.90442
31,0.25,-517.07727,-358.76776,1680.45776,-384.69434,-319.56583,1618.20959
32,0.258,-509.88901,-360.42505,1678.80017,-378.80984,-318.90689,1616.85486
33,0.267,-500.96231,-360.98648,1677.93274,-369.11221,-320.26453,1615.67847
34,0.275,-493.13403,-362.53073,1677.8999,-359.13397,-321.34488,1615.17786
35,0.283,-485.20364,-363.11258,1676.82056,-352.61966,-323.32959,1615.35742
36,0.292,-476.79419,-365.02423,1676.76538,-343.99777,-325.77719,1615.29138
37,0.3,-468.97031,-364.9538,1676.39856,-335.5184,-326.28885,1614.88318
38,0.308,-460.47882,-366.48688,1677.16333,-326.87857,-328.08334,1614.94336
39,0.317,-451.4527,-369.26028,1677.34888,-318.38614,-328.8006,1615.05127
40,0.325,-443.23773,-370.95221,1677.17334,-310.5126,-331.15152,1616.73706
41,0.333,-434.83627,-371.57153,1678.69849,-301.02762,-332.05222,1617.9198
42,0.342,-426.07767,-372.06699,1678.37292,-292.40067,-332.83899,1618.16846
43,0.35,-417.4855,-374.5484,1679.98035,-283.29712,-334.43878,1618.5564
44,0.358,-408.5748,-375.27365,1680.47839,-275.64432,-336.319,1620.11792
45,0.367,-400.31229,-376.32104,1682.31335,-266.1853,-338.2951,1621.67065
46,0.375,-391.06409,-377.5864,1683.11707,-257.59918,-339.25653,1622.63721
47,0.383,-382.61176,-378.4852,1684.88965,-249.94795,-338.72192,1622.42065
48,0.392,-374.14764,-379.61575,1685.8457,-240.09836,-339.86734,1623.35364
49,0.4,-364.72675,-379.67944,1686.95715,-231.93268,-340.65033,1624.16821
50,0.408,-356.52042,-381.20462,1688.44751,-223.14552,-342.323,1625.77429
51,0.417,-349.04916,-382.36197,1689.65308,-215.50789,-342.19101,1627.61536
52,0.425,-340.33334,-383.47092,1690.42114,-207.74098,-343.51654,1628.12732
53,0.433,-331.71555,-385.08554,1691.64734,-198.65393,-345.8222,1628.5249
54,0.442,-324.35001,-384.9404,1692.04443,-191.91466,-345.80426,1630.99951
55,0.45,-314.93771,-386.01233,1692.53699,-181.72533,-346.98199,1630.6825
56,0.458,-307.65289,-386.57916,1693.58044,-174.63602,-347.43237,1631.83679
57,0.467,-298.88696,-387.47394,1694.21484,-164.97246,-347.78616,1632.5614
58,0.475,-289.89496,-388.07813,1695.24341,-158.49731,-348.08841,1633.32617
59,0.483,-282.99692,-388.37595,1695.60852,-150.26443,-348.46933,1634.52051
60,0.492,-275.91235,-389.25534,1696.29932,-141.48679,-348.85852,1634.78149
61,0.5,-266.77951,-390.17429,1696.64001,-134.58287,-348.71686,1634.48535
62,0.508,-258.8772,-391.51602,1697.05627,-126.57598,-348.4946,1635.75916
63,0.517,-250.5047,-392.34045,1697.82874,-118.54163,-349.37094,1636.61194
64,0.525,-243.14618,-390.99756,1698.48767,-110.46751,-349.20416,1635.60681
65,0.533,-234.04259,-392.55692,1699.74622,-101.41286,-351.17984,1636.45801
66,0.542,-226.20555,-393.1972,1700.26807,-94.92261,-350.00443,1636.50378
67,0.55,-219.04233,-393.07883,1700.05786,-87.21502,-351.48965,1636.60571
68,0.558,-209.96645,-393.57724,1701.15393,-79.26462,-349.5162,1636.58325
69,0.567,-202.85889,-393.28394,1702.04419,-71.52618,-349.68698,1636.41748
70,0.575,-194.93974,-393.59149,1702.12732,-64.51438,-350.39658,1637.87134
71,0.583,-186.77113,-392.35767,1702.16003,-56.16084,-350.39795,1636.06165
72,0.592,-178.35101,-392.89282,1702.49695,-48.57541,-349.16956,1635.67029
73,0.6,-171.19966,-392.27863,1702.75122,-41.6433,-348.83444,1635.09692
74,0.608,-163.38187,-392.01685,1702.98804,-34.09166,-349.45282,1636.09473
75,0.617,-156.08052,-392.10562,1702.78943,-25.99261,-347.6315,1636.42249
76,0.625,-148.9438,-392.67007,1702.84131,-19.22593,-348.65887,1635.74463
77,0.633,-141.63852,-390.78748,1703.46362,-12.59435,-348.64795,1636.13
78,0.642,-133.66356,-391.49582,1703.22925,-4.37847,-347.35626,1635.26062
79,0.65,-125.88332,-390.71973,1703.11389,2.59795,-346.28952,1635.64722
80,0.658,-118.24953,-390.74118,1702.89685,9.37985,-345.48981,1634.75989
81,0.667,-110.75093,-390.82523,1702.13489,17.58023,-345.68921,1634.92273
82,0.675,-104.08015,-389.29349,1702.25623,25.55372,-345.10355,1634.56165
83,0.683,-96.66878,-389.36267,1702.22522,32.22283,-342.37375,1634.10095
84,0.692,-88.38803,-389.41968,1701.16064,39.58937,-343.578,1633.12
85,0.7,-81.30766,-387.65842,1701.25525,46.72445,-341.30591,1632.25769
86,0.708,-74.55422,-387.94992,1701.04736,54.21349,-342.49066,1633.08008
87,0.717,-66.35326,-385.8222,1700.29651,60.88305,-340.12476,1633.28369
88,0.725,-59.33336,-385.49927,1699.2312,68.85584,-339.11636,1631.4939
89,0.733,-52.89912,-383.83847,1698.06641,76.20876,-337.82605,1630.40649
90,0.742,-44.87833,-382.98544,1697.61609,83.7004,-337.20084,1628.66809
91,0.75,-37.09877,-383.12323,1697.17053,90.40816,-335.94901,1628.95996
92,0.758,-30.06544,-381.1712,1695.77856,98.40427,-335.92407,1628.52808
93,0.767,-22.14058,-380.84811,1695.67053,105.55594,-333.49759,1627.48389
94,0.775,-14.8621,-377.83087,1693.79285,112.55247,-332.80185,1627.37207
95,0.783,-8.22944,-376.55722,1693.13196,119.49692,-329.12793,1625.65283
96,0.792,0.17817,-375.20175,1692.92236,127.43075,-328.2587,1624.80396
