Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,2019.89404,426.10947,1028.53333,1908.82544,607.68597,1032.03857,1887.26013,271.44003,1010.73248
2,0.008,2013.02063,426.87778,1029.14319,1906.03357,608.72742,1031.48914,1880.8623,272.11087,1010.8847
3,0.017,2006.94592,426.0686,1028.78259,1901.8877,609.85083,1031.57361,1874.12744,273.36472,1010.01312
4,0.025,1999.58167,425.51993,1028.43689,1886.78735,606.41901,1028.87598,1865.77051,272.33212,1010.88531
5,0.033,1992.5907,426.12338,1027.85156,1884.60571,608.61731,1028.79504,1859.33167,272.49744,1009.24133
6,0.042,1985.28967,426.10263,1028.39905,1879.74194,609.08777,1029.21497,1851.37097,274.36731,1008.41064
7,0.05,1978.35938,425.96414,1027.71655,1875.32312,611.74402,1028.86707,1843.62976,275.37341,1009.71112
8,0.058,1971.6366,426.2749,1027.67346,1863.99622,609.66498,1026.51453,1836.98352,276.08575,1008.86359
9,0.067,1964.67053,426.73245,1026.98303,1858.77026,610.60004,1027.88855,1829.42725,277.87274,1008.99548
10,0.075,1957.75537,426.91638,1026.40784,1852.31799,612.29126,1026.20496,1823.52832,277.06839,1007.29028
11,0.083,1950.91101,426.73203,1025.72253,1844.46448,611.46094,1024.44702,1815.98535,278.16498,1006.00659
12,0.092,1943.41577,426.77069,1025.02026,1837.79565,611.34454,1024.46863,1808.68799,277.6571,1005.36572
13,0.1,1936.76672,427.24484,1023.87311,1834.71631,611.65887,1023.50861,1801.8114,278.24829,1003.72198
14,0.108,1928.76514,426.71478,1022.96283,1822.54492,610.53577,1021.05615,1794.79834,278.49612,1003.14569
15,0.117,1921.84937,427.31491,1021.75439,1815.6178,610.11487,1020.35052,1787.06079,278.89459,1002.35083
16,0.125,1914.10034,427.0907,1020.67566,1809.50269,610.38873,1019.74713,1780.64697,279.70361,1000.57019
17,0.133,1907.07141,428.13361,1019.13947,1802.65002,612.17535,1019.30823,1772.85974,279.84293,999.05994
18,0.142,1899.00415,427.57748,1019.03339,1795.62854,612.4718,1018.08466,1765.45715,279.47076,997.91187
19,0.15,1891.04956,427.9595,1017.3266,1788.3468,613.42889,1016.47833,1756.35925,280.32419,996.13629
20,0.158,1883.03162,427.86172,1015.89435,1780.77344,613.38477,1016.77417,1749.7605,280.58527,995.02661
21,0.167,1875.47607,427.97168,1014.71466,1774.0918,613.80573,1016.42065,1741.61658,279.97925,994.21655
22,0.175,1867.33826,428.2124,1013.85907,1762.1814,612.70605,1013.55737,1733.52905,281.06055,992.54059
23,0.183,1859.93811,428.2912,1012.45477,1755.87183,613.03302,1012.79504,1725.53284,281.00894,991.96924
24,0.192,1851.18945,428.33728,1011.35632,1745.92456,612.2016,1012.96777,1717.74683,280.28922,990.11328
25,0.2,1843.08984,428.66656,1011.08624,1740.53992,613.34387,1012.69641,1709.42102,280.45404,989.91296
26,0.208,1834.90625,428.71536,1009.56049,1731.33008,614.03198,1011.49518,1702.81091,277.59186,988.09186
27,0.217,1825.46423,428.23163,1008.9577,1722.93835,613.82709,1011.55688,1693.74707,277.08658,987.78607
28,0.225,1818.06689,428.67252,1007.9566,1713.56775,615.56836,1010.51489,1685.25854,278.53964,987.23669
29,0.233,1809.21973,428.33084,1007.19281,1705.11694,615.45245,1010.20422,1676.94055,279.18799,986.88367
30,0.242,1801.56287,429.46451,1007.84985,1695.84875,615.50305,1011.07068,1668.85388,280.12943,986.56116
31,0.25,1793.70996,429.5177,1007.60699,1685.63708,614.70044,1007.46161,1662.17163,280.09723,985.28986
32,0.258,1785.1991,429.79681,1007.96191,1674.63892,614.2019,1008.77802,1652.62634,279.57703,985.85376
33,0.267,1777.19849,430.64172,1009.77777,1661.82214,612.69757,1010.33954,1646.21191,279.76932,984.93549
34,0.275,1769.61621,431.52783,1010.36163,1654.15942,612.60651,1010.69318,1638.95874,279.65991,987.10162
35,0.283,1761.83691,432.74258,1011.90503,1642.98792,613.92798,1011.42041,1629.91003,280.51932,988.34479
36,0.292,1752.89807,433.69156,1013.06042,1634.16748,615.03601,1009.55328,1623.85095,281.18613,989.47046
37,0.3,1745.28711,434.9617,1014.24878,1625.70117,615.44196,1009.83569,1618.38354,277.92093,990.92151
38,0.308,1736.61646,435.73187,1014.3363,1617.33984,614.80658,1010.36865,1611.2124,280.09988,993.54639
39,0.317,1729.05237,436.00089,1015.0094,1606.95972,615.01617,1010.85382,1602.42798,280.09604,994.95471
40,0.325,1720.54602,437.47922,1016.10333,1596.96289,614.12354,1012.70178,1596.03906,279.18344,996.28577
41,0.333,1711.96594,437.43243,1017.27948,1591.32397,616.0824,1010.77039,1589.93506,279.29541,997.36255
42,0.342,1704.03564,437.44556,1017.96021,1581.68872,614.83447,1011.29169,1582.83569,276.98331,999.01001
43,0.35,1697.22729,439.18277,1018.54962,1576.86597,617.80981,1011.16821,1574.01624,279.32718,999.65015
44,0.358,1689.73853,438.76181,1019.35913,1566.70288,615.45532,1011.55139,1568.3302,276.01462,1002.06573
45,0.367,1681.72107,438.84448,1021.2052,1559.40332,615.94977,1013.25385,1561.02917,277.95468,1003.06415
46,0.375,1674.91357,439.14679,1022.15845,1550.8905,614.94214,1013.28632,1554.68848,275.09384,1003.89117
47,0.383,1668.18286,439.50656,1023.15576,1546.94324,617.13135,1013.69049,1545.87,277.59094,1005.17908
48,0.392,1661.46472,439.54974,1024.05457,1536.91797,614.78955,1014.32965,1541.0177,273.27237,1005.27179
49,0.4,1654.61707,439.26855,1025.70251,1529.38892,613.77191,1016.37091,1531.50781,276.58426,1005.90802
50,0.408,1647.20874,439.75726,1026.30078,1524.26477,614.65607,1016.09241,1527.10583,274.93338,1006.86353
51,0.417,1640.07629,439.58493,1027.49304,1512.21655,612.4754,1015.58997,1517.41187,275.84354,1009.57501
52,0.425,1633.82617,439.80405,1028.33264,1508.02185,613.47064,1016.20453,1510.85815,277.41409,1009.80573
53,0.433,1627.42102,438.48093,1029.62817,1500.20288,612.73291,1016.72656,1497.41699,275.28085,1009.96161
54,0.442,1620.19104,438.11908,1030.36182,1493.16028,612.01617,1016.92651,1498.28052,275.08667,1011.18127
55,0.45,1613.89258,438.76276,1030.70251,1490.79871,612.54407,1018.31012,1492.60315,274.11142,1013.21045
56,0.458,1608.02905,438.68597,1031.47363,1483.49084,612.45801,1019.78333,1485.95068,273.98965,1015.56274
57,0.467,1601.85425,438.0271,1032.46118,1475.6416,610.86658,1019.98651,1480.65503,273.41699,1015.1709
58,0.475,1595.09412,438.42792,1033.71521,1470.64331,613.29169,1021.5954,1473.91895,271.92468,1015.93805
59,0.483,1588.48474,438.3996,1034.2124,1464.29163,611.92731,1022.74957,1467.6228,274.16278,1016.17224
60,0.492,1581.50671,437.45392,1035.79529,1457.65479,611.49731,1024.00354,1461.67603,273.203,1016.71454
61,0.5,1575.80371,437.66965,1036.26331,1451.84595,610.71362,1025.07825,1452.49292,276.8894,1019.38422
62,0.508,1569.05493,437.53549,1036.88843,1442.64319,610.71039,1025.74182,1447.41223,275.30701,1019.91333
63,0.517,1562.78662,437.78519,1037.48926,1438.3562,611.51013,1027.76379,1439.83838,276.38568,1020.15509
64,0.525,1556.93335,437.24548,1038.30652,1431.13086,610.56012,1028.49072,1435.19165,274.69672,1021.3476
65,0.533,1550.76001,437.63889,1038.20471,1424.69006,609.52728,1029.78503,1429.96924,274.21283,1020.96027
66,0.542,1544.0979,437.60645,1039.05359,1417.94446,608.50989,1029.52954,1424.18054,273.39923,1021.22998
67,0.55,1537.93286,437.3161,1038.10449,1409.47998,608.35815,1029.71899,1419.47729,271.82574,1020.49915
68,0.558,1531.97144,437.42126,1038.15698,1402.3042,607.47821,1030.14197,1414.93799,270.73523,1020.39722
69,0.567,1524.41309,437.63168,1038.45642,1395.77917,606.62628,1029.06213,1407.44507,270.56653,1021.93909
70,0.575,1517.94714,437.6947,1038.20874,1389.18884,606.65222,1029.67712,1401.21094,270.2428,1021.86432
71,0.583,1511.36035,438.44055,1038.52087,1384.5752,605.99762,1029.71277,1394.27161,270.99997,1022.43103
72,0.592,1505.30884,438.40732,1037.89661,1379.3783,605.53809,1029.79272,1388.11475,270.89413,1021.1283
73,0.6,1498.64917,438.80188,1037.15369,1372.08655,605.45081,1030.30078,1382.13062,270.52176,1021.22601
74,0.608,1491.94092,438.95358,1037.29126,1361.00842,604.97339,1027.66174,1379.00098,268.08914,1020.81653
