Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,2008.37915,524.70093,1283.83899,1908.48694,702.53235,1239.52551
2,0.008,2001.71509,526.43341,1283.44568,1898.2124,702.48383,1239.18799
3,0.017,1994.69507,527.54474,1282.65393,1891.81897,703.96698,1239.33362
4,0.025,1986.94226,527.74768,1282.20459,1882.48035,704.742,1238.40295
5,0.033,1979.78894,528.86816,1282.21252,1874.89648,706.53009,1237.64661
6,0.042,1972.74939,529.98596,1281.35608,1865.01135,706.31134,1236.77332
7,0.05,1966.39343,530.77545,1280.02148,1858.67029,706.53766,1236.98877
8,0.058,1958.99194,531.60687,1279.51343,1850.74548,707.60974,1235.40771
9,0.067,1951.44556,533.02673,1279.38477,1842.88159,708.17004,1235.38293
10,0.075,1944.45325,532.98901,1278.16797,1833.49573,707.9007,1234.90381
11,0.083,1936.8894,533.04156,1277.45703,1825.49316,709.19183,1233.53296
12,0.092,1929.10364,532.90796,1276.71082,1815.31055,708.54242,1235.12354
13,0.1,1922.23071,533.83698,1275.68433,1806.5946,709.16833,1233.89526
14,0.108,1914.98743,533.92358,1274.27295,1798.15112,709.86743,1233.28809
15,0.117,1907.42651,534.79358,1273.42029,1791.01038,708.66284,1232.73901
16,0.125,1899.95264,535.12988,1272.95227,1785.1759,709.52197,1231.55176
17,0.133,1892.62695,534.68115,1271.97095,1775.85706,709.69012,1230.97131
18,0.142,1885.27991,534.67139,1270.56506,1767.18457,710.01569,1229.78918
19,0.15,1877.58374,534.33459,1270.20569,1757.03687,708.60846,1229.34009
20,0.158,1870.58667,534.31219,1268.80029,1751.16406,708.45752,1229.35693
21,0.167,1863.45166,534.44543,1267.31946,1745.29431,709.17236,1227.97693
22,0.175,1855.22412,533.72577,1267.17639,1734.27039,707.58197,1227.37036
23,0.183,1847.24341,533.70209,1266.04907,1725.11292,707.03046,1228.07349
24,0.192,1839.94592,533.19574,1265.1123,1715.03137,706.33435,1228.97021
25,0.2,1831.72119,532.48376,1264.25952,1707.88281,706.97107,1227.66541
26,0.208,1824.10095,531.55341,1263.25439,1703.78162,706.08496,1227.80042
27,0.217,1816.03931,530.77832,1262.77759,1692.84692,703.61102,1227.05981
28,0.225,1808.33728,530.36841,1261.77112,1684.55566,703.92749,1226.56311
29,0.233,1800.18494,530.07904,1261.245,1677.17212,701.55762,1226.70435
30,0.242,1791.75049,528.83881,1261.18933,1671.28735,702.24579,1226.81018
31,0.25,1784.21948,527.53204,1261.2052,1660.45471,699.64417,1227.34485
32,0.258,1775.6405,527.53882,1261.42542,1651.479,699.59924,1228.18665
33,0.267,1767.37512,526.66608,1262.15173,1646.19885,697.11279,1229.48462
34,0.275,1759.83716,526.32269,1263.17175,1639.0354,697.44214,1231.03394
35,0.283,1750.88782,526.09167,1263.44373,1628.69543,695.84131,1231.88696
36,0.292,1743.18494,525.73254,1265.26855,1624.98474,694.01245,1232.44849
37,0.3,1735.0885,525.09192,1267.12659,1614.19189,692.29016,1235.45044
38,0.308,1727.16833,525.05591,1267.69263,1607.57837,692.97308,1235.92627
39,0.317,1719.91602,524.64276,1268.72314,1600.64404,688.77704,1235.70032
40,0.325,1710.547,523.87183,1270.36731,1593.15906,689.12781,1240.01453
41,0.333,1702.56555,523.64905,1271.47864,1584.39575,688.3111,1240.13025
42,0.342,1694.81775,524.20605,1272.26343,1579.00488,686.28735,1242.79407
43,0.35,1687.06262,523.83661,1273.82471,1572.16418,685.95892,1244.28223
44,0.358,1679.6853,523.30627,1274.58752,1563.16431,686.505,1245.3252
45,0.367,1671.71045,522.3205,1275.06982,1557.6709,683.67255,1246.35107
46,0.375,1663.62524,522.12122,1275.69458,1548.92957,682.13177,1247.94055
47,0.383,1655.30566,522.10443,1277.42358,1542.05811,682.9234,1249.12109
48,0.392,1648.00317,521.49561,1277.9198,1537.40186,682.17462,1250.05396
49,0.4,1641.03101,520.98682,1279.62183,1527.9126,680.05743,1251.47937
50,0.408,1634.5531,520.96875,1280.28833,1521.67236,681.34967,1251.59143
51,0.417,1627.19275,520.77185,1281.19849,1516.51453,679.98956,1252.74658
52,0.425,1619.38647,519.59357,1282.72034,1507.73108,678.50439,1255.15747
53,0.433,1611.58557,518.79199,1283.24402,1501.44763,679.58386,1255.06458
54,0.442,1604.83374,518.40326,1283.92456,1492.62549,676.53156,1255.47595
55,0.45,1597.31006,517.70416,1285.49536,1487.40894,676.99426,1257.16846
56,0.458,1591.30664,517.67908,1286.18079,1478.8833,675.49304,1258.65393
57,0.467,1583.77576,516.93054,1287.17566,1471.94226,676.07837,1258.44507
58,0.475,1577.39685,516.47839,1288.38867,1467.03174,673.41724,1258.69421
59,0.483,1570.29785,515.97333,1289.60156,1458.38867,673.71021,1260.64893
60,0.492,1564.1405,514.99298,1291.06567,1450.60461,672.82959,1260.90454
61,0.5,1556.47925,514.62286,1291.58057,1446.33435,671.70056,1260.96375
62,0.508,1550.42847,513.44623,1291.73022,1438.36816,670.50446,1261.552
63,0.517,1543.59998,513.88971,1293.31738,1431.37683,670.96722,1263.73889
64,0.525,1537.29993,513.2536,1293.10156,1426.63013,669.93372,1263.53845
65,0.533,1529.34888,513.0506,1294.29053,1418.46802,668.92883,1263.05359
66,0.542,1523.4751,512.51678,1293.63245,1412.51233,670.21655,1262.43384
67,0.55,1516.94238,511.69894,1293.87476,1407.87805,666.85736,1262.01819
68,0.558,1509.48828,512.40997,1294.58472,1400.52356,668.17493,1262.11951
69,0.567,1503.32654,511.311,1294.48364,1394.80066,668.21106,1262.58032
70,0.575,1496.87024,510.55658,1294.15076,1389.26648,666.97491,1262.48938
71,0.583,1489.18188,510.6395,1294.87524,1382.46289,667.86017,1263.16418
72,0.592,1483.50146,510.33875,1294.0188,1375.34045,668.39966,1262.80249
73,0.6,1477.19421,509.85297,1292.99255,1370.0896,665.74921,1262.40332
74,0.608,1469.99255,509.79163,1293.04468,1363.82507,666.84601,1261.24963
75,0.617,1463.26306,508.84274,1292.97424,1357.30847,667.68768,1260.62158
76,0.625,1456.36353,509.28882,1292.78906,1352.41272,665.93811,1260.80969
77,0.633,1449.94104,508.35788,1291.65942,1346.03821,666.44183,1260.27075
78,0.642,1443.64661,508.90842,1290.59302,1339.07703,666.54883,1259.3197
79,0.65,1435.56897,508.4371,1289.75232,1334.75867,664.78918,1258.89905
80,0.658,1428.1106,508.76877,1289.91492,1327.71265,665.80255,1258.02747
