Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,-1059.06323,166.13106,85.10338,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
2,0.008,-1059.06323,166.13106,85.10338,-861.91327,240.92065,45.30612,-917.81061,163.1666,61.80029
3,0.017,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
4,0.025,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
5,0.033,-1059.06323,166.13106,85.10338,-861.59906,240.90564,45.35798,-917.81061,163.1666,61.80029
6,0.042,-1059.06323,166.13106,85.10338,-861.59906,240.90564,45.35798,-917.81061,163.1666,61.80029
7,0.05,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
8,0.058,-1059.06323,166.13106,85.10338,-861.59906,240.90564,45.35798,-917.81061,163.1666,61.80029
9,0.067,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
10,0.075,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
11,0.083,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
12,0.092,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
13,0.1,-1059.25171,165.56099,85.20242,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
14,0.108,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
15,0.117,-1059.25171,165.56099,85.20242,-861.59906,240.90564,45.35798,-917.81061,163.1666,61.80029
16,0.125,-1059.06323,166.13106,85.10338,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
17,0.133,-1059.06323,166.13106,85.10338,-860.9375,240.36348,45.24371,-917.81061,163.1666,61.80029
18,0.142,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
19,0.15,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
20,0.158,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
21,0.167,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
22,0.175,-1059.25171,165.56099,85.20242,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
23,0.183,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
24,0.192,-1059.06323,166.13106,85.10338,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
25,0.2,-1059.06323,166.13106,85.10338,-861.23889,240.21233,45.33153,-917.81061,163.1666,61.80029
26,0.208,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
27,0.217,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
28,0.225,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
29,0.233,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
30,0.242,-1059.25171,165.56099,85.20242,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
31,0.25,-1059.06323,166.13106,85.10338,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
32,0.258,-1059.25171,165.56099,85.20242,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
33,0.267,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
34,0.275,-1059.25171,165.56099,85.20242,-861.45911,240.34343,45.19107,-917.81061,163.1666,61.80029
35,0.283,-1059.06323,166.13106,85.10338,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
36,0.292,-1059.25171,165.56099,85.20242,-861.1449,240.32838,45.24292,-917.81061,163.1666,61.80029
