Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,156.31635,209.11948,492.6713,292.82941,182.65866,460.76898,293.49847,78.62374,455.74161
2,0.008,156.16483,209.05302,492.74246,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
3,0.017,156.31635,209.11948,492.6713,292.75919,182.48755,460.60284,293.49847,78.62374,455.74161
4,0.025,156.31635,209.11948,492.6713,293.00558,182.63094,460.60791,293.78516,78.94821,455.6792
5,0.033,156.505,209.43349,492.89017,293.00558,182.63094,460.60791,294.03149,78.55578,455.3591
6,0.042,156.3535,209.36705,492.9613,293.00558,182.63094,460.60791,293.49847,78.62374,455.74161
7,0.05,156.505,209.43349,492.89017,293.03851,182.73026,460.33542,293.49847,78.62374,455.74161
8,0.058,156.31635,209.11948,492.6713,292.94431,182.8638,460.34146,293.78516,78.94821,455.6792
9,0.067,156.31635,209.11948,492.6713,293.12045,182.83598,460.18039,293.78516,78.94821,455.6792
10,0.075,156.3535,209.36705,492.9613,293.00558,182.63094,460.60791,293.49847,78.62374,455.74161
11,0.083,156.505,209.43349,492.89017,293.00558,182.63094,460.60791,293.49847,78.62374,455.74161
12,0.092,156.3535,209.36705,492.9613,292.82941,182.65866,460.76898,293.74481,78.2314,455.42151
13,0.1,156.31635,209.11948,492.6713,292.82941,182.65866,460.76898,293.78516,78.94821,455.6792
14,0.108,156.31635,209.11948,492.6713,293.00558,182.63094,460.60791,293.78516,78.94821,455.6792
15,0.117,156.505,209.43349,492.89017,293.00558,182.63094,460.60791,293.49847,78.62374,455.74161
16,0.125,156.3535,209.36705,492.9613,292.94431,182.8638,460.34146,293.49847,78.62374,455.74161
17,0.133,156.31635,209.11948,492.6713,292.94431,182.8638,460.34146,293.74481,78.2314,455.42151
18,0.142,156.3535,209.36705,492.9613,292.82941,182.65866,460.76898,293.49847,78.62374,455.74161
19,0.15,156.3535,209.36705,492.9613,292.82941,182.65866,460.76898,293.49847,78.62374,455.74161
20,0.158,156.505,209.43349,492.89017,292.91138,182.76443,460.61392,293.21198,78.29901,455.80408
21,0.167,156.505,209.43349,492.89017,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
22,0.175,156.31635,209.11948,492.6713,292.75919,182.48755,460.60284,293.78516,78.94821,455.6792
23,0.183,156.31635,209.11948,492.6713,292.82941,182.65866,460.76898,293.49847,78.62374,455.74161
24,0.192,156.16483,209.05302,492.74246,292.82941,182.65866,460.76898,293.21198,78.29901,455.80408
25,0.2,156.3535,209.36705,492.9613,292.86234,182.75804,460.49652,293.21198,78.29901,455.80408
26,0.208,156.3535,209.36705,492.9613,292.94431,182.8638,460.34146,293.49847,78.62374,455.74161
27,0.217,156.3535,209.36705,492.9613,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
28,0.225,156.3535,209.36705,492.9613,292.82941,182.65866,460.76898,293.78516,78.94821,455.6792
29,0.233,156.16483,209.05302,492.74246,292.82941,182.65866,460.76898,293.21198,78.29901,455.80408
30,0.242,156.16483,209.05302,492.74246,292.67722,182.38176,460.7579,293.21198,78.29901,455.80408
31,0.25,156.16483,209.05302,492.74246,292.82941,182.65866,460.76898,293.20255,78.29721,455.34476
32,0.258,156.31635,209.11948,492.6713,292.86234,182.75804,460.49652,293.49847,78.62374,455.74161
33,0.267,156.505,209.43349,492.89017,292.82941,182.65866,460.76898,293.49847,78.62374,455.74161
34,0.275,156.505,209.43349,492.89017,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
35,0.283,156.31635,209.11948,492.6713,292.82941,182.65866,460.76898,293.49847,78.62374,455.74161
36,0.292,156.3535,209.36705,492.9613,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
37,0.3,156.505,209.43349,492.89017,293.08752,182.73668,460.45285,293.49847,78.62374,455.74161
38,0.308,156.31635,209.11948,492.6713,293.00558,182.63094,460.60791,293.49847,78.62374,455.74161
39,0.317,156.16483,209.05302,492.74246,292.85339,182.35405,460.5968,293.49847,78.62374,455.74161
40,0.325,156.31635,209.11948,492.6713,292.75919,182.48755,460.60284,293.49847,78.62374,455.74161
41,0.333,156.31635,209.11948,492.6713,293.00558,182.63094,460.60791,293.49847,78.62374,455.74161
42,0.342,156.3535,209.36705,492.9613,293.03851,182.73026,460.33542,293.49847,78.62374,455.74161
43,0.35,156.3535,209.36705,492.9613,292.86234,182.75804,460.49652,293.49847,78.62374,455.74161
44,0.358,156.3535,209.36705,492.9613,292.82941,182.65866,460.76898,293.21198,78.29901,455.80408
45,0.367,156.16483,209.05302,492.74246,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
46,0.375,156.16483,209.05302,492.74246,292.91138,182.76443,460.61392,293.49847,78.62374,455.74161
47,0.383,156.16483,209.05302,492.74246,292.67722,182.38176,460.7579,293.49847,78.62374,455.74161
48,0.392,156.16483,209.05302,492.74246,292.85339,182.35405,460.5968,293.49847,78.62374,455.74161
