Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,333.18625,146.38345,284.51938,284.48212,179.75909,60.49889,315.15543,97.6278,82.54965
2,0.008,333.18625,146.38345,284.51938,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
3,0.017,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
4,0.025,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,315.15073,96.72194,82.17386
5,0.033,333.1698,146.07184,284.28461,285.07315,179.3981,60.43239,315.26877,97.69671,82.42992
6,0.042,333.18625,146.38345,284.51938,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
7,0.05,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
8,0.058,332.91403,145.87112,284.10172,284.56796,179.66507,60.64478,315.15073,96.72194,82.17386
9,0.067,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,315.15073,96.72194,82.17386
10,0.075,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,314.92383,96.69324,82.40205
11,0.083,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,314.97937,97.4857,82.80994
12,0.092,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,315.15073,96.72194,82.17386
13,0.1,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,315.15543,97.6278,82.54965
14,0.108,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
15,0.117,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15073,96.72194,82.17386
16,0.125,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
17,0.133,333.18625,146.38345,284.51938,284.96033,179.61905,60.62742,315.15073,96.72194,82.17386
18,0.142,333.1698,146.07184,284.28461,285.07437,179.56227,60.47321,315.15543,97.6278,82.54965
19,0.15,333.1698,146.07184,284.28461,284.5116,179.51826,60.68419,315.15543,97.6278,82.54965
20,0.158,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
21,0.167,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
22,0.175,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,315.15543,97.6278,82.54965
23,0.183,333.18625,146.38345,284.51938,284.56796,179.66507,60.64478,315.15073,96.72194,82.17386
24,0.192,333.1698,146.07184,284.28461,284.96033,179.61905,60.62742,315.15073,96.72194,82.17386
25,0.2,333.1698,146.07184,284.28461,284.68079,179.44411,60.44973,315.15543,97.6278,82.54965
26,0.208,333.20129,146.12448,284.49307,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
27,0.217,333.14597,146.27068,284.12823,284.56796,179.66507,60.64478,315.46616,97.91478,82.09726
28,0.225,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
29,0.233,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15073,96.72194,82.17386
30,0.242,333.1698,146.07184,284.28461,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
31,0.25,333.18625,146.38345,284.51938,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
32,0.258,333.14597,146.27068,284.12823,284.56796,179.66507,60.64478,315.15543,97.6278,82.54965
