Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,156.29628,-125.14251,501.03659,254.51778,-46.09812,531.58899,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
2,0.008,156.29628,-125.14251,501.03659,254.51778,-46.09812,531.58899,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
3,0.017,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
4,0.025,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
5,0.033,156.29628,-125.14251,501.03659,254.51778,-46.09812,531.58899,281.23935,-112.35697,454.28278,279.86618,-1.21866,453.38031
6,0.042,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
7,0.05,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
8,0.058,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
9,0.067,156.29628,-125.14251,501.03659,254.51778,-46.09812,531.58899,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
10,0.075,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
11,0.083,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
12,0.092,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
13,0.1,156.47134,-124.87878,501.0184,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
14,0.108,156.47134,-124.87878,501.0184,254.51778,-46.09812,531.58899,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
15,0.117,156.47134,-124.87878,501.0184,254.51778,-46.09812,531.58899,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
16,0.125,156.29628,-125.14251,501.03659,254.69814,-46.05444,531.5957,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
17,0.133,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
18,0.142,156.51616,-125.12341,501.00534,254.97548,-45.78076,531.61066,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
19,0.15,156.51616,-125.12341,501.00534,254.69814,-46.05444,531.5957,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
20,0.158,156.47731,-124.90308,500.9845,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
21,0.167,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
22,0.175,156.47731,-124.90308,500.9845,254.62041,-46.23475,531.48822,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
23,0.183,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
24,0.192,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
25,0.2,156.69719,-124.88396,500.95325,254.69814,-46.05444,531.5957,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
26,0.208,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
27,0.217,156.69719,-124.88396,500.95325,254.57162,-45.99555,531.36102,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
28,0.225,156.69719,-124.88396,500.95325,254.62041,-46.23475,531.48822,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
29,0.233,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
30,0.242,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.59479,-111.79028,454.69635,279.86618,-1.21866,453.38031
31,0.25,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
32,0.258,156.47731,-124.90308,500.9845,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
33,0.267,156.69719,-124.88396,500.95325,254.54175,-45.61527,531.61108,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
34,0.275,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
35,0.283,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
36,0.292,156.69719,-124.88396,500.95325,254.64935,-45.81523,531.46857,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
37,0.3,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
38,0.308,156.51616,-125.12341,501.00534,254.54175,-45.61527,531.61108,281.59479,-111.79028,454.69635,279.86618,-1.21866,453.38031
39,0.317,156.47731,-124.90308,500.9845,254.54175,-45.61527,531.61108,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
40,0.325,156.69719,-124.88396,500.95325,254.46899,-45.8589,531.46185,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
41,0.333,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
42,0.342,156.51616,-125.12341,501.00534,254.54175,-45.61527,531.61108,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
43,0.35,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.20401,-112.61051,454.10733,279.86618,-1.21866,453.38031
44,0.358,156.29628,-125.14251,501.03659,254.51778,-46.09812,531.58899,281.23935,-112.35697,454.28278,279.86618,-1.21866,453.38031
45,0.367,156.51616,-125.12341,501.00534,254.54175,-45.61527,531.61108,281.56134,-111.90911,454.13876,279.86618,-1.21866,453.38031
46,0.375,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
47,0.383,156.29628,-125.14251,501.03659,254.69814,-46.05444,531.5957,281.23935,-112.35697,454.28278,279.86618,-1.21866,453.38031
48,0.392,156.47134,-124.87878,501.0184,254.51778,-46.09812,531.58899,281.23935,-112.35697,454.28278,279.86618,-1.21866,453.38031
49,0.4,156.47731,-124.90308,500.9845,254.97548,-45.78076,531.61066,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
50,0.408,156.47134,-124.87878,501.0184,254.51778,-46.09812,531.58899,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
51,0.417,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.20401,-112.61051,454.10733,279.86618,-1.21866,453.38031
52,0.425,156.29628,-125.14251,501.03659,254.51778,-46.09812,531.58899,281.42224,-111.99519,453.79697,279.86618,-1.21866,453.38031
53,0.433,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.23935,-112.35697,454.28278,279.86618,-1.21866,453.38031
54,0.442,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
55,0.45,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.20401,-112.61051,454.10733,279.86618,-1.21866,453.38031
56,0.458,156.51616,-125.12341,501.00534,254.97548,-45.78076,531.61066,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
57,0.467,156.51616,-125.12341,501.00534,254.51778,-46.09812,531.58899,281.52603,-112.16272,453.96332,279.86618,-1.21866,453.38031
58,0.475,156.69719,-124.88396,500.95325,254.69814,-46.05444,531.5957,281.56134,-111.90911,454.13876,279.86618,-1.21866,453.38031
59,0.483,156.69719,-124.88396,500.95325,254.97548,-45.78076,531.61066,281.38486,-112.18446,454.18918,279.86618,-1.21866,453.38031
60,0.492,156.47731,-124.90308,500.9845,254.51778,-46.09812,531.58899,281.34955,-112.438,454.01373,279.86618,-1.21866,453.38031
61,0.5,156.69719,-124.88396,500.95325,254.59053,-45.8545,531.73828,281.56134,-111.90911,454.13876,279.86618,-1.21866,453.38031
62,0.508,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
63,0.517,156.51616,-125.12341,501.00534,254.46899,-45.8589,531.46185,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
64,0.525,156.51616,-125.12341,501.00534,254.59053,-45.8545,531.73828,281.56134,-111.90911,454.13876,279.86618,-1.21866,453.38031
65,0.533,156.51616,-125.12341,501.00534,254.51778,-46.09812,531.58899,281.23935,-112.35697,454.28278,279.86618,-1.21866,453.38031
66,0.542,156.51616,-125.12341,501.00534,254.62041,-46.23475,531.48822,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
67,0.55,156.29628,-125.14251,501.03659,254.62041,-46.23475,531.48822,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
68,0.558,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
69,0.567,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.55945,-112.04369,454.52084,279.86618,-1.21866,453.38031
70,0.575,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.52417,-112.29732,454.34546,279.86618,-1.21866,453.38031
71,0.583,156.29628,-125.14251,501.03659,254.59053,-45.8545,531.73828,281.23746,-112.49147,454.66483,279.86618,-1.21866,453.38031
72,0.592,156.29628,-125.14251,501.03659,254.54175,-45.61527,531.61108,281.20215,-112.74503,454.48941,279.86618,-1.21866,453.38031
