Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.67462,213.66118,617.26123
2,0.008,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.78516,213.59422,617.61383
3,0.017,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.67462,213.66118,617.26123
4,0.025,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.78516,213.59422,617.61383
5,0.033,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-176.03593,213.21696,617.58582
6,0.042,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-176.03593,213.21696,617.58582
7,0.05,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-176.03593,213.21696,617.58582
8,0.058,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.78516,213.59422,617.61383
9,0.067,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.78516,213.59422,617.61383
10,0.075,-278.95987,76.58795,618.21228,-180.09889,-90.32581,629.58728,-175.67462,213.66118,617.26123
11,0.083,-278.95987,76.58795,618.21228,-179.64487,-89.24877,629.20959,-175.67462,213.66118,617.26123
12,0.092,-279.00381,76.7125,618.065,-179.64487,-89.24877,629.20959,-175.67462,213.66118,617.26123
13,0.1,-279.00381,76.7125,618.065,-179.64487,-89.24877,629.20959,-176.03593,213.21696,617.58582
14,0.108,-279.00381,76.7125,618.065,-179.64487,-89.24877,629.20959,-176.03593,213.21696,617.58582
15,0.117,-279.00381,76.7125,618.065,-180.09889,-90.32581,629.58728,-176.03593,213.21696,617.58582
16,0.125,-279.00381,76.7125,618.065,-179.64487,-89.24877,629.20959,-176.03593,213.21696,617.58582
17,0.133,-279.00381,76.7125,618.065,-180.28059,-89.38573,629.48376,-175.78516,213.59422,617.61383
18,0.142,-278.9491,77.2856,618.15393,-180.28059,-89.38573,629.48376,-175.67462,213.66118,617.26123
19,0.15,-279.0614,77.10201,618.00208,-180.28059,-89.38573,629.48376,-175.67462,213.66118,617.26123
20,0.158,-279.00381,76.7125,618.065,-180.28059,-89.38573,629.48376,-175.67462,213.66118,617.26123
21,0.167,-279.0614,77.10201,618.00208,-180.29388,-89.22135,629.08496,-175.67462,213.66118,617.26123
22,0.175,-279.0614,77.10201,618.00208,-180.28059,-89.38573,629.48376,-175.78516,213.59422,617.61383
23,0.183,-279.0614,77.10201,618.00208,-180.28059,-89.38573,629.48376,-176.03593,213.21696,617.58582
24,0.192,-279.0614,77.10201,618.00208,-180.73419,-90.46246,629.86127,-176.03593,213.21696,617.58582
25,0.2,-279.00656,77.6751,618.09094,-180.28059,-89.38573,629.48376,-176.03593,213.21696,617.58582
26,0.208,-279.0614,77.10201,618.00208,-180.28059,-89.38573,629.48376,-175.67462,213.66118,617.26123
27,0.217,-279.0614,77.10201,618.00208,-180.63863,-89.32914,629.31464,-175.67462,213.66118,617.26123
28,0.225,-279.0614,77.10201,618.00208,-180.28059,-89.38573,629.48376,-175.67462,213.66118,617.26123
