Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,222.87759,-57.54382,35.63021,420.1597,-108.26962,48.25473,363.01285,-56.08081,72.40691
2,0.008,223.0291,-57.74224,35.63342,420.21506,-108.03,49.29998,363.01285,-56.08081,72.40691
3,0.017,222.81892,-57.58424,35.77582,420.25211,-109.06865,48.52996,363.01285,-56.08081,72.40691
4,0.025,222.87759,-57.54382,35.63021,420.25211,-109.06865,48.52996,363.01285,-56.08081,72.40691
5,0.033,222.67775,-57.53589,35.64257,420.1821,-108.77473,48.93183,363.01285,-56.08081,72.40691
6,0.042,223.08778,-57.70184,35.48779,420.21506,-108.03,49.29998,363.01285,-56.08081,72.40691
7,0.05,222.87759,-57.54382,35.63021,420.22974,-108.56355,47.85271,363.16629,-55.8191,72.61139
8,0.058,222.88792,-57.69392,35.50016,420.1821,-108.77473,48.93183,363.01285,-56.08081,72.40691
9,0.067,222.87759,-57.54382,35.63021,420.1597,-108.26962,48.25473,363.01285,-56.08081,72.40691
10,0.075,222.81892,-57.58424,35.77582,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
11,0.083,222.42917,-57.70443,35.5368,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
12,0.092,223.08778,-57.70184,35.48779,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
13,0.1,222.63934,-57.86246,35.39439,420.1597,-108.26962,48.25473,363.16629,-55.8191,72.61139
14,0.108,222.82976,-57.60527,35.15707,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
15,0.117,223.0291,-57.74224,35.63342,420.21506,-108.03,49.29998,363.16629,-55.8191,72.61139
16,0.125,223.01878,-57.59216,35.76347,420.1597,-108.26962,48.25473,363.16629,-55.8191,72.61139
17,0.133,223.18314,-57.22792,35.97409,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
18,0.142,222.52248,-58.00175,36.16051,420.2627,-107.81911,48.22114,363.16629,-55.8191,72.61139
19,0.15,222.79214,-58.00421,35.51752,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
20,0.158,223.12247,-57.02247,35.01856,420.1597,-108.26962,48.25473,363.16629,-55.8191,72.61139
21,0.167,222.92262,-57.01458,35.03095,420.21506,-108.03,49.29998,363.16629,-55.8191,72.61139
22,0.175,222.59154,-57.92393,34.92123,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
23,0.183,223.0291,-57.74224,35.63342,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
24,0.192,222.81892,-57.58424,35.77582,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
25,0.2,222.72311,-57.89459,35.79314,420.1597,-108.26962,48.25473,363.16629,-55.8191,72.61139
26,0.208,223.18112,-57.81165,35.14784,420.1821,-108.77473,48.93183,362.89798,-56.03172,72.16919
27,0.217,222.7124,-56.85656,35.17342,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
28,0.225,222.79214,-58.00421,35.51752,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
29,0.233,223.16084,-57.80099,36.21676,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
30,0.242,222.97093,-57.84114,36.25388,420.21506,-108.03,49.29998,363.16629,-55.8191,72.61139
31,0.25,223.20874,-57.55201,35.72634,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
32,0.258,222.81892,-57.58424,35.77582,420.21506,-108.03,49.29998,363.16629,-55.8191,72.61139
33,0.267,222.98123,-57.80373,35.16023,420.21506,-108.03,49.29998,363.16629,-55.8191,72.61139
34,0.275,222.98123,-57.80373,35.16023,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
35,0.283,222.98123,-57.80373,35.16023,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
36,0.292,223.01878,-57.59216,35.76347,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
37,0.3,223.0291,-57.74224,35.63342,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
38,0.308,223.0291,-57.74224,35.63342,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
39,0.317,222.87759,-57.54382,35.63021,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
40,0.325,222.88792,-57.69392,35.50016,420.21506,-108.03,49.29998,363.16629,-55.8191,72.61139
41,0.333,222.88792,-57.69392,35.50016,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
42,0.342,222.88792,-57.69392,35.50016,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
43,0.35,223.01878,-57.59216,35.76347,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
44,0.358,222.81892,-57.58424,35.77582,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
45,0.367,222.81892,-57.58424,35.77582,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
46,0.375,222.81892,-57.58424,35.77582,420.1597,-108.26962,48.25473,363.16629,-55.8191,72.61139
47,0.383,222.87759,-57.54382,35.63021,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
48,0.392,223.20874,-57.55201,35.72634,420.25211,-109.06865,48.52996,363.16629,-55.8191,72.61139
49,0.4,222.8421,-57.17166,35.8532,420.1597,-108.26962,48.25473,363.16629,-55.8191,72.61139
50,0.408,222.87759,-57.54382,35.63021,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
51,0.417,222.67775,-57.53589,35.64257,420.21506,-108.03,49.29998,363.01285,-56.08081,72.40691
52,0.425,222.67775,-57.53589,35.64257,420.25211,-109.06865,48.52996,363.16629,-55.8191,72.61139
53,0.433,222.67775,-57.53589,35.64257,420.1597,-108.26962,48.25473,363.01285,-56.08081,72.40691
54,0.442,222.83919,-57.87037,35.38203,420.1597,-108.26962,48.25473,363.01285,-56.08081,72.40691
55,0.45,222.88792,-57.69392,35.50016,420.1821,-108.77473,48.93183,363.16629,-55.8191,72.61139
56,0.458,223.06755,-57.50369,35.59308,420.1597,-108.26962,48.25473,363.01285,-56.08081,72.40691
57,0.467,222.67775,-57.53589,35.64257,420.1597,-108.26962,48.25473,363.01285,-56.08081,72.40691
58,0.475,222.88792,-57.69392,35.50016,420.21506,-108.03,49.29998,363.01285,-56.08081,72.40691
59,0.483,222.67775,-57.53589,35.64257,420.1821,-108.77473,48.93183,363.01285,-56.08081,72.40691
