Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
2,0.008,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
3,0.017,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
4,0.025,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
5,0.033,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
6,0.042,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
7,0.05,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
8,0.058,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
9,0.067,313.31265,-78.69969,293.45355,259.55212,-118.2011,65.29876,301.24957,-41.56174,89.2637
10,0.075,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
11,0.083,313.31265,-78.69969,293.45355,259.76895,-117.47173,65.26392,301.24957,-41.56174,89.2637
12,0.092,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
13,0.1,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
14,0.108,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
15,0.117,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
16,0.125,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
17,0.133,313.31265,-78.69969,293.45355,259.57425,-118.357,65.37245,301.24957,-41.56174,89.2637
18,0.142,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
19,0.15,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
20,0.158,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
21,0.167,313.31265,-78.69969,293.45355,259.57425,-118.357,65.37245,301.24957,-41.56174,89.2637
22,0.175,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
23,0.183,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
24,0.192,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
25,0.2,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
26,0.208,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
27,0.217,312.21362,-78.26194,293.59958,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
28,0.225,311.70694,-77.43113,294.1048,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
29,0.233,311.70694,-77.43113,294.1048,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
30,0.242,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
31,0.25,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
32,0.258,313.31265,-78.69969,293.45355,259.80902,-118.36552,65.38318,301.24957,-41.56174,89.2637
33,0.267,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
34,0.275,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
35,0.283,313.31265,-78.69969,293.45355,259.72592,-118.24846,65.44179,301.24957,-41.56174,89.2637
36,0.292,313.31265,-78.69969,293.45355,259.46902,-118.08401,65.35736,301.24957,-41.56174,89.2637
