Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,370.4628,-200.33165,968.24945,336.86743,-221.32803,895.65833,398.78226,-184.08321,864.69495
2,0.008,370.51309,-200.15607,968.40668,336.86743,-221.32803,895.65833,398.78226,-184.08321,864.69495
3,0.017,371.02417,-200.13672,968.42194,336.86743,-221.32803,895.65833,398.78226,-184.08321,864.69495
4,0.025,370.51309,-200.15607,968.40668,336.86743,-221.32803,895.65833,398.78226,-184.08321,864.69495
5,0.033,370.51309,-200.15607,968.40668,336.80139,-221.44824,895.54352,398.78226,-184.08321,864.69495
6,0.042,370.4628,-200.33165,968.24945,336.86743,-221.32803,895.65833,398.78226,-184.08321,864.69495
7,0.05,370.15634,-200.50397,968.55072,336.80139,-221.44824,895.54352,398.78226,-184.08321,864.69495
8,0.058,370.51309,-200.15607,968.40668,336.80139,-221.44824,895.54352,398.78226,-184.08321,864.69495
9,0.067,370.15634,-200.50397,968.55072,336.80139,-221.44824,895.54352,398.78226,-184.08321,864.69495
10,0.075,370.15634,-200.50397,968.55072,336.53992,-221.75722,895.50751,398.61215,-184.23132,864.5592
11,0.083,370.10602,-200.6795,968.39355,336.06769,-221.70406,895.82538,398.44321,-184.18811,864.62042
12,0.092,370.10602,-200.6795,968.39355,336.53992,-221.75722,895.50751,398.61215,-184.23132,864.5592
13,0.1,370.10602,-200.6795,968.39355,336.80139,-221.44824,895.54352,398.61215,-184.23132,864.5592
14,0.108,370.10602,-200.6795,968.39355,336.31195,-221.82001,895.74988,398.44321,-184.18811,864.62042
15,0.117,370.16458,-200.71269,968.24725,336.29568,-221.64131,895.58295,398.44321,-184.18811,864.62042
16,0.125,369.9386,-201.02028,968.39423,336.53992,-221.75722,895.50751,398.61215,-184.23132,864.5592
17,0.133,369.67413,-201.32668,968.43549,336.06769,-221.70406,895.82538,398.44321,-184.18811,864.62042
18,0.142,369.83707,-201.08664,968.30591,336.06769,-221.70406,895.82538,398.44321,-184.18811,864.62042
19,0.15,370.16458,-200.71269,968.24725,335.65198,-221.36357,895.7478,398.7298,-184.2906,864.21106
20,0.158,370.16458,-200.71269,968.24725,335.65198,-221.36357,895.7478,398.44321,-184.18811,864.62042
21,0.167,369.67413,-201.32668,968.43549,335.20505,-221.45538,895.45831,398.32755,-184.57213,864.01208
22,0.175,369.67413,-201.32668,968.43549,335.20505,-221.45538,895.45831,398.32755,-184.57213,864.01208
23,0.183,369.9386,-201.02028,968.39423,335.20505,-221.45538,895.45831,398.32755,-184.57213,864.01208
24,0.192,369.65738,-200.70695,968.44135,335.20505,-221.45538,895.45831,398.32755,-184.57213,864.01208
25,0.2,369.02054,-200.75351,968.3399,335.20505,-221.45538,895.45831,398.32755,-184.57213,864.01208
26,0.208,368.89133,-200.54422,967.89368,335.20505,-221.45538,895.45831,398.32755,-184.57213,864.01208
27,0.217,369.18277,-200.21262,967.83966,335.20505,-221.45538,895.45831,398.01199,-184.6358,863.99719
28,0.225,369.27798,-200.4341,968.32825,334.60159,-221.46141,895.17017,397.69644,-184.69955,863.98242
29,0.233,368.60678,-200.52603,967.95404,334.88116,-221.47614,895.23932,397.69644,-184.69955,863.98242
30,0.242,368.84106,-200.71982,967.73657,334.91135,-221.68542,895.05823,397.69644,-184.69955,863.98242
31,0.25,368.60678,-200.52603,967.95404,334.41626,-221.34508,895.24811,397.58826,-184.44171,863.80011
32,0.258,368.60678,-200.52603,967.95404,334.57138,-221.25206,895.35132,397.5361,-184.4341,863.60498
33,0.267,368.59555,-200.7339,967.76062,334.76047,-221.39453,895.25073,397.5361,-184.4341,863.60498
34,0.275,368.59555,-200.7339,967.76062,334.41626,-221.34508,895.24811,397.5361,-184.4341,863.60498
35,0.283,368.12134,-200.7037,967.86127,334.57138,-221.25206,895.35132,397.5361,-184.4341,863.60498
