Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
1,0,1492.74133,294.99057,907.14398
2,0.008,1485.92236,295.06757,906.8844
3,0.017,1478.09717,293.36386,905.94397
4,0.025,1472.10413,294.23111,906.37994
5,0.033,1463.71729,291.90353,906.07581
6,0.042,1456.56494,291.44727,906.38226
7,0.05,1449.79871,289.42184,905.82367
8,0.058,1442.96851,289.47144,905.97205
9,0.067,1435.13354,287.45395,905.44464
10,0.075,1429.4928,287.79651,905.25525
11,0.083,1423.7124,285.42532,904.80804
12,0.092,1416.75281,285.77246,904.48102
13,0.1,1409.08752,283.52951,903.8468
14,0.108,1403.16833,281.20981,902.5155
15,0.117,1397.10901,279.6781,902.92926
16,0.125,1390.27649,277.76401,902.45197
17,0.133,1383.30225,277.86606,902.53217
18,0.142,1377.73279,275.2229,901.79211
19,0.15,1372.90552,274.44785,901.22998
20,0.158,1366.31982,272.2843,900.73639
21,0.167,1360.16577,271.39557,900.57666
22,0.175,1353.26086,268.35645,899.99939
23,0.183,1347.41663,266.96133,898.30951
24,0.192,1341.41577,266.38132,898.90729
25,0.2,1335.56677,263.80927,898.98175
26,0.208,1330.75903,262.31335,898.98865
27,0.217,1324.67334,259.82031,898.66711
28,0.225,1318.89429,258.89127,898.77972
29,0.233,1313.46313,255.89714,900.14087
30,0.242,1309.4939,255.2804,900.78229
31,0.25,1304.39966,252.68938,900.89777
32,0.258,1299.59546,251.90321,902.45532
33,0.267,1294.38147,248.8694,904.78235
34,0.275,1290.2948,247.59668,905.82935
35,0.283,1285.15588,245.49942,906.81329
36,0.292,1280.81006,244.49037,907.15479
37,0.3,1275.0083,241.9431,908.46399
38,0.308,1270.77039,241.94067,909.11688
39,0.317,1265.1842,239.55257,911.14996
40,0.325,1262.51758,239.24513,911.85693
41,0.333,1256.92419,236.44601,911.44702
42,0.342,1252.38159,236.01135,912.11157
43,0.35,1247.86377,234.69417,911.48639
44,0.358,1243.03381,233.22447,911.13654
45,0.367,1239.46997,233.47168,911.52521
46,0.375,1234.48169,230.99062,912.25037
47,0.383,1229.66162,230.9819,912.38434
48,0.392,1226.26123,229.40187,912.45868
49,0.4,1220.61707,228.99927,912.5152
50,0.408,1217.51318,228.77629,911.61981
51,0.417,1212.52893,226.67821,911.6413
52,0.425,1209.28235,226.99533,911.6217
53,0.433,1206.16638,225.79543,911.47418
54,0.442,1201.41357,224.17732,911.24396
55,0.45,1197.20007,224.62975,911.04327
56,0.458,1194.89014,224.0699,911.02527
57,0.467,1189.73877,222.20903,910.56226
58,0.475,1187.31482,222.73154,910.3205
59,0.483,1182.91553,222.68382,910.17566
60,0.492,1179.41504,221.8036,910.22333
61,0.5,1175.38245,220.37952,909.96875
62,0.508,1171.83459,221.21593,909.81885
63,0.517,1167.42712,220.08998,909.37457
64,0.525,1164.58215,218.53442,909.36938
65,0.533,1160.16223,218.964,908.08734
66,0.542,1157.245,219.12546,908.99841
67,0.55,1152.547,217.78815,907.88232
68,0.558,1148.44885,217.77933,907.83893
69,0.567,1144.55994,218.23128,907.37488
70,0.575,1138.56262,216.53679,906.38
71,0.583,1135.93323,217.05208,906.17346
72,0.592,1132.18567,217.73871,905.70825
73,0.6,1127.00342,217.58102,904.96729
74,0.608,1123.51697,216.68678,904.3822
75,0.617,1118.1543,217.68161,903.75653
76,0.625,1113.95349,215.73561,902.37793
77,0.633,1108.33667,217.26231,902.26917
78,0.642,1103.55493,216.58011,901.49475
79,0.65,1097.87488,217.53732,900.94727
80,0.658,1092.78723,216.44667,900.67474
81,0.667,1086.39856,217.6929,899.6452
82,0.675,1080.1593,217.56052,898.95111
83,0.683,1074.44141,217.36436,898.70367
84,0.692,1067.91345,217.59106,897.22394
85,0.7,1061.96912,217.70782,896.315
86,0.708,1056.06665,219.43356,895.53058
87,0.717,1048.65576,217.82692,893.74347
88,0.725,1041.52234,218.91026,891.85358
89,0.733,1035.64148,219.25981,891.65912
90,0.742,1028.53345,219.96497,890.01831
91,0.75,1021.3927,219.6181,888.99139
92,0.758,1013.34229,220.77538,887.67108
93,0.767,1004.75574,221.01326,887.21204
94,0.775,997.51208,221.9711,887.06445
95,0.783,990.46307,221.05515,884.65393
96,0.792,982.70233,222.78052,884.05206
97,0.8,973.97229,222.86336,882.71802
98,0.808,964.79272,223.62964,881.85236
99,0.817,957.61591,224.2831,881.33533
100,0.825,949.40424,223.50043,880.97656
101,0.833,940.32727,224.36845,881.63605
102,0.842,932.04028,225.69849,882.3374
103,0.85,922.53973,225.85674,883.90558
104,0.858,913.6543,226.86238,883.70758
105,0.867,905.26917,227.55611,885.71381
106,0.875,897.12457,228.03568,886.12933
107,0.883,887.51312,228.44843,887.09351
108,0.892,878.3009,229.23962,889.0202
109,0.9,869.73425,229.14168,890.46704
110,0.908,860.98511,229.97041,890.74469
111,0.917,852.32117,231.51213,892.12628
112,0.925,843.08301,231.44543,893.33203
113,0.933,834.01782,232.10413,894.70642
114,0.942,826.51532,232.87094,895.71338
115,0.95,815.50018,232.87558,895.79926
116,0.958,807.13458,233.63165,896.42218
117,0.967,798.23999,234.96332,897.00348
118,0.975,787.9892,235.06628,897.13483
119,0.983,780.36108,236.65884,897.75507
120,0.992,770.87134,236.47299,898.19983
121,1,761.48871,237.19734,898.44574
122,1.008,751.84875,238.69267,898.55542
123,1.017,743.12622,237.57927,898.23816
124,1.025,732.76929,238.62289,899.23517
125,1.033,723.68695,239.1362,898.92285
126,1.042,716.1604,240.08121,898.67261
127,1.05,706.62573,240.13062,899.41669
128,1.058,698.12445,240.6044,900.22821
129,1.067,688.76019,240.45126,900.34778
130,1.075,679.46985,240.36208,900.98395
131,1.083,671.2262,240.13698,900.98462
132,1.092,661.62311,240.895,901.3349
133,1.1,653.63171,240.41574,902.19202
134,1.108,645.04004,240.10114,901.59662
135,1.117,636.87878,240.6512,901.77643
136,1.125,628.5321,240.93477,902.36218
137,1.133,620.32257,240.42807,903.09668
138,1.142,609.9082,240.90903,902.14825
139,1.15,603.84943,241.32919,902.63593
140,1.158,595.58545,240.8163,902.83148
141,1.167,587.01263,240.49789,903.29889
142,1.175,580.20746,240.25204,902.97314
143,1.183,572.42676,239.25171,903.46045
144,1.192,564.32709,238.93646,902.12292
145,1.2,556.29712,238.4722,903.87988
146,1.208,549.68726,238.52773,903.14172
147,1.217,542.9057,237.24509,903.05103
148,1.225,534.99701,236.94046,903.02271
149,1.233,527.54492,236.69196,903.82623
150,1.242,521.00549,235.81857,902.7309
151,1.25,514.367,235.40268,902.20343
152,1.258,506.38559,233.92889,902.46045
153,1.267,501.1651,233.43364,902.51123
154,1.275,493.62711,232.54579,902.78339
155,1.283,487.33499,231.783,902.05298
156,1.292,480.10574,231.18813,902.4317
157,1.3,474.46405,229.7484,901.97754
158,1.308,468.26685,228.26392,901.24756
159,1.317,461.48996,227.70634,901.23676
160,1.325,455.72528,226.52643,900.59607
161,1.333,449.3895,225.33379,900.79071
162,1.342,443.56522,224.41492,900.79663
163,1.35,436.79138,223.58051,900.867
164,1.358,431.41064,222.49788,900.1427
165,1.367,426.29892,220.90697,900.44586
166,1.375,418.81042,221.07401,899.87463
167,1.383,414.32465,219.56235,899.48157
168,1.392,407.65851,218.55058,900.15936
169,1.4,402.73557,217.93501,899.75879
170,1.408,398.91696,215.38396,900.39661
171,1.417,394.16678,214.69064,901.48914
172,1.425,389.69467,213.7468,902.6687
173,1.433,385.09247,213.51013,904.27057
174,1.442,380.48718,212.73793,905.10345
175,1.45,375.35593,210.90268,906.82483
176,1.458,371.0224,210.97313,907.35571
177,1.467,366.72516,209.94524,908.57031
178,1.475,361.55902,208.31972,909.64087
179,1.483,357.43225,207.95927,911.06281
180,1.492,352.38205,208.02475,911.54437
181,1.5,347.81546,208.0856,911.922
182,1.508,343.92422,207.41304,912.396
183,1.517,339.68454,207.36188,912.91461
