Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-1243.18494,111.69614,970.64502,-1140.44678,-56.66267,939.13202,-1143.56104,252.42844,951.33319
2,0.008,-1237.89612,112.16686,971.17267,-1140.52429,-55.8849,940.93268,-1139.32971,252.50325,951.60858
3,0.017,-1232.02161,112.32438,971.03326,-1140.57727,-54.99314,939.57336,-1132.93213,253.98926,951.37958
4,0.025,-1227.41528,112.72198,972.13208,-1124.99963,-55.82695,940.60907,-1128.0332,254.24527,951.203
5,0.033,-1222.5791,112.78817,971.91461,-1125.47034,-55.18509,941.87671,-1122.5105,253.53342,950.7016
6,0.042,-1217.32312,113.45045,972.21234,-1121.72412,-55.76798,939.6239,-1116.72083,254.02962,950.3045
7,0.05,-1212.04968,113.94131,972.0011,-1107.41406,-56.06524,941.13892,-1110.93982,253.69168,949.80139
8,0.058,-1206.73364,113.74996,972.15436,-1108.42761,-54.9083,939.87189,-1106.65759,253.82631,949.69348
9,0.067,-1200.72522,113.71919,972.09747,-1102.90625,-55.54974,941.28333,-1100.4303,253.79124,949.88495
10,0.075,-1195.81555,114.16814,972.35687,-1101.74231,-55.3831,941.99048,-1095.51355,254.07272,950.04291
11,0.083,-1189.44348,113.7154,972.07336,-1094.19043,-54.29095,941.20898,-1090.54272,255.12877,949.75653
12,0.092,-1184.25732,113.78806,972.38318,-1088.85303,-54.94396,941.75848,-1083.38452,253.86032,949.11249
13,0.1,-1178.81824,113.51199,972.26904,-1083.91089,-55.03431,941.53461,-1078.19397,253.15457,949.58167
14,0.108,-1172.703,113.08971,972.38989,-1073.68835,-56.55141,941.54022,-1073.1582,253.5887,948.07611
15,0.117,-1167.30957,112.84634,971.99127,-1069.34705,-56.45682,939.76569,-1067.17371,253.11763,947.38696
16,0.125,-1161.32007,112.69047,970.67505,-1062.95068,-56.14103,939.8902,-1061.94287,252.74287,948.09119
17,0.133,-1154.79712,112.06765,970.94897,-1060.0426,-56.007,940.20038,-1055.89453,253.47324,947.42786
18,0.142,-1148.24365,111.36568,970.29291,-1051.44067,-56.16138,939.27881,-1049.47839,252.41223,945.84125
19,0.15,-1142.01685,110.94734,969.42383,-1043.61084,-57.35267,938.09106,-1044.39417,252.35765,945.91144
20,0.158,-1135.64587,110.59853,968.68909,-1038.49023,-57.90185,937.66809,-1037.20715,250.97729,945.21002
21,0.167,-1129.53198,109.68578,967.336,-1030.36401,-58.32885,936.75055,-1031.54175,250.26634,943.4906
22,0.175,-1122.54041,108.87221,966.73578,-1022.46881,-59.78395,935.16064,-1026.27161,250.24629,943.1236
23,0.183,-1116.15271,108.47366,965.91748,-1018.85266,-59.2716,934.08563,-1019.1416,250.05171,943.27179
24,0.192,-1109.57825,107.39669,964.27966,-1012.62555,-59.40844,933.23315,-1012.45526,249.00717,942.25067
25,0.2,-1102.89075,106.51451,963.54797,-1003.63531,-61.01355,932.19757,-1005.42993,248.39958,940.12854
26,0.208,-1095.23608,106.02448,962.41913,-992.82971,-62.38894,929.67993,-998.71118,247.43309,940.67114
27,0.217,-1088.87463,105.20323,960.70892,-991.54871,-61.47423,929.22888,-992.2016,247.18393,938.54932
28,0.225,-1081.67419,104.68886,959.58221,-986.33978,-61.72555,929.65942,-984.62268,246.12228,936.88513
29,0.233,-1075.15723,103.67532,957.92737,-973.49658,-64.59973,927.30695,-977.42395,245.18776,936.29773
