Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,-1027.01196,-126.16152,828.19489,-1018.86969,-76.25264,834.11578,-990.43982,-57.6977,799.56927,-970.87445,-50.00157,761.08521,-1001.37115,-128.42801,759.76715,-994.33563,-113.94662,711.4314,-1000.65588,-97.79099,669.55304
2,0.008,-1024.75891,-127.4327,827.15009,-1015.65558,-76.62943,834.58148,-984.31616,-59.30986,798.84296,-967.07178,-49.05159,760.54846,-997.11096,-129.86621,760.28918,-990.66296,-111.87239,711.50391,-997.78906,-99.36429,669.63489
3,0.017,-1018.02826,-122.89415,828.37775,-1010.1579,-79.52747,833.81036,-980.21527,-57.5774,797.91296,-961.84424,-49.21087,760.77264,-992.09186,-130.52574,759.93628,-986.27417,-110.44838,710.5899,-994.28729,-101.28239,668.6958
4,0.025,-1011.92822,-126.26151,827.58344,-1006.54376,-78.65787,832.65662,-975.26044,-59.44393,797.66864,-956.73499,-52.21544,760.60931,-989.35297,-129.10995,760.00555,-982.12811,-112.94341,710.37769,-988.98694,-100.67718,668.17303
5,0.033,-1009.95636,-127.33384,827.86542,-1001.41681,-76.89781,833.71838,-971.39508,-59.31035,797.78772,-953.74664,-50.1161,760.79321,-985.10327,-129.88193,759.61035,-976.73474,-111.35557,709.26752,-984.6936,-99.11006,668.80609
6,0.042,-1003.04193,-127.93993,827.39459,-996.28003,-79.30141,833.3924,-966.23517,-59.08368,798.19513,-947.82922,-49.64447,760.38116,-979.80377,-130.12491,759.53674,-971.3692,-114.34966,709.40472,-980.50391,-101.17597,669.20062
7,0.05,-999.95325,-124.69119,827.37134,-993.37567,-79.91799,833.09766,-962.63544,-60.17577,796.77094,-943.11053,-51.17685,761.02246,-974.69403,-130.45486,758.987,-967.6543,-113.60405,709.75116,-974.8103,-100.1883,668.39514
8,0.058,-996.91284,-126.37574,826.97546,-987.20605,-77.10317,833.00592,-957.4541,-60.80709,796.72174,-938.48938,-51.45827,760.98871,-969.53882,-130.37373,758.57819,-962.54608,-112.77599,709.58911,-969.7207,-98.2226,669.39386
9,0.067,-989.90546,-127.44283,830.10034,-981.30737,-78.24536,833.41229,-950.45575,-60.31019,798.87372,-933.17017,-51.36803,760.60242,-965.85364,-129.94328,758.56622,-958.15771,-113.60779,709.1546,-965.69818,-99.89786,669.59314
10,0.075,-982.92932,-126.08659,828.44275,-981.31512,-78.57274,834.7948,-945.71906,-59.50286,797.92535,-927.34668,-52.00041,760.73804,-959.85651,-129.09004,758.56989,-952.80408,-112.4702,709.10779,-960.38995,-99.60079,668.6272
