Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,-1005.90674,-51.54843,570.11658,-931.46729,25.08577,509.12961,-983.57776,-26.50173,442.21472,-974.27429,77.60186,451.80469
2,0.008,-997.50836,-50.97508,571.76111,-923.08923,26.02914,513.02887,-973.46594,-28.22246,445.49344,-965.76733,76.43851,453.4827
3,0.017,-988.90167,-50.35287,573.66345,-914.6059,26.96324,515.02673,-964.48584,-26.5925,447.58951,-957.53619,77.31999,455.97797
4,0.025,-981.29041,-50.68956,576.13391,-906.14929,27.696,517.89343,-954.27783,-25.16105,449.33545,-949.24213,76.67329,458.75165
5,0.033,-973.901,-50.68782,577.47064,-898.75391,29.44572,520.96405,-946.74152,-25.49205,452.39038,-941.06653,77.32985,460.3432
6,0.042,-966.37646,-48.66854,578.77289,-892.16553,30.08847,522.25458,-937.70679,-24.76042,453.94839,-933.89124,76.77808,461.36401
7,0.05,-958.81329,-48.42012,580.03778,-885.69812,31.12119,524.94366,-930.47418,-25.777,455.73444,-926.26282,76.421,462.38342
8,0.058,-951.9693,-47.69806,581.08337,-879.32037,32.97649,526.66974,-921.9256,-25.62458,456.8074,-920.47791,75.93855,464.0665
9,0.067,-946.58478,-48.39437,581.22455,-873.08722,32.59826,528.31726,-913.7865,-24.31458,458.08554,-914.00177,77.85671,465.42566
10,0.075,-940.23047,-47.82054,581.83844,-867.84448,33.58192,528.79547,-909.07758,-24.31778,458.71161,-908.74225,75.76633,465.41766
11,0.083,-933.98584,-48.14296,581.77789,-863.2431,34.27962,528.8526,-901.04681,-25.94014,458.94553,-903.021,75.46363,466.54669
12,0.092,-929.15442,-48.43863,582.02032,-857.97748,34.62383,528.60077,-895.44836,-24.04471,458.1438,-897.52582,75.52623,465.98242
13,0.1,-924.08228,-48.16733,581.39697,-854.27692,33.37617,527.9339,-891.81061,-25.24424,457.80573,-894.45117,74.67301,465.88245
14,0.108,-919.47864,-48.96183,580.48083,-851.00793,33.94213,527.45978,-887.30536,-25.36759,456.68036,-890.84454,73.20256,463.5321
15,0.117,-915.99774,-48.80521,579.17822,-847.25677,33.79016,524.63031,-882.49896,-26.40903,455.45117,-888.30328,73.69572,463.03232
16,0.125,-912.16516,-49.41126,576.52008,-843.89819,33.76777,522.7182,-879.86859,-26.04229,454.44763,-884.16058,71.70211,460.91925
17,0.133,-909.26605,-49.82225,575.00464,-840.69025,33.24883,521.70612,-874.89575,-27.32834,454.35144,-881.66248,73.36654,458.31656
18,0.142,-906.64551,-50.4429,572.65601,-839.05713,32.79494,519.55231,-874.07068,-29.60666,453.18744,-878.78296,72.42899,456.34003
19,0.15,-903.96033,-51.59493,570.14014,-836.75043,32.59053,516.57501,-871.27924,-28.13124,451.02283,-876.98682,72.85672,455.47318
20,0.158,-902.29211,-52.87515,567.69592,-834.24103,31.31736,514.61151,-865.58453,-25.91154,449.39926,-874.07629,74.39931,451.50388
21,0.167,-899.16144,-54.79422,564.65924,-832.60474,32.18927,512.96411,-864.06769,-27.35985,448.66525,-870.58014,74.91691,450.33817
22,0.175,-897.41534,-55.68544,561.32385,-830.4079,32.35403,512.77203,-858.91608,-28.27114,448.43741,-869.24554,73.40885,449.23886
23,0.183,-894.18359,-55.89589,558.88574,-826.9314,33.37605,512.05518,-852.59302,-24.1503,445.9758,-866.04205,75.04115,447.25693
