Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-1008.02136,35.39175,1625.59717,-889.59363,44.87297,1522.95032
2,0.008,-1001.42194,36.43758,1624.94543,-882.43311,45.6871,1523.44983
3,0.017,-996.60828,37.47707,1624.10901,-876.4162,45.50847,1521.32385
4,0.025,-990.83014,37.10389,1624.35156,-869.72083,45.50978,1521.93835
5,0.033,-985.58075,36.27906,1624.57385,-864.10413,43.47172,1522.5835
6,0.042,-979.54694,36.40205,1623.81091,-858.534,45.3238,1521.30115
7,0.05,-972.82813,37.07909,1622.979,-853.22327,45.8634,1518.9657
8,0.058,-966.93079,37.31808,1622.5343,-846.67926,45.83162,1519.28833
9,0.067,-961.4986,37.11683,1622.34778,-840.84344,43.0886,1519.37048
10,0.075,-954.74207,37.79496,1621.51672,-834.41931,45.98492,1518.32788
11,0.083,-950.72479,38.20228,1620.22375,-828.60095,49.80828,1519.29968
12,0.092,-944.93463,37.0672,1620.69946,-821.69257,45.37305,1520.83557
13,0.1,-938.82068,37.18871,1619.9386,-816.07489,43.88998,1519.43298
14,0.108,-932.6944,37.30995,1619.17798,-810.89734,45.36888,1517.73743
15,0.117,-926.45673,36.8147,1618.83398,-804.18097,46.82307,1518.17786
16,0.125,-922.59314,35.60416,1617.34192,-798.74933,45.16972,1518.39392
17,0.133,-916.03833,35.36801,1616.9917,-792.51227,46.67239,1517.93542
18,0.142,-909.92499,35.25266,1615.92554,-785.74133,48.46155,1517.74072
19,0.15,-903.79425,35.26373,1614.83777,-779.20215,47.14761,1517.04395
20,0.158,-898.05011,34.33606,1613.63293,-772.78528,46.35342,1516.6571
21,0.167,-892.01941,33.39244,1613.47009,-766.60492,47.05112,1516.83496
22,0.175,-885.43231,32.55422,1612.07251,-760.59863,45.44112,1514.69434
23,0.183,-879.29486,32.41535,1611.44043,-754.43781,41.15003,1513.64746
24,0.192,-873.59595,31.85648,1610.62756,-748.33356,45.0894,1513.76782
25,0.2,-867.20349,30.52896,1608.7666,-741.72943,45.87036,1512.44824
26,0.208,-860.30322,28.0969,1608.84607,-735.3703,39.72191,1511.42456
27,0.217,-853.16315,27.48125,1607.9635,-728.79053,38.9063,1509.89771
28,0.225,-846.85638,27.59669,1607.19897,-723.64386,42.51786,1508.1676
29,0.233,-841.1546,25.58542,1608.40002,-716.48102,36.83625,1510.63623
30,0.242,-834.07727,24.58061,1608.07605,-708.59045,38.34664,1511.59338
31,0.25,-827.38409,24.30835,1608.17493,-702.71661,40.69923,1511.06409
32,0.258,-821.32428,22.61571,1608.38635,-696.55786,36.84633,1511.05811
33,0.267,-813.97168,21.49217,1608.95142,-690.19287,39.50605,1511.08813
34,0.275,-808.31744,21.13404,1608.79871,-683.0741,39.42165,1512.56897
35,0.283,-801.87805,19.02629,1610.23938,-677.01892,34.92165,1513.1991
36,0.292,-792.96039,16.88298,1612.80005,-669.50482,29.52697,1513.9325
37,0.3,-787.02319,17.06569,1612.92627,-662.48621,34.22761,1515.75134
38,0.308,-781.42773,16.36161,1613.13391,-656.45203,33.95598,1516.46936
39,0.317,-773.89307,14.9221,1615.49683,-651.1449,31.53293,1516.26892
40,0.325,-768.13733,13.79451,1615.72656,-643.07574,29.63157,1518.91321
41,0.333,-761.75781,12.46807,1617.22998,-636.38062,27.28084,1520.77722
42,0.342,-755.19562,12.2137,1617.5116,-629.74591,24.16342,1520.69946
43,0.35,-747.05505,9.92448,1619.7384,-622.00568,23.1445,1522.67676
44,0.358,-739.99579,8.58252,1620.9314,-616.04077,20.02132,1522.39465
