Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,58.25544,-192.13765,855.98462,44.55204,-169.64847,901.39948,49.51579,-128.8102,927.32745,51.09552,-92.838,953.70428,75.7894,-101.57935,853.49939,82.17982,-49.62103,851.78253,79.32214,-5.74119,839.07489
2,0.008,58.05547,-191.98341,855.7265,44.10415,-169.3699,902.02576,49.26368,-128.97095,927.24969,51.09552,-92.838,953.70428,75.7894,-101.57935,853.49939,82.17982,-49.62103,851.78253,79.66636,-5.77921,838.65594
3,0.017,58.05547,-191.98341,855.7265,44.27733,-169.51738,901.51129,49.3896,-128.90172,926.9809,51.09552,-92.838,953.70428,75.7894,-101.57935,853.49939,82.17982,-49.62103,851.78253,79.32214,-5.74119,839.07489
4,0.025,57.82841,-192.16502,855.60461,44.27733,-169.51738,901.51129,49.02332,-128.65457,926.80341,51.09552,-92.838,953.70428,75.57526,-101.65881,853.59119,82.17982,-49.62103,851.78253,79.66636,-5.77921,838.65594
5,0.033,57.82841,-192.16502,855.60461,44.10415,-169.3699,902.02576,49.02332,-128.65457,926.80341,50.92883,-92.95504,953.83588,75.57526,-101.65881,853.59119,82.17982,-49.62103,851.78253,79.32214,-5.74119,839.07489
6,0.042,57.82841,-192.16502,855.60461,44.10415,-169.3699,902.02576,49.3896,-128.90172,926.9809,51.09552,-92.838,953.70428,75.57526,-101.65881,853.59119,82.20186,-49.63961,851.90295,79.66636,-5.77921,838.65594
7,0.05,57.82841,-192.16502,855.60461,44.27733,-169.51738,901.51129,49.3896,-128.90172,926.9809,51.09552,-92.838,953.70428,75.57526,-101.65881,853.59119,82.20186,-49.63961,851.90295,79.32214,-5.74119,839.07489
8,0.058,57.55315,-192.32921,855.50818,44.18083,-169.98218,901.81262,48.91422,-128.88991,927.01868,51.09552,-92.838,953.70428,75.57526,-101.65881,853.59119,82.20186,-49.63961,851.90295,79.66636,-5.77921,838.65594
9,0.067,57.55315,-192.32921,855.50818,44.27733,-169.51738,901.51129,49.02332,-128.65457,926.80341,51.09552,-92.838,953.70428,75.57526,-101.65881,853.59119,82.20186,-49.63961,851.90295,79.49036,-5.46823,839.00629
10,0.075,57.55315,-192.32921,855.50818,44.27733,-169.51738,901.51129,49.02332,-128.65457,926.80341,51.09552,-92.838,953.70428,75.57526,-101.65881,853.59119,82.20186,-49.63961,851.90295,79.87806,-5.49707,838.61493
11,0.083,57.55315,-192.32921,855.50818,44.27733,-169.51738,901.51129,49.02332,-128.65457,926.80341,51.09552,-92.838,953.70428,75.79428,-101.30931,853.20648,82.20186,-49.63961,851.90295,79.49036,-5.46823,839.00629
12,0.092,57.55315,-192.32921,855.50818,44.10885,-170.29407,901.17084,49.02332,-128.65457,926.80341,51.09552,-92.838,953.70428,75.7839,-101.11935,853.01703,81.8624,-49.60497,851.87531,79.87806,-5.49707,838.61493
13,0.1,57.55315,-192.32921,855.50818,44.49149,-170.17848,901.18738,49.02332,-128.65457,926.80341,51.35637,-93.06116,953.27625,75.7839,-101.11935,853.01703,82.20186,-49.63961,851.90295,79.75092,-5.72871,838.54468
14,0.108,57.55315,-192.32921,855.50818,44.49149,-170.17848,901.18738,49.02332,-128.65457,926.80341,51.09034,-92.81179,953.07672,75.7839,-101.11935,853.01703,81.8624,-49.60497,851.87531,79.87806,-5.49707,838.61493
