Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,241.94281,143.13399,272.13373,161.63007,200.037,62.40931,159.90158,89.15183,59.86268
2,0.008,242.03047,142.98572,271.90881,161.63007,200.037,62.40931,159.90158,89.15183,59.86268
3,0.017,241.89925,143.17575,272.10394,161.63007,200.037,62.40931,161.50543,90.7708,61.29596
4,0.025,241.96718,142.82004,272.03455,161.34445,200.03116,62.51826,161.50543,90.7708,61.29596
5,0.033,241.96718,142.82004,272.03455,161.32266,199.56667,62.68397,161.50543,90.7708,61.29596
6,0.042,241.93301,142.7191,271.84628,161.34445,200.03116,62.51826,161.50543,90.7708,61.29596
7,0.05,241.97864,142.91708,271.95886,161.38182,199.93703,63.26311,159.90158,89.15183,59.86268
8,0.058,241.88924,142.99898,272.19354,161.38182,199.93703,63.26311,161.50543,90.7708,61.29596
9,0.067,241.89925,143.17575,272.10394,161.40359,200.40149,63.0974,159.90158,89.15183,59.86268
10,0.075,242.00241,143.25044,272.21042,161.32266,199.56667,62.68397,159.90158,89.15183,59.86268
11,0.083,241.99242,143.07362,272.29999,161.34616,200.51018,62.8668,161.50543,90.7708,61.29596
12,0.092,241.82777,142.83096,272.03879,161.34445,200.03116,62.51826,159.90158,89.15183,59.86268
13,0.1,241.88857,142.86922,272.28699,161.32266,199.56667,62.68397,159.90158,89.15183,59.86268
14,0.108,241.89856,143.04602,272.19742,161.32266,199.56667,62.68397,159.90158,89.15183,59.86268
15,0.117,241.99242,143.07362,272.29999,161.32266,199.56667,62.68397,159.90158,89.15183,59.86268
16,0.125,241.92163,142.85855,272.14136,161.40359,200.40149,63.0974,161.50543,90.7708,61.29596
17,0.133,241.99242,143.07362,272.29999,161.38182,199.93703,63.26311,159.90158,89.15183,59.86268
18,0.142,241.89856,143.04602,272.19742,161.40538,200.88036,63.44582,156.17484,87.9061,61.16234
19,0.15,241.79102,143.39462,272.03812,161.32266,199.56667,62.68397,156.17484,87.9061,61.16234
20,0.158,242.00241,143.25044,272.21042,161.34445,200.03116,62.51826,152.82344,88.92233,62.53335
21,0.167,241.9931,143.20338,272.20651,161.34445,200.03116,62.51826,156.17484,87.9061,61.16234
22,0.175,241.99242,143.07362,272.29999,161.34445,200.03116,62.51826,156.17484,87.9061,61.16234
23,0.183,242.0031,143.38017,272.11694,161.32266,199.56667,62.68397,156.17484,87.9061,61.16234
24,0.192,241.9931,143.20338,272.20651,161.32266,199.56667,62.68397,156.17484,87.9061,61.16234
25,0.2,241.7202,143.17952,271.87946,161.40359,200.40149,63.0974,156.17484,87.9061,61.16234
26,0.208,241.78171,143.34755,272.03421,161.40359,200.40149,63.0974,156.17484,87.9061,61.16234
27,0.217,241.68715,143.19019,272.02512,161.34445,200.03116,62.51826,156.17484,87.9061,61.16234
28,0.225,241.99242,143.07362,272.29999,161.32266,199.56667,62.68397,152.82344,88.92233,62.53335
29,0.233,242.00241,143.25044,272.21042,161.34445,200.03116,62.51826,160.77502,87.72602,59.91928
30,0.242,242.00241,143.25044,272.21042,161.34445,200.03116,62.51826,159.90158,89.15183,59.86268
31,0.25,241.79102,143.39462,272.03812,161.34445,200.03116,62.51826,156.17484,87.9061,61.16234
32,0.258,241.7917,143.52432,271.94464,161.32266,199.56667,62.68397,156.17484,87.9061,61.16234
33,0.267,241.83527,143.48257,271.97443,161.34445,200.03116,62.51826,156.17484,87.9061,61.16234
34,0.275,241.99026,143.29182,272.25873,161.40359,200.40149,63.0974,152.82344,88.92233,62.53335
35,0.283,241.99026,143.29182,272.25873,161.34445,200.03116,62.51826,156.17484,87.9061,61.16234
36,0.292,242.04666,143.33839,272.1467,161.34445,200.03116,62.51826,161.50543,90.7708,61.29596
37,0.3,242.05354,143.45747,272.133,161.34445,200.03116,62.51826,161.50543,90.7708,61.29596
38,0.308,242.00171,143.38885,272.18307,161.34616,200.51018,62.8668,161.50543,90.7708,61.29596
39,0.317,241.85474,143.55077,271.78683,161.34445,200.03116,62.51826,161.50543,90.7708,61.29596
40,0.325,242.0031,143.38017,272.11694,161.32266,199.56667,62.68397,159.90158,89.15183,59.86268
41,0.333,242.00171,143.38885,272.18307,161.34445,200.03116,62.51826,161.50543,90.7708,61.29596
42,0.342,242.26813,143.55406,272.22714,161.32266,199.56667,62.68397,161.50543,90.7708,61.29596
