Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,83.96336,-179.40428,496.04263,222.28671,-100.60049,528.98114,236.45525,-167.23511,422.38345,241.80151,-27.00283,415.32437
2,0.008,83.96336,-179.40428,496.04263,222.28618,-100.33828,529.00464,236.45525,-167.23511,422.38345,241.64091,-26.83279,415.58252
3,0.017,84.18097,-179.15311,495.91879,222.28618,-100.33828,529.00464,236.45525,-167.23511,422.38345,241.66869,-27.1056,415.01697
4,0.025,83.86546,-179.49551,495.84692,222.28618,-100.33828,529.00464,236.45525,-167.23511,422.38345,241.66869,-27.1056,415.01697
5,0.033,83.86546,-179.49551,495.84692,222.28618,-100.33828,529.00464,236.45525,-167.23511,422.38345,241.66994,-26.96632,414.80621
6,0.042,83.86546,-179.49551,495.84692,222.41566,-100.13667,528.98907,236.45525,-167.23511,422.38345,241.66994,-26.96632,414.80621
7,0.05,84.11228,-179.25798,495.90176,222.28618,-100.33828,529.00464,236.41914,-167.77275,422.52161,241.5094,-26.7963,415.06442
8,0.058,84.19312,-178.99353,496.00616,222.41566,-100.13667,528.98907,236.45525,-167.23511,422.38345,241.66994,-26.96632,414.80621
9,0.067,84.19312,-178.99353,496.00616,222.44971,-99.96854,528.8924,236.6216,-166.74385,422.0589,241.5094,-26.7963,415.06442
10,0.075,84.19312,-178.99353,496.00616,222.44971,-99.96854,528.8924,236.33095,-167.40138,422.32782,241.66994,-26.96632,414.80621
11,0.083,84.19312,-178.99353,496.00616,222.54659,-99.90078,528.84528,236.76096,-166.7202,422.25287,241.5094,-26.7963,415.06442
12,0.092,84.19312,-178.99353,496.00616,222.44971,-99.96854,528.8924,236.72571,-166.50989,422.13251,241.5094,-26.7963,415.06442
13,0.1,84.19312,-178.99353,496.00616,222.54659,-99.90078,528.84528,236.72571,-166.50989,422.13251,241.38013,-26.57437,414.6467
14,0.108,84.19312,-178.99353,496.00616,222.57974,-99.63064,528.80408,236.98244,-166.48505,422.35825,241.61917,-26.39209,414.57336
15,0.117,84.19312,-178.99353,496.00616,222.57974,-99.63064,528.80408,236.95508,-166.29842,422.22867,241.45862,-26.22205,414.83154
16,0.125,84.56232,-178.33437,495.81516,222.67931,-99.47756,528.73279,236.86598,-166.83871,422.36331,241.61917,-26.39209,414.57336
17,0.133,84.56232,-178.33437,495.81516,222.8981,-99.12608,528.3905,236.95508,-166.29842,422.22867,241.61917,-26.39209,414.57336
18,0.142,84.31508,-178.30641,495.74417,222.8981,-99.12608,528.3905,236.95508,-166.29842,422.22867,241.61917,-26.39209,414.57336
19,0.15,84.56232,-178.33437,495.81516,222.8981,-99.12608,528.3905,236.95508,-166.29842,422.22867,241.61917,-26.39209,414.57336
20,0.158,84.82516,-177.82126,495.59857,222.8981,-99.12608,528.3905,236.95508,-166.29842,422.22867,241.61917,-26.39209,414.57336
21,0.167,84.56232,-178.33437,495.81516,222.8981,-99.12608,528.3905,236.95508,-166.29842,422.22867,241.63901,-26.37803,414.36288
22,0.175,84.56232,-178.33437,495.81516,222.99141,-99.08564,528.36646,237.2012,-165.97693,422.15933,241.63901,-26.37803,414.36288
23,0.183,84.80305,-178.31946,495.77762,222.99141,-99.08564,528.36646,237.44737,-165.65556,422.08997,241.63901,-26.37803,414.36288
24,0.192,84.5844,-177.83615,495.63611,223.1064,-98.90392,528.35553,237.44737,-165.65556,422.08997,241.63901,-26.37803,414.36288
25,0.2,84.5844,-177.83615,495.63611,223.15785,-98.80946,528.2804,237.44737,-165.65556,422.08997,241.63901,-26.37803,414.36288
26,0.208,84.5844,-177.83615,495.63611,223.14868,-98.70273,528.18793,237.44737,-165.65556,422.08997,241.63901,-26.37803,414.36288
27,0.217,84.5844,-177.83615,495.63611,223.15785,-98.80946,528.2804,237.44737,-165.65556,422.08997,241.63901,-26.37803,414.36288
28,0.225,84.56232,-178.33437,495.81516,223.15785,-98.80946,528.2804,237.44737,-165.65556,422.08997,241.63901,-26.37803,414.36288
