Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,168.95337,-101.89388,281.52866,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
2,0.008,168.97287,-102.30073,281.23807,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
3,0.017,168.70035,-102.20009,280.79712,72.64421,-181.77606,73.69946,99.18813,-79.60422,51.92234
4,0.025,168.65724,-102.06715,281.16284,72.51371,-181.7305,73.83205,99.18813,-79.60422,51.92234
5,0.033,168.82436,-102.09045,281.57874,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
6,0.042,168.82436,-102.09045,281.57874,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
7,0.05,168.65724,-102.06715,281.16284,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
8,0.058,168.45415,-102.15323,281.13583,72.38391,-181.8026,73.80346,99.13608,-80.213,52.52787
9,0.067,168.65724,-102.06715,281.16284,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
10,0.075,168.65724,-102.06715,281.16284,72.59369,-181.94899,73.62017,98.21091,-80.7215,52.69051
11,0.083,168.65724,-102.06715,281.16284,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
12,0.092,168.65724,-102.06715,281.16284,72.46319,-181.90341,73.75278,99.18813,-79.60422,51.92234
13,0.1,168.65724,-102.06715,281.16284,72.3334,-181.97549,73.72418,99.13608,-80.213,52.52787
14,0.108,168.65724,-102.06715,281.16284,72.46319,-181.90341,73.75278,99.18813,-79.60422,51.92234
15,0.117,168.45415,-102.15323,281.13583,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
16,0.125,168.82436,-102.09045,281.57874,72.3334,-181.97549,73.72418,98.07544,-80.07743,52.20352
17,0.133,168.82436,-102.09045,281.57874,72.46319,-181.90341,73.75278,98.21091,-80.7215,52.69051
18,0.142,168.65724,-102.06715,281.16284,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
19,0.15,168.70035,-102.20009,280.79712,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
20,0.158,168.70035,-102.20009,280.79712,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
21,0.167,168.49724,-102.28616,280.77014,72.46319,-181.90341,73.75278,99.18813,-79.60422,51.92234
22,0.175,168.76974,-102.38683,281.21106,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
23,0.183,168.49724,-102.28616,280.77014,72.51371,-181.7305,73.83205,99.18813,-79.60422,51.92234
24,0.192,168.97287,-102.30073,281.23807,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
25,0.2,168.97287,-102.30073,281.23807,72.3334,-181.97549,73.72418,98.07544,-80.07743,52.20352
26,0.208,168.97287,-102.30073,281.23807,72.46319,-181.90341,73.75278,98.21091,-80.7215,52.69051
27,0.217,168.97287,-102.30073,281.23807,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
28,0.225,168.97287,-102.30073,281.23807,72.46319,-181.90341,73.75278,98.21091,-80.7215,52.69051
29,0.233,168.97287,-102.30073,281.23807,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
30,0.242,168.97287,-102.30073,281.23807,72.64421,-181.77606,73.69946,99.18813,-79.60422,51.92234
31,0.25,168.97287,-102.30073,281.23807,72.64421,-181.77606,73.69946,98.07544,-80.07743,52.20352
32,0.258,168.97287,-102.30073,281.23807,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
33,0.267,168.97287,-102.30073,281.23807,72.59369,-181.94899,73.62017,98.07544,-80.07743,52.20352
34,0.275,168.97287,-102.30073,281.23807,72.46319,-181.90341,73.75278,98.07544,-80.07743,52.20352
35,0.283,168.97287,-102.30073,281.23807,72.33504,-181.64125,74.08551,98.07544,-80.07743,52.20352
36,0.292,168.97287,-102.30073,281.23807,72.51441,-181.84818,73.67086,98.07544,-80.07743,52.20352
37,0.3,169.05241,-102.32996,281.099,72.51371,-181.7305,73.83205,96.47228,-80.51398,52.27504
38,0.308,169.05241,-102.32996,281.099,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
39,0.317,169.05241,-102.32996,281.099,72.46319,-181.90341,73.75278,98.21091,-80.7215,52.69051
40,0.325,169.05241,-102.32996,281.099,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
41,0.333,169.05241,-102.32996,281.099,72.64421,-181.77606,73.69946,98.07544,-80.07743,52.20352
42,0.342,169.05241,-102.32996,281.099,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
43,0.35,169.18141,-102.13341,281.04892,72.64421,-181.77606,73.69946,98.07544,-80.07743,52.20352
44,0.358,169.3989,-102.04791,280.92838,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
45,0.367,169.26993,-102.24445,280.97849,72.64421,-181.77606,73.69946,98.94288,-80.23346,51.65042
46,0.375,169.26993,-102.24445,280.97849,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
47,0.383,169.43593,-102.2366,280.96286,72.64421,-181.77606,73.69946,98.21091,-80.7215,52.69051
48,0.392,169.05241,-102.32996,281.099,72.51371,-181.7305,73.83205,98.57628,-80.47777,52.17017
49,0.4,169.26993,-102.24445,280.97849,72.64421,-181.77606,73.69946,98.57628,-80.47777,52.17017
50,0.408,169.79936,-101.60907,280.98166,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
51,0.417,169.79936,-101.60907,280.98166,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
52,0.425,169.6483,-101.67162,280.89487,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
53,0.433,169.49384,-101.8258,280.98331,72.51441,-181.84818,73.67086,98.07544,-80.07743,52.20352
54,0.442,169.43593,-102.2366,280.96286,72.59369,-181.94899,73.62017,98.21091,-80.7215,52.69051
55,0.45,169.26993,-102.24445,280.97849,72.51371,-181.7305,73.83205,99.18813,-79.60422,51.92234
56,0.458,169.36485,-102.02235,281.03339,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
57,0.467,169.5649,-102.04005,280.91275,72.51371,-181.7305,73.83205,99.13608,-80.213,52.52787
58,0.475,169.6483,-101.67162,280.89487,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
59,0.483,169.53844,-101.8391,280.94238,72.51371,-181.7305,73.83205,98.07544,-80.07743,52.20352
60,0.492,169.3989,-102.04791,280.92838,72.59369,-181.94899,73.62017,98.21091,-80.7215,52.69051
61,0.5,169.26993,-102.24445,280.97849,72.46319,-181.90341,73.75278,98.21091,-80.7215,52.69051
62,0.508,169.53085,-102.0145,281.01776,72.64421,-181.77606,73.69946,99.13608,-80.213,52.52787
63,0.517,169.26993,-102.24445,280.97849,72.51371,-181.7305,73.83205,98.21091,-80.7215,52.69051
