Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,120.16096,-202.40128,1202.27368,115.36074,-258.03714,1052.50842,112.68098,-177.19945,1002.21588
2,0.008,120.537,-202.31595,1202.25073,115.36074,-258.03714,1052.50842,112.68098,-177.19945,1002.21588
3,0.017,120.25967,-202.17953,1202.44495,115.15657,-257.97568,1052.56335,112.68098,-177.19945,1002.21588
4,0.025,120.25967,-202.17953,1202.44495,115.10438,-258.35126,1052.56311,112.68098,-177.19945,1002.21588
5,0.033,120.25967,-202.17953,1202.44495,115.38241,-257.90408,1052.58948,113.01038,-176.7755,1002.44659
6,0.042,120.31142,-201.08548,1202.39832,115.24588,-258.08282,1052.76904,113.01038,-176.7755,1002.44659
7,0.05,120.31142,-201.08548,1202.39832,115.0417,-258.02139,1052.8241,112.68098,-177.19945,1002.21588
8,0.058,120.39555,-200.71561,1202.59888,115.02003,-258.15439,1052.74292,112.68098,-177.19945,1002.21588
9,0.067,120.44257,-201.60757,1202.65332,115.27638,-257.8403,1052.68823,112.68098,-177.19945,1002.21588
10,0.075,120.39555,-200.71561,1202.59888,115.15657,-257.97568,1052.56335,113.01038,-176.7755,1002.44659
11,0.083,120.39555,-200.71561,1202.59888,115.10438,-258.35126,1052.56311,112.68098,-177.19945,1002.21588
12,0.092,120.39555,-200.71561,1202.59888,115.50224,-257.76871,1052.71436,112.68098,-177.19945,1002.21588
13,0.1,120.39555,-200.71561,1202.59888,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
14,0.108,120.39555,-200.71561,1202.59888,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
15,0.117,120.44257,-201.60757,1202.65332,115.24588,-258.08282,1052.76904,113.01038,-176.7755,1002.44659
16,0.125,120.39555,-200.71561,1202.59888,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
17,0.133,120.39555,-200.71561,1202.59888,115.48056,-257.90173,1052.63318,112.68098,-177.19945,1002.21588
18,0.142,120.39555,-200.71561,1202.59888,115.48056,-257.90173,1052.63318,112.68098,-177.19945,1002.21588
19,0.15,120.39555,-200.71561,1202.59888,115.0417,-258.02139,1052.8241,113.01038,-176.7755,1002.44659
20,0.158,120.39555,-200.71561,1202.59888,115.38241,-257.90408,1052.58948,113.01038,-176.7755,1002.44659
21,0.167,120.39555,-200.71561,1202.59888,115.29807,-257.70728,1052.76941,113.01038,-176.7755,1002.44659
22,0.175,120.39555,-200.71561,1202.59888,115.29807,-257.70728,1052.76941,113.01038,-176.7755,1002.44659
23,0.183,120.39555,-200.71561,1202.59888,115.24588,-258.08282,1052.76904,113.01038,-176.7755,1002.44659
24,0.192,120.39555,-200.71561,1202.59888,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
25,0.2,120.39555,-200.71561,1202.59888,115.29807,-257.70728,1052.76941,113.01038,-176.7755,1002.44659
26,0.208,120.39555,-200.71561,1202.59888,115.0417,-258.02139,1052.8241,113.01038,-176.7755,1002.44659
27,0.217,120.39555,-200.71561,1202.59888,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
28,0.225,120.39555,-200.71561,1202.59888,115.0417,-258.02139,1052.8241,113.01038,-176.7755,1002.44659
29,0.233,120.44257,-201.60757,1202.65332,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
30,0.242,120.44257,-201.60757,1202.65332,115.29807,-257.70728,1052.76941,113.01038,-176.7755,1002.44659
31,0.25,120.39555,-200.71561,1202.59888,115.2242,-258.21585,1052.68787,112.68098,-177.19945,1002.21588
32,0.258,120.44257,-201.60757,1202.65332,115.0417,-258.02139,1052.8241,113.01038,-176.7755,1002.44659
33,0.267,120.44257,-201.60757,1202.65332,115.50224,-257.76871,1052.71436,113.01038,-176.7755,1002.44659
34,0.275,120.44257,-201.60757,1202.65332,115.24588,-258.08282,1052.76904,113.01038,-176.7755,1002.44659
35,0.283,120.44257,-201.60757,1202.65332,115.21983,-258.17923,1052.96057,113.01038,-176.7755,1002.44659
36,0.292,120.44257,-201.60757,1202.65332,115.2242,-258.21585,1052.68787,112.68098,-177.19945,1002.21588
37,0.3,120.44257,-201.60757,1202.65332,115.42399,-258.24069,1052.90564,113.01038,-176.7755,1002.44659
38,0.308,120.44257,-201.60757,1202.65332,115.21983,-258.17923,1052.96057,113.01038,-176.7755,1002.44659
39,0.317,120.44257,-201.60757,1202.65332,115.21983,-258.17923,1052.96057,113.01038,-176.7755,1002.44659
40,0.325,120.44257,-201.60757,1202.65332,115.4023,-258.37369,1052.82446,112.68098,-177.19945,1002.21588
41,0.333,120.25967,-202.17953,1202.44495,115.4023,-258.37369,1052.82446,112.68098,-177.19945,1002.21588
42,0.342,120.25967,-202.17953,1202.44495,115.4023,-258.37369,1052.82446,112.68098,-177.19945,1002.21588
43,0.35,120.25967,-202.17953,1202.44495,115.19814,-258.31226,1052.87939,112.68098,-177.19945,1002.21588
44,0.358,120.25967,-202.17953,1202.44495,115.1218,-258.46402,1053.01404,112.68098,-177.19945,1002.21588
45,0.367,120.25967,-202.17953,1202.44495,115.32596,-258.52548,1052.95911,112.68098,-177.19945,1002.21588
46,0.375,120.21749,-202.93587,1203.10767,114.96581,-258.59583,1053.27869,112.68098,-177.19945,1002.21588
47,0.383,120.21749,-202.93587,1203.10767,115.1218,-258.46402,1053.01404,113.17401,-177.33408,1002.71326
48,0.392,120.21749,-202.93587,1203.10767,115.06992,-258.84003,1053.01404,113.17401,-177.33408,1002.71326
49,0.4,119.75387,-203.42944,1203.02185,114.86577,-258.77859,1053.06909,112.97749,-177.3586,1003.06659
50,0.408,119.72957,-203.60359,1203.39502,114.86577,-258.77859,1053.06909,112.97749,-177.3586,1003.06659
51,0.417,119.72957,-203.60359,1203.39502,114.86577,-258.77859,1053.06909,113.17401,-177.33408,1002.71326
52,0.425,119.72957,-203.60359,1203.39502,114.86577,-258.77859,1053.06909,112.97749,-177.3586,1003.06659
53,0.433,119.72957,-203.60359,1203.39502,114.86577,-258.77859,1053.06909,112.97749,-177.3586,1003.06659
54,0.442,119.72957,-203.60359,1203.39502,114.91391,-258.97183,1053.27869,112.97749,-177.3586,1003.06659
55,0.45,119.72957,-203.60359,1203.39502,114.46564,-258.90088,1053.3363,112.97749,-177.3586,1003.06659
56,0.458,119.72957,-203.60359,1203.39502,114.70979,-258.91037,1053.33374,113.6154,-177.485,1003.36902
57,0.467,119.72957,-203.60359,1203.39502,114.95007,-258.97543,1052.88916,114.58613,-177.61664,1003.40295
58,0.475,119.64855,-203.76772,1203.24597,114.86577,-258.77859,1053.06909,113.6154,-177.485,1003.36902
59,0.483,119.72957,-203.60359,1203.39502,114.86577,-258.77859,1053.06909,113.6154,-177.485,1003.36902
60,0.492,119.72957,-203.60359,1203.39502,114.86577,-258.77859,1053.06909,113.6154,-177.485,1003.36902
61,0.5,119.72957,-203.60359,1203.39502,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
62,0.508,119.72957,-203.60359,1203.39502,114.98185,-259.06366,1053.18994,114.58613,-177.61664,1003.40295
63,0.517,119.64855,-203.76772,1203.24597,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
64,0.525,119.72957,-203.60359,1203.39502,114.60207,-259.04706,1053.07898,114.58613,-177.61664,1003.40295
65,0.533,119.72957,-203.60359,1203.39502,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
66,0.542,119.72957,-203.60359,1203.39502,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
67,0.55,119.72957,-203.60359,1203.39502,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
68,0.558,120.2216,-204.00778,1203.4165,114.91391,-258.97183,1053.27869,114.58613,-177.61664,1003.40295
69,0.567,119.72957,-203.60359,1203.39502,114.48351,-258.80527,1053.46948,114.58613,-177.61664,1003.40295
70,0.575,119.378,-203.75926,1203.70142,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
71,0.583,119.45899,-203.59509,1203.85046,114.70979,-258.91037,1053.33374,114.60474,-177.93117,1003.59479
72,0.592,119.64855,-203.76772,1203.24597,114.70979,-258.91037,1053.33374,114.58613,-177.61664,1003.40295
73,0.6,119.64855,-203.76772,1203.24597,114.91391,-258.97183,1053.27869,114.58613,-177.61664,1003.40295
74,0.608,119.64855,-203.76772,1203.24597,114.48351,-258.80527,1053.46948,114.60474,-177.93117,1003.59479
75,0.617,119.45899,-203.59509,1203.85046,114.48351,-258.80527,1053.46948,114.60474,-177.93117,1003.59479
76,0.625,119.45899,-203.59509,1203.85046,114.91391,-258.97183,1053.27869,114.60474,-177.93117,1003.59479
77,0.633,119.45899,-203.59509,1203.85046,114.70979,-258.91037,1053.33374,115.57586,-178.06285,1003.62872
78,0.642,119.45899,-203.59509,1203.85046,114.70979,-258.91037,1053.33374,115.57586,-178.06285,1003.62872
79,0.65,119.45899,-203.59509,1203.85046,114.68764,-258.86676,1053.41443,114.60474,-177.93117,1003.59479
80,0.658,119.378,-203.75926,1203.70142,114.70979,-258.91037,1053.33374,114.60474,-177.93117,1003.59479
81,0.667,120.10358,-204.0816,1203.78503,114.70308,-259.60669,1053.39734,115.57586,-178.06285,1003.62872
82,0.675,120.2216,-204.00778,1203.4165,114.70308,-259.60669,1053.39734,115.57586,-178.06285,1003.62872
83,0.683,119.45899,-203.59509,1203.85046,114.70979,-258.91037,1053.33374,115.57586,-178.06285,1003.62872
84,0.692,119.45899,-203.59509,1203.85046,114.70979,-258.91037,1053.33374,114.60474,-177.93117,1003.59479
85,0.7,119.378,-203.75926,1203.70142,114.46564,-258.90088,1053.3363,114.60474,-177.93117,1003.59479
86,0.708,119.72957,-203.60359,1203.39502,114.34904,-259.84894,1053.37048,115.57586,-178.06285,1003.62872
87,0.717,119.45899,-203.59509,1203.85046,114.70308,-259.60669,1053.39734,115.57586,-178.06285,1003.62872
88,0.725,119.378,-203.75926,1203.70142,114.7995,-259.80487,1053.08765,114.60474,-177.93117,1003.59479
89,0.733,119.45899,-203.59509,1203.85046,114.48351,-258.80527,1053.46948,114.60474,-177.93117,1003.59479
90,0.742,119.45899,-203.59509,1203.85046,114.12949,-259.04749,1053.44263,114.60474,-177.93117,1003.59479
91,0.75,119.378,-203.75926,1203.70142,114.48351,-258.80527,1053.46948,114.60474,-177.93117,1003.59479
92,0.758,119.45899,-203.59509,1203.85046,114.70979,-258.91037,1053.33374,114.60474,-177.93117,1003.59479
93,0.767,119.45899,-203.59509,1203.85046,114.23937,-258.79575,1053.47205,114.60474,-177.93117,1003.59479
94,0.775,119.378,-203.75926,1203.70142,114.48351,-258.80527,1053.46948,114.60474,-177.93117,1003.59479
95,0.783,119.45899,-203.59509,1203.85046,114.48351,-258.80527,1053.46948,114.60474,-177.93117,1003.59479
96,0.792,119.45899,-203.59509,1203.85046,114.12949,-259.04749,1053.44263,114.60474,-177.93117,1003.59479
97,0.8,119.378,-203.75926,1203.70142,114.39442,-258.99042,1053.3772,114.60474,-177.93117,1003.59479
98,0.808,119.45899,-203.59509,1203.85046,114.23937,-258.79575,1053.47205,114.60474,-177.93117,1003.59479
99,0.817,119.378,-203.75926,1203.70142,114.39085,-258.96436,1053.51953,114.60474,-177.93117,1003.59479
100,0.825,119.378,-203.75926,1203.70142,114.22177,-258.88385,1053.83875,114.60474,-177.93117,1003.59479
101,0.833,119.378,-203.75926,1203.70142,114.258,-258.84424,1053.63452,114.60474,-177.93117,1003.59479
102,0.842,119.378,-203.75926,1203.70142,114.258,-258.84424,1053.63452,114.60474,-177.93117,1003.59479
103,0.85,119.378,-203.75926,1203.70142,114.258,-258.84424,1053.63452,114.60474,-177.93117,1003.59479
104,0.858,119.378,-203.75926,1203.70142,114.22177,-258.88385,1053.83875,114.60474,-177.93117,1003.59479
105,0.867,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
106,0.875,119.378,-203.75926,1203.70142,114.10529,-259.83185,1053.8728,114.60474,-177.93117,1003.59479
107,0.883,119.45899,-203.59509,1203.85046,113.86127,-259.82227,1053.87537,114.60474,-177.93117,1003.59479
108,0.892,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
109,0.9,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
110,0.908,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
111,0.917,119.378,-203.75926,1203.70142,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
112,0.925,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
113,0.933,119.45899,-203.59509,1203.85046,113.85387,-260.51852,1053.93896,114.60474,-177.93117,1003.59479
114,0.942,119.25943,-203.38808,1204.06335,113.98748,-260.71567,1054.22717,114.60474,-177.93117,1003.59479
115,0.95,119.378,-203.75926,1203.70142,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
116,0.958,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,114.60474,-177.93117,1003.59479
117,0.967,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,114.60474,-177.93117,1003.59479
118,0.975,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,114.60474,-177.93117,1003.59479
119,0.983,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,114.60474,-177.93117,1003.59479
120,0.992,119.25943,-203.38808,1204.06335,113.82393,-260.27475,1054.27051,114.60474,-177.93117,1003.59479
121,1,119.45899,-203.59509,1203.85046,113.81664,-260.97095,1054.33398,114.60474,-177.93117,1003.59479
122,1.008,119.45899,-203.59509,1203.85046,113.82393,-260.27475,1054.27051,114.60474,-177.93117,1003.59479
123,1.017,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,114.60474,-177.93117,1003.59479
124,1.025,119.45899,-203.59509,1203.85046,113.84312,-259.24561,1054.17212,114.60474,-177.93117,1003.59479
125,1.033,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,114.60474,-177.93117,1003.59479
126,1.042,119.45899,-203.59509,1203.85046,113.94043,-259.56982,1054.28247,114.60474,-177.93117,1003.59479
127,1.05,119.45899,-203.59509,1203.85046,113.82393,-260.27475,1054.27051,115.57586,-178.06285,1003.62872
128,1.058,119.45899,-203.59509,1203.85046,113.82393,-260.27475,1054.27051,114.60474,-177.93117,1003.59479
129,1.067,119.45899,-203.59509,1203.85046,113.83036,-259.57855,1054.20691,114.60474,-177.93117,1003.59479
130,1.075,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,114.60474,-177.93117,1003.59479
131,1.083,119.45899,-203.59509,1203.85046,113.84312,-259.24561,1054.17212,116.11396,-177.93672,1003.91919
132,1.092,119.25943,-203.38808,1204.06335,114.00127,-259.32303,1054.09998,115.57586,-178.06285,1003.62872
133,1.1,119.45899,-203.59509,1203.85046,113.67221,-259.5011,1054.27905,116.11396,-177.93672,1003.91919
134,1.108,119.45899,-203.59509,1203.85046,113.67221,-259.5011,1054.27905,115.34724,-177.85976,1003.92035
135,1.117,119.45899,-203.59509,1203.85046,113.83036,-259.57855,1054.20691,116.11396,-177.93672,1003.91919
136,1.125,119.25943,-203.38808,1204.06335,113.83036,-259.57855,1054.20691,115.57586,-178.06285,1003.62872
137,1.133,119.25943,-203.38808,1204.06335,113.67221,-259.5011,1054.27905,115.57586,-178.06285,1003.62872
138,1.142,119.45899,-203.59509,1203.85046,113.84312,-259.24561,1054.17212,116.11396,-177.93672,1003.91919
139,1.15,119.45899,-203.59509,1203.85046,113.82812,-259.57483,1054.30029,115.34724,-177.85976,1003.92035
140,1.158,119.45899,-203.59509,1203.85046,113.98795,-259.66599,1054.2146,116.11396,-177.93672,1003.91919
141,1.167,119.25943,-203.38808,1204.06335,113.82938,-260.63824,1054.29932,116.11396,-177.93672,1003.91919
142,1.175,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,116.11396,-177.93672,1003.91919
143,1.183,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,116.11396,-177.93672,1003.91919
144,1.192,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,116.11396,-177.93672,1003.91919
145,1.2,119.45899,-203.59509,1203.85046,114.00127,-259.32303,1054.09998,116.11396,-177.93672,1003.91919
146,1.208,119.45899,-203.59509,1203.85046,113.96886,-260.66727,1054.06482,116.11396,-177.93672,1003.91919
147,1.217,119.45899,-203.59509,1203.85046,114.23142,-260.72531,1054.22461,115.57586,-178.06285,1003.62872
148,1.225,119.45899,-203.59509,1203.85046,114.24532,-259.33258,1054.09741,116.11396,-177.93672,1003.91919
149,1.233,119.45899,-203.59509,1203.85046,113.8678,-259.12604,1053.81189,115.57586,-178.06285,1003.62872
150,1.242,119.45899,-203.59509,1203.85046,114.11188,-259.13556,1053.80933,116.11396,-177.93672,1003.91919
151,1.25,120.10358,-204.0816,1203.78503,114.11188,-259.13556,1053.80933,116.11396,-177.93672,1003.91919
152,1.258,120.10358,-204.0816,1203.78503,114.46588,-258.89337,1053.83606,116.11396,-177.93672,1003.91919
153,1.267,120.10358,-204.0816,1203.78503,114.46588,-258.89337,1053.83606,116.11396,-177.93672,1003.91919
154,1.275,120.10358,-204.0816,1203.78503,114.46588,-258.89337,1053.83606,116.51147,-177.53491,1004.26556
155,1.283,120.10358,-204.0816,1203.78503,114.46588,-258.89337,1053.83606,116.51147,-177.53491,1004.26556
156,1.292,120.2216,-204.00778,1203.4165,114.66998,-258.95486,1053.78113,116.51147,-177.53491,1004.26556
157,1.3,120.10358,-204.0816,1203.78503,114.66998,-258.95486,1053.78113,116.51147,-177.53491,1004.26556
158,1.308,120.10358,-204.0816,1203.78503,114.66998,-258.95486,1053.78113,116.51147,-177.53491,1004.26556
159,1.317,120.2216,-204.00778,1203.4165,114.87521,-259.04376,1053.6377,116.51147,-177.53491,1004.26556
160,1.325,120.2216,-204.00778,1203.4165,114.93253,-259.02032,1053.44116,116.44196,-177.27104,1003.9104
161,1.333,120.2216,-204.00778,1203.4165,114.93253,-259.02032,1053.44116,116.51147,-177.53491,1004.26556
162,1.342,121.02732,-203.2653,1203.36096,114.93253,-259.02032,1053.44116,116.51147,-177.53491,1004.26556
163,1.35,121.41468,-202.58574,1203.28137,114.87521,-259.04376,1053.6377,116.51147,-177.53491,1004.26556
164,1.358,121.41468,-202.58574,1203.28137,115.12104,-258.98615,1053.48022,116.51147,-177.53491,1004.26556
165,1.367,121.49766,-202.87657,1203.49878,114.93253,-259.02032,1053.44116,117.09194,-177.50125,1003.93707
166,1.375,121.1886,-203.20795,1203.10632,115.29005,-258.80432,1053.61401,117.09194,-177.50125,1003.93707
167,1.383,121.49766,-202.87657,1203.49878,115.37705,-258.6716,1053.42529,117.09194,-177.50125,1003.93707
168,1.392,121.69084,-202.36427,1203.62927,115.52435,-258.62274,1053.47778,117.09194,-177.50125,1003.93707
169,1.4,121.69084,-202.36427,1203.62927,115.95886,-258.99121,1053.57263,117.02257,-177.23729,1003.58185
170,1.408,121.49766,-202.87657,1203.49878,115.95886,-258.99121,1053.57263,117.09194,-177.50125,1003.93707
171,1.417,121.49766,-202.87657,1203.49878,116.10114,-258.83618,1053.61426,116.74051,-177.62003,1003.72076
172,1.425,122.32033,-202.23715,1203.69824,116.10114,-258.83618,1053.61426,117.09194,-177.50125,1003.93707
173,1.433,122.38287,-202.58208,1203.99219,116.12285,-258.70313,1053.69543,117.09194,-177.50125,1003.93707
174,1.442,122.21851,-203.01964,1203.87939,116.12285,-258.70313,1053.69543,117.09194,-177.50125,1003.93707
175,1.45,122.38287,-202.58208,1203.99219,116.12285,-258.70313,1053.69543,117.09194,-177.50125,1003.93707
176,1.458,122.6419,-202.60849,1203.94604,116.10114,-258.83618,1053.61426,117.79865,-177.50667,1003.7019
177,1.467,122.6419,-202.60849,1203.94604,116.5136,-258.39038,1053.29492,117.72932,-177.24263,1003.34662
178,1.475,123.26953,-202.93703,1203.69568,116.25725,-258.70438,1053.34961,117.79865,-177.50667,1003.7019
179,1.483,123.31802,-202.55943,1203.28088,116.53532,-258.25732,1053.3761,117.79865,-177.50667,1003.7019
180,1.492,123.31802,-202.55943,1203.28088,117.10526,-258.49576,1053.38232,117.79865,-177.50667,1003.7019
181,1.5,123.31802,-202.55943,1203.28088,117.21371,-258.32263,1053.28845,117.79865,-177.50667,1003.7019
182,1.508,123.31802,-202.55943,1203.28088,117.49806,-258.4819,1053.20569,117.79865,-177.50667,1003.7019
183,1.517,123.49786,-202.70476,1203.12854,117.41601,-258.62122,1052.97083,117.79865,-177.50667,1003.7019
184,1.525,123.31802,-202.55943,1203.28088,117.49806,-258.4819,1053.20569,117.79865,-177.50667,1003.7019
185,1.533,123.31802,-202.55943,1203.28088,117.41601,-258.62122,1052.97083,117.79865,-177.50667,1003.7019
186,1.542,123.31802,-202.55943,1203.28088,117.41601,-258.62122,1052.97083,117.79865,-177.50667,1003.7019
187,1.55,123.31802,-202.55943,1203.28088,117.43775,-258.48813,1053.052,117.79865,-177.50667,1003.7019
188,1.558,123.31802,-202.55943,1203.28088,117.43775,-258.48813,1053.052,117.79865,-177.50667,1003.7019
189,1.567,123.31802,-202.55943,1203.28088,117.43775,-258.48813,1053.052,117.79865,-177.50667,1003.7019
190,1.575,123.49786,-202.70476,1203.12854,117.43775,-258.48813,1053.052,117.79865,-177.50667,1003.7019
191,1.583,123.49786,-202.70476,1203.12854,117.43775,-258.48813,1053.052,117.79865,-177.50667,1003.7019
192,1.592,123.97591,-203.14803,1203.25854,117.68448,-258.68845,1053.18115,117.79865,-177.50667,1003.7019
193,1.6,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.72932,-177.24263,1003.34662
194,1.608,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.79865,-177.50667,1003.7019
195,1.617,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.79865,-177.50667,1003.7019
196,1.625,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.79865,-177.50667,1003.7019
197,1.633,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.72932,-177.24263,1003.34662
198,1.642,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.72932,-177.24263,1003.34662
199,1.65,124.22559,-203.21431,1202.96545,117.68448,-258.68845,1053.18115,117.72932,-177.24263,1003.34662
200,1.658,124.22559,-203.21431,1202.96545,118.17225,-258.99335,1053.15125,117.72932,-177.24263,1003.34662
201,1.667,124.22559,-203.21431,1202.96545,118.17225,-258.99335,1053.15125,117.99665,-177.40878,1003.28033
