Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,1864.79688,-232.70551,947.34094,1926.80945,-229.56985,892.77002,1853.29443,-257.28775,853.02313
2,0.008,1860.58313,-232.31609,946.06055,1924.82458,-230.02574,892.34052,1851.18323,-256.45728,852.87573
3,0.017,1858.573,-233.48315,945.94958,1920.11328,-229.63324,891.88831,1846.46313,-257.31183,851.49701
4,0.025,1853.89197,-233.19159,945.37103,1917.39795,-228.98439,891.56915,1841.56482,-258.36453,852.73877
5,0.033,1850.01489,-232.21786,945.29797,1913.81372,-230.00475,891.66779,1839.43274,-257.36288,852.82526
6,0.042,1847.26196,-233.83083,945.29987,1910.07715,-229.60306,891.36664,1836.43164,-256.92975,852.16791
7,0.05,1843.26611,-233.2132,944.24493,1907.24646,-230.95374,891.68573,1832.9397,-257.1727,851.60229
8,0.058,1840.27808,-235.0428,944.16833,1902.91577,-230.52194,891.4104,1829.95398,-257.75043,851.13849
9,0.067,1835.64465,-234.60257,943.60419,1898.28015,-230.14647,890.21497,1823.50378,-258.17029,850.16058
10,0.075,1831.16394,-234.00565,942.71851,1895.15906,-231.19127,890.27936,1820.70325,-257.38895,849.67999
11,0.083,1827.48645,-236.34406,943.23724,1890.48071,-231.19853,890.34369,1817.68213,-258.36285,848.63269
12,0.092,1822.51111,-236.48209,942.24249,1886.64795,-232.60065,889.88239,1811.54749,-259.3988,847.64697
13,0.1,1818.40222,-235.9695,941.62799,1882.13721,-233.00227,889.97595,1808.22986,-258.99475,848.08759
14,0.108,1813.69189,-235.41771,941.40924,1877.09802,-233.49452,888.98163,1804.53833,-259.23901,847.9256
15,0.117,1808.97339,-238.42194,941.26044,1873.41321,-234.77461,888.75671,1798.43225,-261.77304,846.88965
16,0.125,1804.13965,-238.26176,940.22681,1867.97876,-235.26866,888.48914,1793.97754,-260.99823,846.65173
17,0.133,1799.19153,-237.48157,940.24402,1863.31238,-236.01733,888.33429,1790.20093,-262.51175,845.17773
18,0.142,1794.39099,-241.2478,939.47205,1858.4248,-237.83362,887.1142,1784.49536,-264.58554,845.69641
19,0.15,1789.63977,-240.94669,938.9054,1853.35474,-238.66838,886.84393,1779.14893,-264.17404,845.68561
20,0.158,1783.3114,-243.11501,938.4809,1847.77856,-238.92499,886.01746,1773.96594,-267.04703,844.87274
21,0.167,1779.61975,-244.46346,938.27094,1843.66187,-240.94824,884.70154,1769.8916,-267.01028,844.8147
22,0.175,1775.18433,-243.91583,937.72174,1837.2229,-241.67123,884.28711,1761.96704,-268.24878,842.8775
23,0.183,1767.97595,-246.06029,935.85303,1831.8175,-242.80396,882.69678,1758.29333,-269.37936,842.92963
24,0.192,1762.53247,-247.03131,934.73438,1827.14026,-244.8882,881.85236,1751.36292,-270.75812,841.19348
25,0.2,1756.02771,-247.51132,934.35791,1820.69617,-246.25398,881.02917,1746.92725,-273.13147,841.55896
26,0.208,1751.91797,-250.01746,932.92419,1814.17773,-246.57835,880.02142,1740.77161,-273.979,838.1236
27,0.217,1745.49634,-251.30997,931.9856,1808.78418,-249.04849,879.6178,1735.30615,-275.43741,838.23169
28,0.225,1740.20129,-251.8158,930.93121,1803.24548,-250.92715,878.05487,1728.30542,-275.36108,836.39569
29,0.233,1734.22668,-255.91096,930.15753,1797.30811,-252.54602,877.32135,1722.45349,-277.12286,836.36768
30,0.242,1728.59741,-255.67442,928.70343,1790.23779,-252.97682,875.81189,1716.94312,-280.04587,835.56165
31,0.25,1721.68188,-257.34851,928.23859,1784.80859,-255.76303,874.71741,1709.92236,-281.88788,834.13635
32,0.258,1715.78857,-257.6875,927.29736,1778.38965,-257.02628,873.72729,1702.88098,-283.79913,834.0946
33,0.267,1708.78748,-260.306,926.62,1771.24268,-258.95612,873.12781,1697.06592,-283.7934,833.8067
34,0.275,1700.9198,-262.99469,925.95111,1765.78931,-260.59399,872.3479,1689.56201,-285.78336,833.37823
35,0.283,1695.17578,-262.90265,926.65808,1759.53064,-262.79715,872.19568,1683.95642,-285.931,832.98352
36,0.292,1690.05298,-266.27579,926.80487,1752.48438,-263.83826,871.41077,1675.82544,-288.52728,832.98859
37,0.3,1683.86816,-265.87842,926.39532,1745.85632,-266.0867,870.89844,1670.86182,-288.84891,832.505
38,0.308,1676.59302,-269.3046,926.03894,1739.49268,-267.83914,871.61938,1662.92346,-291.33533,832.25427
39,0.317,1671.49707,-269.12668,925.61627,1732.81665,-269.11383,870.74408,1657.10632,-291.07513,832.06976
40,0.325,1663.74231,-271.38275,925.17749,1726.19543,-270.90485,871.33386,1650.25159,-293.88748,832.71759
41,0.333,1658.01331,-271.67084,926.31024,1719.72095,-271.76205,871.96869,1642.99451,-295.83441,833.68829
42,0.342,1652.46667,-274.89374,926.48499,1713.93018,-273.68982,871.03253,1636.36609,-295.78503,834.11469
43,0.35,1647.39758,-274.91672,927.77026,1707.02881,-274.40848,871.7301,1629.37512,-299.54623,834.00134
44,0.358,1639.47217,-277.12769,927.03601,1701.151,-277.06613,872.25671,1623.47107,-299.36749,834.18048
45,0.367,1632.17456,-279.18057,929.10876,1694.3374,-278.65463,872.09351,1616.44031,-301.54453,835.27344
46,0.375,1627.41907,-280.49295,930.46045,1688.45935,-280.41434,872.55078,1610.57861,-301.22769,836.95844
47,0.383,1622.15405,-281.22006,932.03729,1682.15063,-282.17297,873.87634,1604.1377,-303.79306,838.4646
48,0.392,1615.99133,-283.26413,932.39966,1674.96582,-282.41467,875.33051,1596.42285,-304.45996,839.19568
49,0.4,1609.61487,-284.95895,934.38171,1669.72131,-285.5762,875.72308,1591.44006,-308.32071,839.42767
50,0.408,1602.96057,-286.57785,933.9281,1663.64661,-287.76657,876.59998,1584.76245,-310.56601,841.16235
51,0.417,1596.54773,-288.46854,935.87726,1656.5509,-288.75168,877.68079,1577.99158,-309.54593,842.48395
52,0.425,1590.78833,-289.03717,937.45618,1651.02026,-291.83771,879.74664,1571.7666,-312.25671,844.24872
53,0.433,1584.80164,-292.63129,938.68744,1643.77551,-291.40323,879.62646,1566.21875,-312.04288,845.05786
54,0.442,1579.45447,-292.7178,939.57135,1638.34827,-295.23129,880.53046,1559.85046,-316.21524,846.79102
55,0.45,1572.47778,-295.4245,940.16522,1632.37305,-298.20404,881.98987,1552.5553,-315.79315,847.6911
56,0.458,1567.84717,-295.68362,940.43713,1625.43408,-298.16846,883.0163,1547.09375,-318.19116,847.6496
57,0.467,1561.08191,-299.11523,941.29987,1620.44751,-300.90082,883.81158,1540.48596,-321.44525,848.55261
58,0.475,1555.46692,-301.35098,943.57593,1614.36218,-304.58331,883.92908,1534.0459,-320.2059,850.78333
59,0.483,1549.58838,-301.80093,944.14044,1609.27588,-307.57742,884.4696,1528.93298,-325.71603,851.68005
60,0.492,1543.54175,-305.34982,944.21704,1601.86841,-308.17551,885.68384,1523.62024,-325.21442,852.35193
61,0.5,1537.3562,-304.56055,944.39691,1597.40625,-310.26892,886.84766,1516.58643,-328.12515,852.56525
62,0.508,1532.11548,-308.49423,944.4881,1590.65405,-312.00839,886.73816,1510.84045,-329.42297,853.44843
63,0.517,1526.90417,-308.54395,945.71332,1584.9043,-314.56989,887.11377,1503.96484,-330.36737,853.14215
64,0.525,1521.71838,-311.73657,945.76404,1578.8772,-316.53412,886.96307,1499.18115,-333.4126,853.14856
65,0.533,1517.29639,-311.10071,945.79541,1574.51538,-318.9939,886.88312,1494.95007,-335.74127,853.53192
66,0.542,1510.28564,-314.53201,945.74927,1567.63416,-318.72495,887.92926,1488.49597,-336.35132,853.91577
67,0.55,1505.87585,-315.0636,947.07758,1563.17322,-321.90823,888.24512,1484.09656,-338.20334,854.125
68,0.558,1500.65442,-317.70471,947.61456,1556.85669,-323.11215,889.17664,1477.32312,-340.12097,856.02655
69,0.567,1495.75403,-318.13943,949.24799,1552.30481,-323.92511,889.13434,1471.50085,-340.12469,857.00049
70,0.575,1489.64258,-319.56772,949.90637,1546.55896,-326.271,889.58527,1466.69165,-343.83868,857.742
71,0.583,1485.33423,-319.36478,949.43542,1542.02832,-327.64133,889.51849,1460.88623,-342.57147,858.28833
72,0.592,1478.99231,-320.20087,948.76111,1536.4397,-327.99298,890.65668,1455.86279,-345.17456,858.06647
73,0.6,1474.96851,-321.93271,950.34369,1531.91809,-329.77139,890.97327,1450.65063,-344.38391,859.08069
74,0.608,1469.40515,-320.24164,950.75525,1526.21814,-329.32977,890.93591,1446.41724,-344.70505,860.01007
75,0.617,1463.75928,-322.87125,950.66724,1521.09302,-331.44437,891.7395,1438.427,-344.78928,859.80066
76,0.625,1458.65674,-321.73782,951.16272,1516.22693,-332.60141,892.55042,1435.22034,-346.1673,860.495
77,0.633,1455.54053,-322.04263,950.98877,1510.48779,-332.68869,892.05896,1428.47644,-346.21085,860.35883
78,0.642,1448.46985,-323.49194,950.62219,1505.53882,-332.939,891.7489,1424.62915,-346.84116,859.9892
79,0.65,1445.28479,-323.82883,951.71814,1500.58435,-333.81818,892.6806,1420.29004,-345.98163,861.508
80,0.658,1441.28369,-323.22598,951.7774,1496.6897,-335.23956,891.95392,1413.39282,-346.94519,861.60175
81,0.667,1435.01404,-324.28705,952.2088,1491.29004,-334.00339,892.04205,1408.91602,-345.57556,862.78638
82,0.675,1431.56409,-323.97827,952.89404,1486.91602,-334.70679,892.04462,1405.67053,-347.11349,862.18048
83,0.683,1427.53015,-323.34009,952.64087,1481.35925,-333.4194,892.25513,1398.94751,-346.91827,862.32556
84,0.692,1422.42126,-324.25189,953.17914,1476.80225,-334.58609,892.29456,1393.42578,-344.43436,862.70422
85,0.7,1417.15479,-323.94827,951.35956,1472.19165,-334.06265,891.31281,1390.30286,-345.33435,862.34009
86,0.708,1412.39783,-322.42795,951.10327,1467.00818,-334.71594,891.55347,1384.28784,-343.63019,862.08911
87,0.717,1409.25037,-323.38284,951.59546,1462.43115,-334.08047,890.8316,1379.82324,-344.94382,861.89008
88,0.725,1403.30579,-322.87418,950.88147,1457.52686,-334.04031,891.48187,1374.94922,-344.00223,861.39435
89,0.733,1399.78552,-322.85049,950.85138,1452.64209,-333.78293,889.93951,1370.54053,-342.11453,862.02405
90,0.742,1395.77905,-321.35272,950.5296,1448.18225,-331.94162,889.5556,1366.94531,-342.26733,861.88477
91,0.75,1389.05103,-319.133,950.07825,1443.31531,-331.68237,889.14746,1359.91675,-341.65222,860.31866
92,0.758,1385.65247,-320.66904,949.11688,1438.62244,-331.25787,888.51709,1356.15259,-340.20224,860.64203
