Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-1356.9707,-27.25309,1570.27661,-1260.60474,-32.98948,1455.83582,-1472.39014,-37.00956,1467.97437,-1307.43542,-42.26029,1307.22424
2,0.008,-1353.77747,-26.17663,1569.79456,-1256.58008,-32.31526,1458.27356,-1467.71509,-37.39569,1467.07556,-1303.40588,-41.11238,1307.35815
3,0.017,-1349.14612,-26.46685,1568.74036,-1251.12292,-33.59496,1458.54553,-1463.28369,-35.97157,1466.51733,-1298.60522,-40.60695,1306.4718
4,0.025,-1344.11816,-27.1554,1568.58105,-1247.25293,-34.39204,1458.52258,-1459.22827,-36.27508,1465.92896,-1293.90784,-40.53538,1306.56934
5,0.033,-1340.64673,-27.56465,1568.25562,-1243.50586,-32.03352,1459.45972,-1455.27612,-36.6885,1465.48694,-1289.81812,-43.55323,1305.78918
6,0.042,-1336.99622,-26.2698,1568.26941,-1239.49048,-34.15354,1458.06067,-1450.25769,-37.423,1464.9071,-1285.69409,-41.11963,1305.85327
7,0.05,-1332.08179,-26.01649,1567.2157,-1234.6416,-38.12844,1457.6969,-1446.18652,-35.72758,1463.87378,-1281.2207,-38.25957,1304.66077
8,0.058,-1327.04492,-26.35239,1566.59753,-1229.37732,-37.45433,1457.5293,-1441.69275,-36.14758,1463.47583,-1276.01624,-40.93974,1304.07629
9,0.067,-1322.78528,-26.76497,1566.13196,-1225.64966,-32.94614,1456.53687,-1438.68262,-36.56945,1463.12732,-1271.50635,-42.57271,1304.00403
10,0.075,-1318.85132,-25.56797,1565.65295,-1220.40198,-32.28588,1456.73877,-1433.38879,-36.32381,1463.09155,-1267.6886,-39.97216,1303.91736
11,0.083,-1314.39844,-24.60878,1564.72107,-1215.91321,-33.06601,1455.42529,-1428.88159,-35.34546,1461.86096,-1263.1322,-38.00042,1302.17151
12,0.092,-1309.23291,-24.18427,1563.80298,-1210.70789,-32.13038,1453.96667,-1423.59485,-35.26497,1461.39307,-1258.69995,-40.09051,1302.01025
