Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,-1336.86292,151.32552,591.3938,-1308.56067,142.80927,452.40598,-1256.27747,18.87053,441.08325
2,0.008,-1331.32373,150.76559,590.76587,-1302.83081,143.86241,452.33209,-1252.49646,16.62873,440.86008
3,0.017,-1328.3761,150.61713,589.47595,-1301.81946,143.75139,452.36694,-1249.39331,13.64718,439.68262
4,0.025,-1324.56079,149.54355,588.72577,-1296.66333,141.7489,451.95352,-1246.99231,11.1551,438.59293
5,0.033,-1321.04187,149.25217,588.31232,-1293.49792,140.80133,451.59,-1243.94324,8.4676,438.0098
6,0.042,-1317.00122,148.42387,586.87567,-1290.08386,139.60439,451.38208,-1241.6864,7.31456,436.80273
7,0.05,-1312.23816,148.66243,585.58826,-1287.54639,138.96368,451.15149,-1238.95264,4.27814,436.10858
8,0.058,-1308.25574,147.59572,583.55255,-1281.28699,139.5343,450.31964,-1236.65845,2.23205,433.91104
9,0.067,-1304.95166,147.3728,583.1994,-1275.98706,138.17747,450.69873,-1234.40222,0.02884,432.49609
10,0.075,-1302.10144,148.95721,582.88623,-1272.66125,137.72028,450.66006,-1232.06982,-1.35304,431.43683
11,0.083,-1296.91968,147.25206,581.09607,-1267.62769,136.45341,450.42438,-1227.49243,-3.27931,431.49231
12,0.092,-1292.9397,145.77559,578.84247,-1260.03625,137.04945,450.12683,-1224.09814,-4.73934,432.14182
13,0.1,-1288.30847,145.54303,577.83398,-1256.03516,136.56543,450.0907,-1219.94116,-5.61112,432.38211
14,0.108,-1283.0896,146.19412,576.90802,-1250.83105,135.81662,449.61182,-1214.72278,-6.4871,432.84015
15,0.117,-1279.0658,145.33084,575.87689,-1244.26208,136.76465,448.18292,-1210.12646,-6.38776,432.99405
16,0.125,-1274.23975,144.68272,574.20624,-1238.38684,135.41209,446.51117,-1205.22266,-7.21497,432.90543
17,0.133,-1268.98608,146.08893,573.86328,-1234.43103,135.57112,447.26141,-1199.17432,-6.29833,433.03101
18,0.142,-1263.02515,145.61475,573.47186,-1228.0332,135.77495,446.28217,-1193.22278,-6.10603,432.64127
19,0.15,-1256.88184,145.00534,572.54236,-1221.46069,135.21959,445.83966,-1187.60596,-7.20943,432.28613
20,0.158,-1251.31995,146.09351,571.25354,-1215.65112,135.48463,444.89435,-1180.89124,-6.56228,431.34708
