Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,2136.24634,-81.86566,979.1543,2032.16895,137.67561,958.51129,1976.5116,-248.51814,964.22925
2,0.008,2131.70679,-82.243,978.75903,2030.29932,138.5432,958.41632,1974.1062,-250.216,963.45111
3,0.017,2127.82764,-81.18787,978.75238,2028.20923,139.13667,958.25226,1969.57349,-249.9183,964.65912
4,0.025,2124.21948,-81.55113,978.58423,2018.0918,136.14832,956.83759,1964.66077,-249.26439,962.97992
5,0.033,2119.81226,-82.44091,978.43762,2015.70361,136.37889,957.61768,1960.27441,-250.56979,963.80835
6,0.042,2116.30396,-82.87244,978.49231,2014.02563,137.13998,957.73163,1956.26233,-250.8063,963.93286
7,0.05,2111.80884,-81.50075,977.82666,2009.74512,138.38861,956.48541,1951.60486,-250.03064,961.82422
8,0.058,2106.62427,-81.99107,978.0188,2006.93079,139.24449,956.31775,1947.92786,-251.23331,962.58545
9,0.067,2101.88525,-82.76685,978.07782,1999.6239,136.74593,954.79523,1942.06311,-250.27209,962.20892
10,0.075,2097.51294,-82.13593,978.04694,1994.05847,137.20599,954.62164,1937.77075,-250.16249,961.37292
11,0.083,2094.07397,-82.47767,977.57794,1992.70117,137.67264,955.53851,1933.76147,-250.43356,961.03406
12,0.092,2089.17676,-81.87483,977.48566,1989.53943,139.26968,953.55194,1929.1394,-249.71747,959.83075
13,0.1,2084.72632,-82.42336,976.45905,1985.20398,140.62595,952.93091,1924.33875,-249.28799,959.34528
14,0.108,2080.34692,-81.13164,976.0033,1979.94531,139.57941,952.76501,1919.67627,-248.74321,958.4408
15,0.117,2075.42163,-80.64207,975.55334,1973.99902,138.72276,952.97168,1915.15283,-248.25978,957.77063
16,0.125,2071.28638,-80.60603,974.8941,1969.62769,140.03593,952.35468,1910.38232,-247.69284,957.3252
17,0.133,2066.84961,-79.65423,974.87354,1965.9812,140.87523,950.91016,1905.77539,-247.55414,956.69421
18,0.142,2061.18823,-79.34759,973.58844,1957.90247,140.42656,949.68842,1901.94177,-246.70464,956.08771
19,0.15,2056.87305,-77.97595,972.64423,1954.07043,141.67337,949.5246,1896.76563,-246.15781,955.98346
20,0.158,2052.12769,-77.27281,972.09387,1947.19739,140.93637,949.29163,1891.14746,-243.80775,955.33984
21,0.167,2046.72998,-76.66221,971.35822,1944.37292,142.49678,948.63135,1888.00977,-244.16475,954.76349
22,0.175,2040.96008,-75.52868,970.35571,1938.98376,144.2495,946.25421,1884.39465,-244.63763,953.94086
23,0.183,2036.26099,-74.60344,969.69629,1935.96338,145.90405,945.98846,1879.15857,-242.61566,953.46667
