Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,1886.80518,-75.64587,1583.5188,1793.45703,-64.73068,1469.47791
2,0.008,1883.25635,-78.01167,1583.46375,1789.1377,-64.26691,1468.90759
3,0.017,1878.00403,-77.51591,1581.15259,1784.12964,-65.71754,1465.25378
4,0.025,1873.43872,-77.40508,1582.96924,1778.27307,-65.51255,1467.13379
5,0.033,1869.59436,-75.62469,1580.52075,1776.14331,-66.38204,1466.62939
6,0.042,1865.25415,-76.72062,1582.7146,1771.00854,-63.21785,1466.13159
7,0.05,1861.40234,-76.92815,1581.26086,1768.43213,-64.02578,1465.58447
8,0.058,1855.87476,-77.61931,1580.62073,1760.06641,-64.00381,1465.19727
9,0.067,1851.69775,-75.41057,1580.53674,1758.24023,-64.84861,1464.49609
10,0.075,1846.21265,-76.85093,1579.99426,1752.12085,-62.32341,1464.3689
11,0.083,1841.96179,-72.42251,1579.58142,1750.50806,-62.11818,1463.31348
12,0.092,1838.21484,-74.59938,1578.19995,1742.3551,-61.28449,1461.93066
13,0.1,1833.2677,-75.23843,1578.46545,1739.0907,-63.76871,1461.72375
14,0.108,1828.6283,-72.96518,1576.97034,1732.70923,-60.41001,1463.38696
15,0.117,1823.922,-72.74002,1576.96875,1731.60889,-60.94252,1463.33533
16,0.125,1819.85657,-71.89615,1575.81433,1725.06873,-57.7912,1462.49597
17,0.133,1815.0415,-72.30894,1576.32849,1720.75842,-60.34458,1462.50903
18,0.142,1809.75403,-71.60329,1573.86499,1713.76782,-58.72536,1461.14233
19,0.15,1805.05322,-68.32243,1573.17371,1712.79004,-58.99754,1460.78369
20,0.158,1801.09021,-70.40773,1574.69434,1706.88916,-56.23132,1459.96021
21,0.167,1795.27246,-66.95225,1571.90564,1702.48962,-56.49156,1459.19946
22,0.175,1789.94128,-67.31557,1573.39136,1697.80981,-55.62153,1458.41345
23,0.183,1785.98499,-67.48193,1571.75842,1693.12488,-54.62037,1457.60828
24,0.192,1783.12146,-65.97954,1571.27112,1689.3783,-54.38798,1456.98083
25,0.2,1777.42346,-64.14237,1569.77344,1684.75,-53.39127,1456.03857
26,0.208,1772.83606,-64.74919,1570.32483,1679.11682,-51.38397,1455.20642
27,0.217,1768.96265,-63.78242,1569.70325,1674.21118,-50.47057,1454.40063
28,0.225,1764.32166,-62.0554,1569.37512,1669.31506,-49.56047,1453.59705
29,0.233,1758.36292,-61.70787,1568.44617,1664.34949,-48.68389,1452.68787
