Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,-1557.5,128.64995,30.8147,-1347.21375,169.62799,28.71261,-1396.23901,121.72355,47.46308
2,0.008,-1554.44958,127.48801,30.35851,-1346.15515,169.36374,28.75544,-1396.49121,121.96756,47.52682
3,0.017,-1557.25769,127.57701,30.00953,-1346.30933,169.71165,28.84759,-1396.49121,121.96756,47.52682
4,0.025,-1557.27795,127.78102,29.97704,-1346.57275,169.68889,28.8093,-1396.49121,121.96756,47.52682
5,0.033,-1557.53662,127.71006,30.00327,-1346.57275,169.68889,28.8093,-1396.49121,121.96756,47.52682
6,0.042,-1557.53662,127.71006,30.00327,-1346.57275,169.68889,28.8093,-1396.49121,121.96756,47.52682
7,0.05,-1557.53662,127.71006,30.00327,-1346.77258,170.08273,28.06447,-1396.49121,121.96756,47.52682
8,0.058,-1557.53662,127.71006,30.00327,-1346.77258,170.08273,28.06447,-1394.09998,122.25563,47.66864
9,0.067,-1557.51624,127.50607,30.03575,-1347.21777,170.14491,27.92348,-1394.09998,122.25563,47.66864
10,0.075,-1557.328,127.09003,30.03219,-1347.4032,170.31631,27.79312,-1393.91321,122.48145,47.55293
11,0.083,-1557.4502,126.90339,30.22785,-1347.37781,170.13174,27.74521,-1393.91321,122.48145,47.55293
12,0.092,-1557.4502,126.90339,30.22785,-1347.20093,170.35037,27.82304,-1394.71436,121.86205,46.10077
13,0.1,-1557.96375,126.93057,30.59514,-1347.4032,170.31631,27.79312,-1393.91321,122.48145,47.55293
14,0.108,-1558.18872,126.86907,30.61184,-1347.4032,170.31631,27.79312,-1393.6864,122.9731,45.91394
15,0.117,-1558.15735,126.62268,30.54964,-1347.37781,170.13174,27.74521,-1394.03027,122.72247,45.92534
16,0.125,-1558.15259,126.48806,30.69982,-1347.37781,170.13174,27.74521,-1394.03027,122.72247,45.92534
17,0.133,-1557.16284,125.97367,30.45432,-1347.10999,170.01143,27.82736,-1393.6084,122.19647,46.97284
