Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,-1419.21826,-243.03619,812.07782
2,0.008,-1415.90381,-244.73387,812.19348
3,0.017,-1414.70593,-245.12337,812.25659
4,0.025,-1412.31067,-245.90298,812.38324
5,0.033,-1411.11365,-246.29308,812.44678
6,0.042,-1407.82275,-248.22212,812.90039
7,0.05,-1404.89917,-249.78342,811.43689
8,0.058,-1401.71338,-250.32852,810.45715
9,0.067,-1400.11377,-250.15523,810.46997
10,0.075,-1396.95703,-250.90788,809.7049
11,0.083,-1392.38855,-251.42314,808.09943
12,0.092,-1388.45581,-252.16428,808.07245
13,0.1,-1385.01575,-252.26018,805.65363
14,0.108,-1383.82068,-252.65379,805.7193
15,0.117,-1379.53088,-254.01825,804.03503
16,0.125,-1375.45483,-255.82413,804.4259
17,0.133,-1374.13452,-257.67194,805.11597
18,0.142,-1369.77515,-258.82605,804.22217
19,0.15,-1365.72217,-261.02643,803.98718
20,0.158,-1364.09717,-261.82727,804.01825
21,0.167,-1360.02527,-263.63156,804.409
22,0.175,-1354.42944,-266.75308,804.16248
23,0.183,-1347.90564,-261.38763,802.0506
24,0.192,-1343.49402,-264.71207,801.66498
25,0.2,-1339.06311,-266.36108,801.37476
26,0.208,-1334.84387,-269.04202,801.56244
27,0.217,-1331.12524,-269.53754,801.05762
28,0.225,-1325.06519,-273.03427,800.77094
29,0.233,-1320.03088,-275.20032,799.83362
30,0.242,-1314.9895,-277.59354,799.70483
31,0.25,-1308.94678,-278.25586,799.05707
32,0.258,-1303.19287,-275.67029,798.68091
33,0.267,-1297.58093,-278.83588,797.37762
34,0.275,-1292.09155,-281.56775,796.09729
35,0.283,-1286.13135,-283.07043,795.83618
36,0.292,-1280.17017,-286.93655,794.80487
37,0.3,-1272.60608,-286.79544,794.97015
38,0.308,-1266.25,-287.69116,793.21838
39,0.317,-1260.49097,-288.62344,792.51788
40,0.325,-1253.8175,-292.24921,792.69531
41,0.333,-1248.47827,-294.57047,793.90485
42,0.342,-1242.03516,-296.05603,793.60492
43,0.35,-1234.4574,-294.2702,793.06775
44,0.358,-1227.28137,-297.47153,793.41046
45,0.367,-1219.90662,-300.31277,793.48956
46,0.375,-1212.81531,-302.14481,793.5481
47,0.383,-1204.71741,-300.55939,795.22668
48,0.392,-1197.41125,-304.67871,795.81018
49,0.4,-1190.79321,-306.7933,796.64624
50,0.408,-1183.6283,-309.53354,796.70557
51,0.417,-1174.82739,-307.61963,797.07233
52,0.425,-1167.94568,-310.41724,798.16656
53,0.433,-1160.69434,-313.06085,799.76788
54,0.442,-1154.40564,-315.35019,801.86981
55,0.45,-1146.00586,-315.64526,801.58826
56,0.458,-1137.68835,-317.48645,804.34106
57,0.467,-1131.68298,-318.72321,806.37775
58,0.475,-1124.78894,-321.69818,807.94879
59,0.483,-1116.71655,-326.28146,809.62579
60,0.492,-1109.0708,-322.27521,810.77106
61,0.5,-1101.21716,-325.71536,813.51843
62,0.508,-1093.46521,-329.8963,814.93866
63,0.517,-1086.96545,-331.86951,816.26532
64,0.525,-1079.08691,-335.34177,818.1568
65,0.533,-1071.6178,-338.20938,820.00311
66,0.542,-1063.47217,-337.43033,820.2132
67,0.55,-1055.85352,-339.85083,822.20154
68,0.558,-1049.43152,-343.05933,823.88397
69,0.567,-1041.80298,-346.58997,824.70306
70,0.575,-1034.97693,-349.8775,826.17987
71,0.583,-1027.51721,-349.48135,827.49268
72,0.592,-1018.91675,-350.58261,828.73962
73,0.6,-1012.31818,-352.6879,829.6145
74,0.608,-1004.42181,-356.43506,830.25922
