Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
1,0,-1434.18665,10.60199,1292.29126
2,0.008,-1431.09875,11.36215,1292.20972
3,0.017,-1426.92871,11.06237,1293.25146
4,0.025,-1422.71997,9.88939,1292.83765
5,0.033,-1416.77246,8.8588,1292.34375
6,0.042,-1413.51489,9.98475,1291.73889
7,0.05,-1410.38965,10.40616,1291.44043
8,0.058,-1407.24219,10.31966,1292.02441
9,0.067,-1399.05383,9.88673,1290.21167
10,0.075,-1394.24988,7.41195,1289.8916
11,0.083,-1390.17627,8.61164,1290.09058
12,0.092,-1385.68579,8.56681,1290.74683
13,0.1,-1381.22437,8.62676,1289.94958
14,0.108,-1376.39856,7.88735,1289.59265
15,0.117,-1371.71582,7.48068,1288.89111
16,0.125,-1367.32886,6.00013,1288.88403
17,0.133,-1362.59924,5.35421,1287.30896
18,0.142,-1358.20728,5.65657,1287.30786
19,0.15,-1353.86023,5.76048,1287.45093
20,0.158,-1348.37988,3.77339,1286.40784
21,0.167,-1343.40723,2.57931,1286.42163
22,0.175,-1338.81531,3.22051,1286.4856
23,0.183,-1334.31055,2.32873,1285.30676
24,0.192,-1328.66895,-1.29312,1284.67566
25,0.2,-1324.40063,-1.7187,1283.90234
26,0.208,-1319.07703,-1.46148,1283.75464
27,0.217,-1314.67236,-2.13415,1283.51758
28,0.225,-1308.6792,-4.3643,1282.6217
29,0.233,-1304.17725,-5.54175,1281.40137
30,0.242,-1300.10181,-6.7434,1281.37317
31,0.25,-1293.4281,-7.93001,1280.04187
32,0.258,-1288.6488,-8.77814,1280.28369
33,0.267,-1283.50427,-9.84259,1279.93396
34,0.275,-1278.08728,-11.35418,1278.42822
35,0.283,-1273.09985,-14.29414,1277.77698
36,0.292,-1268.1781,-14.60303,1276.75415
37,0.3,-1260.81177,-16.05475,1276.55127
38,0.308,-1256.62073,-18.13447,1276.37622
39,0.317,-1250.87354,-19.26437,1275.9491
40,0.325,-1245.54968,-22.94712,1275.27991
41,0.333,-1240.77881,-23.6324,1275.52502
42,0.342,-1233.89246,-27.85301,1273.75
43,0.35,-1228.15112,-26.76991,1274.255
44,0.358,-1222.6665,-28.1851,1274.46692
45,0.367,-1217.70801,-31.19785,1275.10999
46,0.375,-1212.06482,-32.28342,1276.7854
47,0.383,-1206.00427,-36.05883,1277.07178
48,0.392,-1201.06824,-38.02391,1277.39014
49,0.4,-1195.67676,-40.42118,1277.38806
50,0.408,-1191.37402,-41.95054,1278.31091
51,0.417,-1184.87769,-42.97742,1280.14673
52,0.425,-1179.88843,-45.91747,1280.97363
53,0.433,-1173.25891,-45.96603,1282.26843
54,0.442,-1167.84363,-51.8065,1283.60156
55,0.45,-1162.55688,-52.26382,1285.88696
56,0.458,-1158.34985,-53.04696,1286.85327
57,0.467,-1152.16455,-57.63594,1287.9375
58,0.475,-1147.89612,-58.73512,1289.78577
59,0.483,-1142.2113,-62.56153,1292.14734
60,0.492,-1136.96606,-63.95571,1292.66943
61,0.5,-1130.29834,-66.52003,1293.92493
62,0.508,-1125.04651,-67.44991,1296.3042
63,0.517,-1120.59656,-68.20953,1297.92273
64,0.525,-1113.65552,-70.79925,1297.41272
65,0.533,-1109.85303,-71.79203,1297.71497
66,0.542,-1104.4032,-75.17933,1298.87292
67,0.55,-1099.11157,-76.7952,1300.95044
68,0.558,-1093.99341,-78.3679,1301.73242
69,0.567,-1088.60217,-81.48537,1300.51208
70,0.575,-1082.73853,-81.10589,1301.39185
71,0.583,-1078.27502,-81.75417,1301.46765
72,0.592,-1071.99011,-84.67601,1301.51086
73,0.6,-1067.20007,-84.25102,1302.45813
74,0.608,-1063.91333,-85.66336,1301.90747
75,0.617,-1057.96655,-88.23218,1302.32568
76,0.625,-1051.8877,-87.05017,1302.80542
77,0.633,-1046.44385,-88.57578,1303.54016
78,0.642,-1042.52686,-92.17258,1303.49756
79,0.65,-1037.41626,-91.60171,1303.55127
80,0.658,-1031.27124,-91.50161,1303.52075
81,0.667,-1026.92651,-92.71452,1303.35107
82,0.675,-1021.14783,-93.69247,1302.91284
83,0.683,-1017.28503,-94.55838,1303.43884
84,0.692,-1011.78845,-95.42613,1303.65149
85,0.7,-1006.35925,-96.16687,1302.75146
86,0.708,-1001.60248,-96.59485,1302.99353
87,0.717,-997.39063,-98.13904,1304.3457
88,0.725,-992.66266,-98.88194,1304.77002
89,0.733,-988.62439,-99.71375,1303.45972
90,0.742,-983.4422,-99.88898,1303.48352
91,0.75,-977.70959,-100.20626,1302.97888
92,0.758,-975.34131,-101.12451,1302.76196
93,0.767,-969.17688,-100.6625,1303.22595
94,0.775,-964.45612,-103.4478,1302.50342
95,0.783,-960.74951,-101.92926,1301.80066
96,0.792,-956.11029,-103.72372,1301.90308
97,0.8,-950.31262,-103.78584,1301.44324
98,0.808,-947.03864,-103.78207,1300.44958
99,0.817,-941.68182,-104.91833,1300.03174
100,0.825,-937.44293,-105.41769,1298.87427
101,0.833,-933.18951,-105.49031,1297.56995
102,0.842,-928.01947,-106.25518,1297.46899
103,0.85,-924.16785,-106.12788,1297.10059
104,0.858,-919.55426,-105.46171,1295.79529
105,0.867,-914.16351,-105.13682,1295.00464
106,0.875,-909.63013,-106.22237,1294.19312
107,0.883,-904.44189,-106.19075,1293.24841
108,0.892,-899.78247,-107.11414,1292.3147
109,0.9,-894.81659,-106.34945,1290.99719
110,0.908,-890.73981,-105.84103,1290.44666
111,0.917,-885.9892,-106.72564,1289.65466
112,0.925,-881.09302,-106.43559,1289.33691
113,0.933,-876.03705,-105.58312,1288.30835
114,0.942,-871.47229,-105.65584,1287.59412
115,0.95,-866.27209,-105.51274,1287.04065
116,0.958,-860.42572,-104.37851,1285.64429
117,0.967,-855.75189,-104.99744,1285.28503
118,0.975,-850.34454,-103.92127,1284.02222
119,0.983,-845.74371,-104.4949,1282.82129
120,0.992,-840.39185,-104.26198,1282.49133
121,1,-834.15643,-102.41467,1281.875
