Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
1,0,-1512.93506,-234.49174,873.7865
2,0.008,-1509.74512,-233.6243,874.17059
3,0.017,-1507.04089,-233.59904,874.93402
4,0.025,-1505.52808,-233.82196,874.86304
5,0.033,-1502.59241,-233.87137,874.164
6,0.042,-1498.75879,-232.39221,874.15845
7,0.05,-1495.11768,-233.60782,874.39789
8,0.058,-1492.26501,-233.69714,873.92029
9,0.067,-1489.61279,-234.01985,873.216
10,0.075,-1484.84741,-235.15129,872.98688
11,0.083,-1483.797,-234.5363,872.52124
12,0.092,-1478.31409,-235.56117,872.53851
13,0.1,-1476.34314,-235.48737,872.34955
14,0.108,-1472.87085,-236.10323,872.50903
15,0.117,-1468.28345,-237.36562,872.15826
16,0.125,-1465.64551,-237.52739,872.34888
17,0.133,-1462.26208,-238.48967,871.8681
18,0.142,-1456.63745,-240.15367,871.52869
19,0.15,-1452.87646,-241.06946,870.54688
20,0.158,-1450.35938,-241.25073,870.76563
21,0.167,-1445.8739,-242.89195,870.27838
22,0.175,-1440.6272,-244.33008,869.33661
23,0.183,-1436.28748,-245.02005,868.97504
24,0.192,-1430.93787,-246.16849,868.49591
25,0.2,-1426.97327,-248.17502,867.97003
26,0.208,-1422.92029,-248.61852,868.09216
27,0.217,-1417.66418,-249.99422,867.62024
28,0.225,-1413.58118,-249.84938,866.30273
29,0.233,-1407.95154,-251.55244,865.56482
30,0.242,-1402.22034,-252.08606,865.13794
31,0.25,-1396.52893,-254.42336,864.46881
32,0.258,-1392.68115,-256.01089,864.14185
33,0.267,-1385.89722,-257.07956,863.10089
34,0.275,-1379.9187,-257.9794,861.61157
35,0.283,-1374.6217,-260.37692,861.48212
36,0.292,-1368.03528,-263.01071,860.48071
37,0.3,-1362.80676,-263.92099,859.89313
38,0.308,-1356.3114,-264.8175,859.26929
39,0.317,-1349.17688,-266.85342,857.93481
40,0.325,-1342.43506,-268.81064,857.43762
41,0.333,-1335.4668,-270.3028,857.04462
42,0.342,-1329.3269,-272.44714,857.44177
43,0.35,-1323.08228,-274.20734,857.69751
44,0.358,-1316.65137,-276.08981,857.34631
45,0.367,-1309.40771,-278.21686,857.4223
46,0.375,-1302.70374,-280.34491,858.14899
47,0.383,-1295.7478,-281.61594,858.02521
48,0.392,-1288.20361,-284.09039,858.84338
49,0.4,-1281.86597,-285.33881,858.66705
50,0.408,-1274.71985,-287.35837,859.17621
51,0.417,-1267.29077,-288.75717,859.57507
52,0.425,-1260.53442,-290.83594,860.33521
53,0.433,-1253.52515,-293.33069,860.86798
54,0.442,-1246.11011,-295.03809,861.63812
55,0.45,-1239.50537,-297.26889,863.94757
56,0.458,-1231.86462,-299.48257,865.22607
57,0.467,-1225.05969,-300.77994,865.83624
58,0.475,-1218.28918,-303.19064,867.46228
59,0.483,-1210.35742,-306.16293,868.72473
60,0.492,-1203.21594,-308.12436,870.44574
61,0.5,-1196.64819,-310.80289,872.33038
62,0.508,-1189.5918,-312.94711,872.65912
63,0.517,-1182.1261,-315.92932,873.66602
64,0.525,-1174.88818,-318.9017,875.48004
65,0.533,-1168.10767,-320.78113,876.77899
66,0.542,-1160.375,-323.73947,877.91937
67,0.55,-1154.10315,-325.78928,878.99164
68,0.558,-1146.52905,-327.99097,879.14832
69,0.567,-1138.80261,-331.14111,880.85156
70,0.575,-1131.96155,-333.32959,881.89539
71,0.583,-1124.47778,-335.91135,882.02618
72,0.592,-1117.74744,-338.45108,882.93964
73,0.6,-1110.46008,-339.91644,884.00098
74,0.608,-1103.25793,-341.79971,884.46106
75,0.617,-1096.57605,-343.9747,885.69904
76,0.625,-1089.86426,-345.49734,885.75531
77,0.633,-1081.76282,-347.60684,886.4151
78,0.642,-1075.35071,-349.81,886.93665
79,0.65,-1068.61719,-351.99902,887.1817
80,0.658,-1061.9198,-353.16611,888.41705
81,0.667,-1055.90808,-354.65759,888.69238
82,0.675,-1049.16785,-356.31744,889.96655
83,0.683,-1042.41187,-356.3963,890.00916
84,0.692,-1035.76636,-358.23016,890.58105
85,0.7,-1028.96692,-360.37598,890.52264
86,0.708,-1021.71124,-359.98367,891.10773
87,0.717,-1016.08087,-361.55032,890.97418
