Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,1880.95862,276.79111,978.02167,1929.85168,297.09561,906.55493,1848.63062,318.40442,884.00543
2,0.008,1873.83459,276.50925,976.42365,1924.97839,297.01093,905.37543,1846.27063,318.02985,884.08228
3,0.017,1871.36304,276.44821,976.76288,1922.81982,297.92776,905.78644,1842.39404,319.13297,883.13763
4,0.025,1867.45117,277.84125,974.42963,1916.68066,297.31995,904.85925,1838.97034,319.79208,882.29742
5,0.033,1864.60938,277.52634,974.06366,1914.88,298.27548,904.52051,1835.0907,318.38544,881.54034
6,0.042,1859.51758,277.56995,972.26971,1910.28955,298.30499,903.68481,1831.9364,319.38202,880.81671
7,0.05,1855.93811,278.09058,972.33423,1905.2406,297.504,903.48199,1825.36633,318.65701,880.26605
8,0.058,1850.78552,277.91489,971.4137,1902.87146,299.34238,902.38885,1822.4187,319.69336,880.06812
9,0.067,1846.65344,278.47012,971.52441,1897.78479,298.68088,902.02051,1817.62488,320.80383,879.22144
10,0.075,1841.89539,279.48074,970.33746,1893.37646,299.90857,901.33984,1815.32825,320.49854,878.30756
11,0.083,1837.02686,279.21707,969.10663,1889.30164,300.08112,899.79279,1810.61536,322.26578,876.85016
12,0.092,1833.03857,280.09778,968.33899,1884.31055,299.53488,899.31982,1804.44006,319.66165,875.80481
13,0.1,1826.88867,280.2226,967.7298,1879.78711,299.75064,897.82233,1800.08301,322.51941,873.95099
14,0.108,1823.1781,281.74478,966.87152,1876.04272,301.80048,897.42365,1797.3197,322.00436,872.755
15,0.117,1818.99524,283.21469,966.02747,1869.76599,301.07071,896.63489,1792.66821,323.69659,871.31757
16,0.125,1814.26514,284.47696,964.23694,1864.91797,301.70804,895.26959,1786.85498,324.19028,870.95251
17,0.133,1808.76917,283.58856,963.02704,1861.28369,303.15683,894.12,1782.34424,324.99591,869.70715
