Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,485.65521,-249.6608,981.25043,582.00934,-235.31342,959.3421,560.10925,-171.64568,1014.48834
2,0.008,485.90424,-249.51173,981.84399,582.53961,-236.60063,959.95654,560.5863,-171.9133,1015.02203
3,0.017,486.1954,-250.16075,981.84595,583.44519,-236.67264,960.04474,561.13177,-172.30396,1015.4585
4,0.025,486.91321,-250.31331,982.15247,583.67969,-236.83725,959.9071,561.71552,-172.08032,1014.97327
5,0.033,486.92712,-250.01308,982.27496,583.828,-236.58652,959.7074,561.56677,-171.79208,1014.93158
6,0.042,486.92712,-250.01308,982.27496,583.73383,-236.80724,959.58087,562.49933,-172.41553,1015.23206
7,0.05,487.20892,-249.92683,982.61218,584.03424,-236.69269,959.24756,563.03571,-173.02408,1015.38068
8,0.058,487.20892,-249.92683,982.61218,584.47266,-236.36662,958.25128,562.90277,-171.87381,1014.90375
9,0.067,487.1745,-250.3904,982.37427,584.47266,-236.36662,958.25128,562.45624,-172.04704,1015.1416
10,0.075,486.91321,-250.31331,982.15247,584.47266,-236.36662,958.25128,562.64172,-172.14423,1014.88239
11,0.083,486.91321,-250.31331,982.15247,584.5647,-236.15434,958.01575,562.31445,-171.34131,1014.42389
12,0.092,486.67963,-250.51486,981.99988,584.03369,-235.23442,957.8504,561.89471,-171.15733,1013.61743
13,0.1,486.76917,-250.38892,981.00317,583.53674,-235.22391,957.76959,561.31506,-169.96693,1012.12537
14,0.108,486.13278,-249.40239,980.47638,582.85687,-234.60483,957.08777,560.4978,-169.13338,1011.76935
15,0.117,486.01349,-248.78456,980.12347,582.21729,-234.4724,956.79425,560.36151,-168.46828,1011.63184
16,0.125,486.01349,-248.78456,980.12347,582.7782,-234.54642,956.81702,560.68738,-169.29695,1012.25293
17,0.133,486.37552,-247.60121,979.08728,582.21729,-234.4724,956.79425,560.56415,-168.67767,1011.97345
18,0.142,486.3746,-247.24991,979.03253,582.21729,-234.4724,956.79425,560.29962,-168.51079,1011.72919
19,0.15,486.3746,-247.24991,979.03253,582.13983,-233.84305,956.68274,560.08124,-168.67111,1011.63214
20,0.158,486.38358,-246.44377,979.06323,582.21863,-233.90154,956.95355,560.29962,-168.51079,1011.72919
21,0.167,486.38358,-246.44377,979.06323,582.21863,-233.90154,956.95355,560.49591,-168.29649,1011.685
22,0.175,486.59769,-246.36639,978.50256,582.21863,-233.90154,956.95355,560.76044,-168.46342,1011.92932
23,0.183,486.59769,-246.36639,978.50256,582.7796,-233.97563,956.97638,560.76044,-168.46342,1011.92932
24,0.192,486.72562,-246.95032,979.30292,583.27704,-233.98636,957.05743,560.88367,-169.08278,1012.2088
25,0.2,486.90448,-246.97241,979.65765,583.46552,-233.54449,957.31042,560.88367,-169.08278,1012.2088
26,0.208,488.08801,-246.85901,979.55505,583.83557,-233.42828,957.50763,561.31024,-168.1532,1011.86731
27,0.217,488.08801,-246.85901,979.55505,584.19061,-233.61151,957.18188,561.82452,-168.08199,1012.08075
28,0.225,488.08801,-246.85901,979.55505,584.59631,-233.67348,958.02051,563.44104,-169.47311,1013.59204
29,0.233,488.94226,-247.63054,979.5932,585.50922,-234.65344,958.29993,563.47583,-170.31194,1013.95935
30,0.242,488.97528,-248.4883,979.81598,585.43243,-234.02443,958.18866,563.70886,-170.37849,1013.87085
31,0.25,489.09015,-248.62451,979.94019,585.10394,-234.59167,957.46167,563.76392,-170.5601,1013.83875
32,0.258,489.58899,-248.3927,980.19287,585.0271,-233.96262,957.35034,563.76392,-170.5601,1013.83875
33,0.267,489.58899,-248.3927,980.19287,584.8703,-233.84624,956.80927,563.96417,-170.63676,1013.73706
34,0.275,489.16769,-247.82875,979.83649,584.68262,-233.84465,956.2774,563.60828,-170.44342,1013.63751
35,0.283,489.16769,-247.82875,979.83649,584.64197,-233.50014,955.65918,563.63708,-169.45628,1012.64972
36,0.292,489.08209,-247.1075,979.62933,584.15857,-233.06784,955.64587,562.61798,-168.10059,1011.33734
37,0.3,488.41397,-247.55066,979.12415,584.15857,-233.06784,955.64587,562.37402,-168.1472,1011.21289
38,0.308,488.27502,-247.68697,979.05121,584.15857,-233.06784,955.64587,561.66455,-168.01202,1011.2085
39,0.317,487.52258,-246.7466,978.2926,584.15857,-233.06784,955.64587,561.83923,-168.14551,1011.54041
40,0.325,487.35596,-246.66959,978.22266,584.15857,-233.06784,955.64587,561.09637,-167.72598,1011.27484
41,0.333,486.828,-246.58813,977.75354,583.81787,-232.9361,955.72723,561.2077,-167.53627,1011.08508
42,0.342,486.828,-246.58813,977.75354,583.65247,-233.01868,956.1037,561.2077,-167.53627,1011.08508
43,0.35,487.43814,-245.72519,978.0993,584.02271,-232.90254,956.30109,560.5083,-166.83232,1010.79706
44,0.358,487.43814,-245.72519,978.0993,584.20679,-232.93881,956.96991,560.20563,-166.92499,1011.07764
45,0.367,487.52081,-245.80536,978.62317,584.20679,-232.93881,956.96991,560.70331,-167.32648,1011.41797
46,0.375,486.91068,-246.66798,978.27765,583.86517,-233.18057,957.78638,560.73273,-167.17619,1011.54572
47,0.383,487.53476,-246.69153,978.57751,584.06085,-233.36736,958.45453,560.51849,-167.69926,1012.12201
48,0.392,487.99832,-246.93648,979.07538,584.51074,-233.05983,958.7406,560.66394,-167.94695,1012.25665
49,0.4,488.08801,-246.85901,979.55505,584.8512,-233.19147,958.65906,560.67334,-167.66811,1012.44141
50,0.408,488.08801,-246.85901,979.55505,584.8512,-233.19147,958.65906,561.71222,-167.93733,1013.31201
51,0.417,488.66544,-246.87993,979.61725,584.58282,-233.22061,959.26544,562.34998,-168.32823,1013.63507
52,0.425,489.3739,-249.09224,980.18817,585.06598,-233.65269,959.27826,562.95251,-169.53497,1014.14789
53,0.433,489.56189,-249.06955,980.72412,585.40393,-233.87091,958.91071,562.95282,-169.89824,1015.02887
54,0.442,489.58466,-249.26744,980.90521,585.16919,-233.70602,959.04846,562.81628,-170.31659,1015.41577
55,0.45,489.67154,-249.96193,981.22729,585.17206,-234.04463,959.22687,563.51483,-171.01999,1015.703
56,0.458,489.67154,-249.96193,981.22729,585.27527,-234.09793,958.99701,563.51483,-171.01999,1015.703
57,0.467,489.67154,-249.96193,981.22729,585.4068,-234.2095,959.08917,562.98657,-170.68611,1015.21484
58,0.475,489.67154,-249.96193,981.22729,585.27527,-234.09793,958.99701,562.95251,-169.53497,1014.14789
59,0.483,489.61749,-250.1255,981.12811,585.4068,-234.2095,959.08917,563.04626,-170.23665,1014.7074
60,0.492,489.06125,-249.80519,981.10309,584.82605,-233.83534,959.16254,562.27136,-168.93025,1013.5246
61,0.5,487.23245,-247.73682,980.48993,584.48566,-233.70372,959.24402,561.43793,-168.03047,1013.5105
62,0.508,487.23245,-247.73682,980.48993,584.48566,-233.70372,959.24402,560.38129,-167.71999,1012.68988
63,0.517,487.11475,-247.57547,980.34253,584.00232,-233.27156,959.23108,560.73877,-168.50412,1012.98187
64,0.525,486.47958,-246.22995,980.12109,583.41016,-233.77469,959.54163,560.53003,-168.29384,1013.2124
65,0.533,486.35159,-247.19305,980.39996,583.32697,-233.79163,959.94104,560.39398,-168.23735,1013.58765
66,0.542,486.00409,-247.13789,980.01556,582.62805,-233.10384,960.1098,560.07147,-168.51869,1013.74078
67,0.55,486.12064,-246.97981,980.10455,582.82471,-233.29042,960.77808,559.99353,-168.41043,1013.86432
68,0.558,486.29947,-247.002,980.45917,582.82471,-233.29042,960.77808,560.08167,-167.96466,1014.22357
69,0.567,486.29947,-247.002,980.45917,583.29626,-234.08994,961.24939,559.74542,-168.50175,1014.72083
70,0.575,486.59665,-248.0528,980.85809,583.29626,-234.08994,961.24939,559.93945,-168.8015,1015.34534
71,0.583,486.63852,-248.01054,981.18134,583.29626,-234.08994,961.24939,559.93945,-168.8015,1015.34534
72,0.592,486.7673,-247.90051,981.23846,583.76501,-234.25772,961.19104,560.32794,-170.0282,1016.26849
73,0.6,486.35605,-248.76933,982.14966,584.10742,-235.22073,961.88043,559.89795,-169.51656,1016.13019
74,0.608,486.35605,-248.76933,982.14966,584.10742,-235.22073,961.88043,560.90509,-170.42538,1016.28247
75,0.617,486.94766,-249.84973,982.39038,584.21533,-235.24651,961.37976,561.47864,-170.4812,1016.30237
76,0.625,487.20892,-249.92683,982.61218,584.11139,-234.8477,960.47632,561.71863,-170.57286,1016.2251
77,0.633,487.20892,-249.92683,982.61218,584.08929,-235.03339,960.26746,561.30084,-169.93987,1015.93176
78,0.642,487.76794,-249.95517,982.3429,584.08929,-235.03339,960.26746,562.34583,-170.64864,1016.37244
79,0.65,487.20892,-249.92683,982.61218,584.4295,-235.16495,960.18597,562.23169,-170.93243,1016.13385
80,0.658,487.20892,-249.92683,982.61218,584.46655,-234.7829,959.43176,562.11603,-171.06786,1015.67328
81,0.667,486.94766,-249.84973,982.39038,584.46655,-234.7829,959.43176,562.26837,-170.83426,1015.47229
82,0.675,486.62668,-249.58195,982.03619,584.46655,-234.7829,959.43176,562.03394,-171.1673,1015.0896
83,0.683,487.05145,-249.71918,981.30566,584.57184,-234.58028,959.24133,561.41992,-171.31563,1014.89728
84,0.692,486.45706,-248.99986,980.6543,584.20209,-234.69644,959.04437,560.4519,-169.83594,1013.57556
85,0.7,486.01349,-248.78456,980.12347,583.50879,-234.38918,958.86121,559.83466,-168.76845,1012.44196
86,0.708,486.01349,-248.78456,980.12347,581.76563,-234.41797,958.89355,560.18671,-169.48909,1012.76843
87,0.717,485.61539,-248.41261,979.84552,581.88348,-234.28151,959.0658,559.75439,-169.08897,1012.90741
88,0.725,484.94211,-247.63014,979.81213,581.68488,-234.1017,959.35284,559.55225,-168.98297,1013.00848
89,0.733,484.77182,-247.68118,979.7973,581.8819,-233.96727,959.47809,559.55225,-168.98297,1013.00848
90,0.742,484.58646,-247.63208,979.7533,581.39856,-233.53456,959.46539,559.55225,-168.98297,1013.00848
91,0.75,484.77182,-247.68118,979.7973,581.39856,-233.53456,959.46539,559.29675,-169.32587,1013.23859
92,0.758,484.77182,-247.68118,979.7973,581.39856,-233.53456,959.46539,559.26782,-169.37727,1013.62402
93,0.767,484.77182,-247.68118,979.7973,581.39856,-233.53456,959.46539,559.16235,-169.47038,1014.28729
94,0.775,485.40775,-248.75208,980.29681,581.39856,-233.53456,959.46539,559.32996,-170.62242,1015.51215
95,0.783,485.79199,-248.04057,980.71222,582.87708,-233.93959,960.36371,559.55707,-170.5999,1016.04602
96,0.792,486.29349,-248.39957,980.94232,583.09509,-234.21616,961.11877,559.65277,-170.41101,1016.12036
