Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,357.21655,-272.93787,979.79907,452.03278,-355.62427,964.57843,460.52142,-341.9635,867.99103
2,0.008,357.01309,-272.8183,979.37952,452.62009,-354.88531,964.17761,460.5817,-341.73816,867.89404
3,0.017,357.01309,-272.8183,979.37952,452.5654,-355.01749,963.77789,460.7251,-341.24829,867.39429
4,0.025,357.01309,-272.8183,979.37952,452.64673,-355.05038,963.6333,461.35608,-340.82941,867.13062
5,0.033,357.2114,-272.56625,979.06451,452.64673,-355.05038,963.6333,461.17093,-339.78308,866.85736
6,0.042,357.72052,-272.86255,978.80145,452.64673,-355.05038,963.6333,461.61172,-339.9469,866.54822
7,0.05,357.79626,-272.95447,978.44519,452.38779,-355.22034,963.48724,461.97675,-339.47046,866.5448
8,0.058,357.56281,-272.6189,977.64386,452.45728,-355.12643,963.57709,461.48294,-339.15146,866.552
9,0.067,357.21631,-272.37628,977.81879,452.38779,-355.22034,963.48724,461.42047,-338.94861,866.67017
10,0.075,357.56281,-272.6189,977.64386,452.38779,-355.22034,963.48724,461.79971,-339.34763,866.40717
11,0.083,357.16077,-272.53275,977.96466,452.38779,-355.22034,963.48724,461.91428,-339.26767,866.66296
12,0.092,357.16077,-272.53275,977.96466,452.45728,-355.12643,963.57709,462.00122,-339.47791,866.67456
13,0.1,357.16077,-272.53275,977.96466,452.45728,-355.12643,963.57709,461.96356,-339.80194,866.62854
14,0.108,357.16077,-272.53275,977.96466,452.96051,-355.23212,963.65576,461.88928,-339.89764,866.81757
15,0.117,357.15942,-272.59366,978.54425,452.96051,-355.23212,963.65576,461.73456,-340.31299,867.11139
16,0.125,357.47858,-272.88126,978.19299,453.20831,-355.20984,963.92395,461.92819,-340.52832,867.0954
17,0.133,357.60141,-272.83685,978.90381,453.20831,-355.20984,963.92395,461.28519,-341.58185,867.10742
18,0.142,357.65088,-273.06909,979.46509,453.85727,-354.82846,964.30682,461.47186,-341.5769,867.08777
19,0.15,357.58121,-272.58841,979.1142,453.92181,-354.70432,964.04193,461.28519,-341.58185,867.10742
20,0.158,357.58121,-272.58841,979.1142,453.94211,-354.59518,964.25397,461.40939,-341.37433,867.20593
21,0.167,357.84464,-272.75726,978.93262,454.02344,-354.62808,964.10938,461.47186,-341.5769,867.08777
22,0.175,357.89258,-272.59512,978.75598,454.00473,-354.67944,964.24847,461.61725,-341.54074,866.75647
23,0.183,357.89258,-272.59512,978.75598,454.02344,-354.62808,964.10938,461.896,-341.34576,866.66986
24,0.192,358.22305,-272.84259,978.63776,453.96121,-354.57166,963.84552,462.0878,-341.15335,866.49078
25,0.2,358.22446,-272.78165,978.05811,454.3508,-354.29614,963.68994,462.17682,-340.7037,866.44165
26,0.208,358.24463,-273.02994,977.84766,454.57492,-354.42554,963.37872,462.16611,-340.1048,866.13428
27,0.217,358.56274,-273.06409,977.85529,454.95795,-354.32571,962.70026,462.09262,-339.51257,865.409
28,0.225,358.24463,-273.02994,977.84766,454.4624,-354.2901,961.9173,462.70547,-339.17697,865.20227
29,0.233,358.44626,-273.17508,977.75494,454.51871,-354.16705,961.67572,463.01691,-338.70554,864.61676
30,0.242,358.54565,-272.9303,977.48438,455.06873,-353.68118,960.82019,463.05188,-338.53455,864.34772
31,0.25,358.17575,-273.10468,977.17792,455.35739,-353.93475,960.7774,463.27762,-338.0636,864.0368
32,0.258,358.14194,-273.0827,977.01318,455.3251,-354.08569,960.63965,463.30566,-337.75485,863.66016
33,0.267,358.02429,-272.39545,976.96289,455.3251,-354.08569,960.63965,462.89935,-337.47192,863.53796
34,0.275,358.20325,-272.40677,977.58691,454.98987,-354.56766,961.06384,463.46619,-336.03015,863.34692
