Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
2,0.008,554.58783,262.86353,496.83636,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
3,0.017,554.71997,262.87393,496.82715,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
4,0.025,554.56488,262.85934,497.09769,672.01892,267.78525,430.30905,721.69629,130.41658,429.8493
5,0.033,554.9176,262.79807,497.65927,672.32056,267.71512,429.96683,721.69629,130.41658,429.8493
6,0.042,554.93127,262.69995,497.49054,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
7,0.05,554.58783,262.86353,496.83636,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
8,0.058,554.71069,262.77151,496.91974,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
9,0.067,555.02197,262.82211,497.25769,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
10,0.075,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
11,0.083,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
12,0.092,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
13,0.1,554.58783,262.86353,496.83636,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
14,0.108,554.93127,262.69995,497.49054,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
15,0.117,554.93127,262.69995,497.49054,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
16,0.125,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
17,0.133,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
18,0.142,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
19,0.15,555.02197,262.82211,497.25769,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
20,0.158,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
21,0.167,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
22,0.175,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
23,0.183,555.02197,262.82211,497.25769,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
24,0.192,554.93127,262.69995,497.49054,672.33984,267.9411,430.00024,721.69629,130.41658,429.8493
25,0.2,554.93127,262.69995,497.49054,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
26,0.208,554.71069,262.77151,496.91974,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
27,0.217,555.02197,262.82211,497.25769,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
28,0.225,555.02197,262.82211,497.25769,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
29,0.233,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
30,0.242,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
31,0.25,555.12213,262.73315,496.89615,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
32,0.258,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.79401,130.44072,430.0318
33,0.267,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.79401,130.44072,430.0318
34,0.275,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
35,0.283,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
36,0.292,555.12213,262.73315,496.89615,672.46716,267.97495,429.80115,721.79401,130.44072,430.0318
37,0.3,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.79401,130.44072,430.0318
38,0.308,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
39,0.317,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
40,0.325,555.25623,262.65933,497.88403,672.46716,267.97495,429.80115,721.79401,130.44072,430.0318
41,0.333,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.79401,130.44072,430.0318
42,0.342,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
43,0.35,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
44,0.358,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
45,0.367,555.12213,262.73315,496.89615,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
46,0.375,555.12213,262.73315,496.89615,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
47,0.383,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
48,0.392,555.43341,262.78366,497.2341,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
49,0.4,554.61993,262.64941,497.15259,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
50,0.408,554.61993,262.64941,497.15259,672.6344,267.62427,429.72202,721.69629,130.41658,429.8493
51,0.417,554.93127,262.69995,497.49054,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
52,0.425,555.02197,262.82211,497.25769,672.44464,268.15024,429.76843,721.69629,130.41658,429.8493
53,0.433,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
54,0.442,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
55,0.45,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
56,0.458,555.02197,262.82211,497.25769,672.16559,268.0451,430.1434,721.69629,130.41658,429.8493
57,0.467,554.93127,262.69995,497.49054,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
58,0.475,555.03125,262.92453,497.16513,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
59,0.483,554.6059,262.96674,496.74323,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
60,0.492,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
61,0.5,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
62,0.508,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
63,0.517,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
64,0.525,554.71069,262.77151,496.91974,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
65,0.533,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
66,0.542,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
67,0.55,555.34271,262.66156,497.46698,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
68,0.558,554.62921,262.75186,497.06003,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
69,0.567,554.93127,262.69995,497.49054,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
70,0.575,555.02197,262.82211,497.25769,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
71,0.583,555.43341,262.78366,497.2341,672.33984,267.9411,430.00024,721.69629,130.41658,429.8493
72,0.592,555.43341,262.78366,497.2341,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
73,0.6,555.03137,262.61108,497.12903,672.46716,267.97495,429.80115,721.69629,130.41658,429.8493
