Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,560.51428,-152.45992,52.98283,736.38605,-270.62689,45.16882,704.05658,-199.18594,66.31593
2,0.008,560.43146,-152.58192,53.26519,736.18542,-270.45432,45.26898,704.05658,-199.18594,66.31593
3,0.017,560.34088,-152.45227,53.36996,736.5589,-270.4433,45.20815,704.05658,-199.18594,66.31593
4,0.025,560.43146,-152.58192,53.26519,736.5589,-270.4433,45.20815,704.05658,-199.18594,66.31593
5,0.033,560.43146,-152.58192,53.26519,736.50787,-270.66489,45.49333,704.05658,-199.18594,66.31593
6,0.042,560.43146,-152.58192,53.26519,736.38605,-270.62689,45.16882,704.05658,-199.18594,66.31593
7,0.05,560.43146,-152.58192,53.26519,736.8266,-270.6615,45.47305,704.05658,-199.18594,66.31593
8,0.058,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.17078,-199.14647,65.96699
9,0.067,560.43146,-152.58192,53.26519,736.32678,-270.30386,45.33891,704.17078,-199.14647,65.96699
10,0.075,560.51428,-152.45992,52.98283,736.03723,-270.30447,45.05156,703.86749,-198.68851,66.08842
11,0.083,560.51428,-152.45992,52.98283,736.5589,-270.4433,45.20815,704.05658,-199.18594,66.31593
12,0.092,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.17078,-199.14647,65.96699
13,0.1,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
14,0.108,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.17078,-199.14647,65.96699
15,0.117,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
16,0.125,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
17,0.133,560.63385,-152.5356,53.17716,736.49652,-270.12369,45.38133,704.17078,-199.14647,65.96699
18,0.142,560.63385,-152.5356,53.17716,736.49652,-270.12369,45.38133,704.05658,-199.18594,66.31593
19,0.15,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.17078,-199.14647,65.96699
20,0.158,560.51428,-152.45992,52.98283,736.69714,-270.29633,45.28117,704.30505,-199.07979,66.06288
21,0.167,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.30505,-199.07979,66.06288
22,0.175,560.64325,-152.65794,53.19653,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
23,0.183,560.51147,-152.57452,53.42174,736.49652,-270.12369,45.38133,704.05658,-199.18594,66.31593
24,0.192,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.17078,-199.14647,65.96699
25,0.2,560.55103,-152.65764,53.45952,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
26,0.208,560.43146,-152.58192,53.26519,736.8266,-270.6615,45.47305,704.05658,-199.18594,66.31593
27,0.217,560.51428,-152.45992,52.98283,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
28,0.225,560.42371,-152.33026,53.08764,736.49652,-270.12369,45.38133,704.05658,-199.18594,66.31593
29,0.233,560.47675,-152.71458,52.79935,736.49652,-270.12369,45.38133,703.86749,-198.68851,66.08842
30,0.242,560.43146,-152.58192,53.26519,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
31,0.25,560.44067,-152.3748,53.09309,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
32,0.258,560.44067,-152.3748,53.09309,736.49652,-270.12369,45.38133,704.05658,-199.18594,66.31593
33,0.267,560.52069,-152.3674,53.24964,736.49652,-270.12369,45.38133,704.05658,-199.18594,66.31593
34,0.275,560.51349,-152.91231,53.27607,736.69714,-270.29633,45.28117,704.17078,-199.14647,65.96699
35,0.283,560.55103,-152.65764,53.45952,736.69714,-270.29633,45.28117,703.61902,-198.79462,66.34146
36,0.292,560.51428,-152.45992,52.98283,736.69714,-270.29633,45.28117,703.61902,-198.79462,66.34146
37,0.3,560.52356,-152.25282,52.81073,736.8266,-270.6615,45.47305,704.05658,-199.18594,66.31593
38,0.308,560.64307,-152.32848,53.00505,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
39,0.317,560.56024,-152.4505,53.28741,736.69714,-270.29633,45.28117,703.61902,-198.79462,66.34146
40,0.325,560.56024,-152.4505,53.28741,736.49652,-270.12369,45.38133,703.98169,-198.64905,65.73947
41,0.333,560.64026,-152.44312,53.44395,736.65247,-270.52573,45.5623,703.73328,-198.75514,65.99251
42,0.342,560.52069,-152.3674,53.24964,736.5589,-270.4433,45.20815,704.30505,-199.07979,66.06288
43,0.35,560.55103,-152.65764,53.45952,736.38605,-270.62689,45.16882,704.05658,-199.18594,66.31593
44,0.358,560.51428,-152.45992,52.98283,736.65247,-270.52573,45.5623,704.05658,-199.18594,66.31593
45,0.367,560.63385,-152.5356,53.17716,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
46,0.375,560.63385,-152.5356,53.17716,736.5589,-270.4433,45.20815,704.05658,-199.18594,66.31593
47,0.383,560.71387,-152.52821,53.33371,736.50323,-270.97125,45.36108,704.17078,-199.14647,65.96699
48,0.392,560.43146,-152.58192,53.26519,736.49652,-270.12369,45.38133,704.05658,-199.18594,66.31593
49,0.4,560.43146,-152.58192,53.26519,736.8266,-270.6615,45.47305,703.61902,-198.79462,66.34146
50,0.408,560.55103,-152.65764,53.45952,736.35828,-270.27069,45.30831,703.86749,-198.68851,66.08842
51,0.417,560.43146,-152.58192,53.26519,736.50323,-270.97125,45.36108,704.05658,-199.18594,66.31593
52,0.425,560.51428,-152.45992,52.98283,736.35828,-270.27069,45.30831,704.05658,-199.18594,66.31593
53,0.433,560.51428,-152.45992,52.98283,736.69714,-270.29633,45.28117,704.05658,-199.18594,66.31593
54,0.442,560.51428,-152.45992,52.98283,736.38605,-270.62689,45.16882,703.61902,-198.79462,66.34146
55,0.45,560.43146,-152.58192,53.26519,736.38605,-270.62689,45.16882,704.05658,-199.18594,66.31593
56,0.458,560.51147,-152.57452,53.42174,736.38605,-270.62689,45.16882,704.17078,-199.14647,65.96699
57,0.467,560.43146,-152.58192,53.26519,736.18542,-270.45432,45.26898,704.05658,-199.18594,66.31593
58,0.475,560.43146,-152.58192,53.26519,736.38605,-270.62689,45.16882,704.05658,-199.18594,66.31593
59,0.483,560.55103,-152.65764,53.45952,736.18542,-270.45432,45.26898,703.61902,-198.79462,66.34146
60,0.492,560.43146,-152.58192,53.26519,736.38605,-270.62689,45.16882,704.05658,-199.18594,66.31593
61,0.5,560.55103,-152.65764,53.45952,736.53412,-270.77701,45.38626,704.30505,-199.07979,66.06288
62,0.508,560.43146,-152.58192,53.26519,736.32904,-270.83551,45.45033,704.05658,-199.18594,66.31593
63,0.517,560.51428,-152.45992,52.98283,736.18542,-270.45432,45.26898,704.05658,-199.18594,66.31593
