Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,545.13232,157.22685,59.13367,734.08502,263.35324,39.83506,708.85248,200.79147,58.56857
2,0.008,545.13232,157.22685,59.13367,734.38165,263.46863,40.41029,708.85248,200.79147,58.56857
3,0.017,545.26227,157.10095,59.01851,734.50861,263.4556,40.2625,708.85248,200.79147,58.56857
4,0.025,545.26227,157.10095,59.01851,734.46393,263.60031,40.15731,708.85248,200.79147,58.56857
5,0.033,545.13232,157.22685,59.13367,734.28687,263.07532,40.03487,708.70605,200.61372,58.8219
6,0.042,545.13232,157.22685,59.13367,734.28687,263.07532,40.03487,708.85248,200.79147,58.56857
7,0.05,545.13232,157.22685,59.13367,734.11523,263.23309,40.07747,708.85248,200.79147,58.56857
8,0.058,545.26227,157.10095,59.01851,733.98676,263.21973,40.08949,708.85248,200.79147,58.56857
9,0.067,545.26227,157.10095,59.01851,734.28687,263.07532,40.03487,708.85248,200.79147,58.56857
10,0.075,545.13232,157.22685,59.13367,734.30676,263.73346,40.0627,708.85248,200.79147,58.56857
11,0.083,545.13232,157.22685,59.13367,734.46393,263.60031,40.15731,708.85248,200.79147,58.56857
12,0.092,545.13232,157.22685,59.13367,734.24219,263.22006,39.92967,708.70605,200.61372,58.8219
13,0.1,545.26227,157.10095,59.01851,733.95807,263.36627,39.98286,708.70605,200.61372,58.8219
14,0.108,545.09784,157.23177,59.2215,734.11523,263.23309,40.07747,708.94257,200.90288,58.94541
15,0.117,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.79608,200.72514,59.19871
16,0.125,545.09784,157.23177,59.2215,733.98676,263.21973,40.08949,708.70605,200.61372,58.8219
17,0.133,545.09784,157.23177,59.2215,734.15991,263.08835,40.18266,708.79608,200.72514,59.19871
18,0.142,545.09784,157.23177,59.2215,734.11523,263.23309,40.07747,708.79608,200.72514,59.19871
19,0.15,545.09784,157.23177,59.2215,733.98676,263.21973,40.08949,708.79608,200.72514,59.19871
20,0.158,544.99731,157.19365,59.28239,734.15991,263.08835,40.18266,708.79608,200.72514,59.19871
21,0.167,545.09784,157.23177,59.2215,734.11523,263.23309,40.07747,708.79608,200.72514,59.19871
22,0.175,545.09784,157.23177,59.2215,733.98676,263.21973,40.08949,708.94257,200.90288,58.94541
23,0.183,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.94257,200.90288,58.94541
24,0.192,545.09784,157.23177,59.2215,734.11523,263.23309,40.07747,708.79608,200.72514,59.19871
25,0.2,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.94257,200.90288,58.94541
26,0.208,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.94257,200.90288,58.94541
27,0.217,545.22778,157.10587,59.10633,733.98676,263.21973,40.08949,708.79608,200.72514,59.19871
28,0.225,545.09784,157.23177,59.2215,734.38165,263.46863,40.41029,708.94257,200.90288,58.94541
29,0.233,545.09784,157.23177,59.2215,734.33698,263.61334,40.3051,708.94257,200.90288,58.94541
30,0.242,545.1167,157.35715,59.46218,734.15991,263.08835,40.18266,708.94257,200.90288,58.94541
31,0.25,545.1167,157.35715,59.46218,734.15991,263.08835,40.18266,708.94257,200.90288,58.94541
32,0.258,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.79608,200.72514,59.19871
33,0.267,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.79608,200.72514,59.19871
34,0.275,545.09784,157.23177,59.2215,734.11523,263.23309,40.07747,708.94257,200.90288,58.94541
35,0.283,545.1167,157.35715,59.46218,733.95807,263.36627,39.98286,708.94257,200.90288,58.94541
36,0.292,545.1167,157.35715,59.46218,734.2085,263.59998,40.31713,708.79608,200.72514,59.19871
37,0.3,545.09784,157.23177,59.2215,734.17981,263.74646,40.21051,708.79608,200.72514,59.19871
38,0.308,545.09784,157.23177,59.2215,733.95807,263.36627,39.98286,708.94257,200.90288,58.94541
39,0.317,545.1167,157.35715,59.46218,734.14374,263.24597,39.98001,708.79608,200.72514,59.19871
40,0.325,545.1167,157.35715,59.46218,734.11523,263.23309,40.07747,708.94257,200.90288,58.94541
41,0.333,545.09784,157.23177,59.2215,733.98676,263.21973,40.08949,708.94257,200.90288,58.94541
42,0.342,545.09784,157.23177,59.2215,734.15991,263.08835,40.18266,708.79608,200.72514,59.19871
43,0.35,545.09784,157.23177,59.2215,734.15991,263.08835,40.18266,708.94257,200.90288,58.94541
44,0.358,545.1167,157.35715,59.46218,733.98676,263.21973,40.08949,708.94257,200.90288,58.94541
45,0.367,545.09784,157.23177,59.2215,734.11523,263.23309,40.07747,708.94257,200.90288,58.94541
46,0.375,545.09784,157.23177,59.2215,734.33679,263.77274,40.10101,708.94257,200.90288,58.94541
