Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,351.43515,-70.45003,975.74304,344.87946,99.30819,960.96393,214.12253,-102.21278,990.7652,191.18364,113.94987,988.83173,159.77423,-113.60648,897.05481
2,0.008,350.70221,-69.25285,975.49658,344.71609,99.33222,960.93628,214.12253,-102.21278,990.7652,191.18364,113.94987,988.83173,159.77423,-113.60648,897.05481
3,0.017,350.29938,-68.40107,974.86908,345.02484,99.26582,960.76801,214.12253,-102.21278,990.7652,191.41786,113.23027,988.79205,159.70024,-113.27729,896.75171
4,0.025,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.12253,-102.21278,990.7652,191.41786,113.23027,988.79205,159.70024,-113.27729,896.75171
5,0.033,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,213.87029,-102.11361,990.84827,191.41786,113.23027,988.79205,160.05591,-113.23873,896.67627
6,0.042,351.43515,-70.45003,975.74304,345.15024,98.91766,960.87732,214.12253,-102.21278,990.7652,191.86143,112.80502,988.91168,160.12985,-113.56796,896.97943
7,0.05,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.09341,-102.43621,990.58807,191.41786,113.23027,988.79205,160.12985,-113.56796,896.97943
8,0.058,350.86508,-69.38885,975.04224,345.02673,98.9942,961.07794,214.0473,-102.0269,990.73163,191.41786,113.23027,988.79205,160.12985,-113.56796,896.97943
9,0.067,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.12253,-102.21278,990.7652,191.41786,113.23027,988.79205,160.05591,-113.23873,896.67627
10,0.075,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,213.87029,-102.11361,990.84827,191.41786,113.23027,988.79205,160.05591,-113.23873,896.67627
11,0.083,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,213.87029,-102.11361,990.84827,192.19521,112.49569,988.75775,160.12985,-113.56796,896.97943
12,0.092,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.12253,-102.21278,990.7652,192.19521,112.49569,988.75775,159.77423,-113.60648,897.05481
13,0.1,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.59567,-102.72115,990.9472,192.19521,112.49569,988.75775,159.70024,-113.27729,896.75171
14,0.108,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.12253,-102.21278,990.7652,192.19521,112.49569,988.75775,160.05591,-113.23873,896.67627
15,0.117,351.43515,-70.45003,975.74304,345.1994,99.25471,961.10693,214.12253,-102.21278,990.7652,191.86143,112.80502,988.91168,160.12985,-113.56796,896.97943
16,0.125,351.43515,-70.45003,975.74304,345.1994,99.25471,961.10693,213.88135,-102.31924,990.68451,191.86143,112.80502,988.91168,160.12985,-113.56796,896.97943
17,0.133,351.43515,-70.45003,975.74304,345.02673,98.9942,961.07794,214.12253,-102.21278,990.7652,192.19521,112.49569,988.75775,160.12985,-113.56796,896.97943
18,0.142,350.86508,-69.38885,975.04224,345.02673,98.9942,961.07794,214.12253,-102.21278,990.7652,191.90715,112.77433,988.63129,160.05591,-113.23873,896.67627
19,0.15,350.86508,-69.38885,975.04224,345.17871,98.92857,961.14856,214.12253,-102.21278,990.7652,191.86143,112.80502,988.91168,159.70024,-113.27729,896.75171
20,0.158,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.59567,-102.72115,990.9472,191.86143,112.80502,988.91168,159.77423,-113.60648,897.05481
21,0.167,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.34346,-102.62209,991.03021,191.86143,112.80502,988.91168,159.77423,-113.60648,897.05481
22,0.175,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.56653,-102.9445,990.77008,191.86143,112.80502,988.91168,160.12985,-113.56796,896.97943
23,0.183,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,213.88135,-102.31924,990.68451,192.19521,112.49569,988.75775,159.77423,-113.60648,897.05481
24,0.192,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.09341,-102.43621,990.58807,191.86143,112.80502,988.91168,159.77423,-113.60648,897.05481
25,0.2,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.09341,-102.43621,990.58807,192.19521,112.49569,988.75775,159.77423,-113.60648,897.05481
26,0.208,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.09341,-102.43621,990.58807,192.19521,112.49569,988.75775,159.29555,-113.39124,896.77966
27,0.217,351.43515,-70.45003,975.74304,345.17871,98.92857,961.14856,214.09341,-102.43621,990.58807,192.19521,112.49569,988.75775,159.70024,-113.27729,896.75171
28,0.225,351.36002,-70.71465,976.03339,345.17871,98.92857,961.14856,213.88135,-102.31924,990.68451,192.19521,112.49569,988.75775,159.70024,-113.27729,896.75171
29,0.233,351.36002,-70.71465,976.03339,345.17871,98.92857,961.14856,214.09341,-102.43621,990.58807,191.83401,112.66219,989.039,159.29555,-113.39124,896.77966
30,0.242,350.77972,-69.61228,975.29132,345.17035,98.82206,961.27307,213.88135,-102.31924,990.68451,192.16776,112.35286,988.88513,159.77423,-113.60648,897.05481
31,0.25,351.36002,-70.71465,976.03339,345.17035,98.82206,961.27307,213.89615,-102.59364,990.46637,192.16776,112.35286,988.88513,159.29555,-113.39124,896.77966
32,0.258,351.43515,-70.45003,975.74304,345.17035,98.82206,961.27307,213.68163,-102.43096,990.59918,192.16776,112.35286,988.88513,159.53349,-113.55269,896.59058
33,0.267,351.43515,-70.45003,975.74304,345.17035,98.82206,961.27307,214.05887,-102.77085,990.10089,191.83401,112.66219,989.039,159.12883,-113.66661,896.61853
34,0.275,351.36002,-70.71465,976.03339,345.93924,98.82517,962.16766,214.09341,-102.43621,990.58807,192.16776,112.35286,988.88513,159.06067,-113.84381,896.49225
35,0.283,351.36002,-70.71465,976.03339,345.91171,98.69704,962.2486,213.89615,-102.59364,990.46637,192.19521,112.49569,988.75775,159.12883,-113.66661,896.61853
36,0.292,351.36002,-70.71465,976.03339,345.91171,98.69704,962.2486,213.89615,-102.59364,990.46637,192.16776,112.35286,988.88513,159.12883,-113.66661,896.61853
37,0.3,351.36002,-70.71465,976.03339,345.13589,98.66724,961.36322,213.68163,-102.43096,990.59918,192.16776,112.35286,988.88513,159.29555,-113.39124,896.77966
38,0.308,351.36002,-70.71465,976.03339,345.91171,98.69704,962.2486,213.89615,-102.59364,990.46637,192.16776,112.35286,988.88513,159.36957,-113.72041,897.08276
