Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,683.69592,-78.67995,1279.38867,686.38306,72.26186,1267.09937,535.25299,-105.4856,1281.01233,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
2,0.008,683.73004,-78.52736,1279.12988,686.38306,72.26186,1267.09937,535.25299,-105.4856,1281.01233,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
3,0.017,683.85834,-78.43631,1279.37048,686.38306,72.26186,1267.09937,535.00281,-105.38005,1281.07959,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
4,0.025,684.83484,-80.11661,1279.66797,686.38306,72.26186,1267.09937,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
5,0.033,684.63831,-79.14364,1279.14807,686.38306,72.26186,1267.09937,535.25739,-104.78532,1281.25574,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
6,0.042,683.82416,-78.58886,1279.62915,686.38306,72.26186,1267.09937,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
7,0.05,683.69592,-78.67995,1279.38867,686.38306,72.26186,1267.09937,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
8,0.058,684.63831,-79.14364,1279.14807,686.38306,72.26186,1267.09937,535.25739,-104.78532,1281.25574,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
9,0.067,683.69592,-78.67995,1279.38867,688.72546,72.31331,1267.53467,535.25739,-104.78532,1281.25574,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
10,0.075,684.60413,-79.29619,1279.40674,688.72546,72.31331,1267.53467,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
11,0.083,684.83484,-80.11661,1279.66797,688.72546,72.31331,1267.53467,535.00281,-105.38005,1281.07959,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
12,0.092,683.69592,-78.67995,1279.38867,688.72546,72.31331,1267.53467,535.25299,-105.4856,1281.01233,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
13,0.1,683.82416,-78.58886,1279.62915,688.72546,72.31331,1267.53467,535.25299,-105.4856,1281.01233,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
14,0.108,684.63831,-79.14364,1279.14807,688.72546,72.31331,1267.53467,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
15,0.117,684.04993,-79.06245,1279.52771,688.72546,72.31331,1267.53467,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
16,0.125,683.92712,-79.5009,1279.65002,688.72546,72.31331,1267.53467,535.50757,-104.89085,1281.18848,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
17,0.133,684.05524,-79.4098,1279.8905,688.72546,72.31331,1267.53467,535.25299,-105.4856,1281.01233,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
18,0.142,683.69592,-78.67995,1279.38867,688.72546,72.31331,1267.53467,535.00281,-105.38005,1281.07959,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
19,0.15,684.05524,-79.4098,1279.8905,688.72546,72.31331,1267.53467,535.25299,-105.4856,1281.01233,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
20,0.158,683.92712,-79.5009,1279.65002,688.72546,72.31331,1267.53467,535.25739,-104.78532,1281.25574,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
21,0.167,684.05524,-79.4098,1279.8905,688.72546,72.31331,1267.53467,535.00281,-105.38005,1281.07959,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
22,0.175,683.3103,-78.99361,1279.75696,688.72546,72.31331,1267.53467,535.25299,-105.4856,1281.01233,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
23,0.183,684.83484,-80.11661,1279.66797,688.72546,72.31331,1267.53467,535.25739,-104.78532,1281.25574,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
24,0.192,683.92712,-79.5009,1279.65002,688.72546,72.31331,1267.53467,535.25739,-104.78532,1281.25574,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
25,0.2,684.05524,-79.4098,1279.8905,688.72546,72.31331,1267.53467,535.25739,-104.78532,1281.25574,533.86945,106.80242,1277.31421,500.35489,-118.59853,1178.63306
26,0.208,683.92712,-79.5009,1279.65002,688.72546,72.31331,1267.53467,535.25739,-104.78532,1281.25574,533.86945,106.80242,1277.31421,500.35489,-118.59853,1178.63306
27,0.217,684.83484,-80.11661,1279.66797,688.72546,72.31331,1267.53467,535.00281,-105.38005,1281.07959,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
28,0.225,685.09125,-79.9346,1280.14893,690.79181,72.28351,1268.42419,535.25299,-105.4856,1281.01233,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
29,0.233,685.30829,-80.20043,1279.99451,690.79181,72.28351,1268.42419,535.00281,-105.38005,1281.07959,533.34741,106.76859,1277.34631,500.3526,-118.81013,1178.44922
30,0.242,684.83484,-80.11661,1279.66797,688.72546,72.31331,1267.53467,535.50757,-104.89085,1281.18848,533.86945,106.80242,1277.31421,500.3526,-118.81013,1178.44922
