Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,390.95013,-74.28917,318.76758,302.40674,-109.22688,60.87118,339.81622,-16.50968,85.37173
2,0.008,390.81265,-74.50983,318.62122,302.63773,-109.31319,60.69663,340.0788,-16.11733,85.70974
3,0.017,390.77502,-74.5668,318.66763,302.63773,-109.31319,60.69663,339.94907,-15.91849,85.70217
4,0.025,390.77502,-74.5668,318.66763,302.7894,-109.43056,60.70943,339.94907,-15.91849,85.70217
5,0.033,390.59744,-74.48384,318.59561,302.63773,-109.31319,60.69663,339.84229,-16.27666,85.39323
6,0.042,390.66287,-74.65996,318.67783,302.63773,-109.31319,60.69663,339.84229,-16.27666,85.39323
7,0.05,390.67856,-74.80821,318.88889,302.7894,-109.43056,60.70943,339.93204,-16.13298,85.52541
8,0.058,390.63303,-74.86315,318.93353,302.55838,-109.34427,60.88399,339.94907,-15.91849,85.70217
9,0.067,390.62317,-74.63909,318.72464,302.7894,-109.43056,60.70943,340.09586,-15.90284,85.88651
10,0.075,390.62317,-74.63909,318.72464,302.7894,-109.43056,60.70943,340.00357,-16.22748,85.61655
11,0.083,390.32343,-74.85962,319.1329,302.7894,-109.43056,60.70943,339.93204,-16.13298,85.52541
12,0.092,390.64072,-74.69865,319.33209,302.63773,-109.31319,60.69663,339.94907,-15.91849,85.70217
13,0.1,390.63089,-74.47453,319.12323,302.55838,-109.34427,60.88399,339.94907,-15.91849,85.70217
14,0.108,390.94043,-74.47816,318.92389,302.63773,-109.31319,60.69663,339.93204,-16.13298,85.52541
15,0.117,391.00211,-74.7963,318.86218,302.63773,-109.31319,60.69663,339.84229,-16.27666,85.39323
16,0.125,390.75571,-74.38474,319.38519,302.40674,-109.22688,60.87118,339.93204,-16.13298,85.52541
17,0.133,390.9437,-74.11295,319.18045,302.8287,-108.8905,60.78275,340.09586,-15.90284,85.88651
18,0.142,391.00275,-73.97062,319.37067,302.8287,-108.8905,60.78275,340.10425,-15.66042,86.04252
19,0.15,391.00275,-73.97062,319.37067,302.40674,-109.22688,60.87118,339.94907,-15.91849,85.70217
20,0.158,390.9437,-74.11295,319.18045,302.40674,-109.22688,60.87118,339.93204,-16.13298,85.52541
21,0.167,390.88889,-73.93449,319.03146,302.63773,-109.31319,60.69663,339.93204,-16.13298,85.52541
22,0.175,390.94797,-73.79217,319.22171,302.40674,-109.22688,60.87118,340.09586,-15.90284,85.88651
23,0.183,390.94797,-73.79217,319.22171,302.40674,-109.22688,60.87118,339.94907,-15.91849,85.70217
24,0.192,391.14386,-74.25482,319.04974,303.03293,-108.99528,60.64548,339.93204,-16.13298,85.52541
25,0.2,391.83191,-74.55637,319.13354,303.03293,-108.99528,60.64548,340.09586,-15.90284,85.88651
26,0.208,391.83191,-74.55637,319.13354,302.63773,-109.31319,60.69663,340.09586,-15.90284,85.88651
27,0.217,391.83191,-74.55637,319.13354,303.18076,-109.11545,60.66212,339.94907,-15.91849,85.70217
28,0.225,391.83191,-74.55637,319.13354,302.8287,-108.8905,60.78275,339.93204,-16.13298,85.52541
29,0.233,391.76001,-74.95318,319.06943,302.7894,-109.43056,60.70943,339.69019,-16.25181,85.62972
30,0.242,391.70447,-75.00109,319.19614,302.7894,-109.43056,60.70943,339.6727,-16.38728,85.76425
31,0.25,391.70447,-75.00109,319.19614,302.7894,-109.43056,60.70943,339.70721,-16.03733,85.80648
32,0.258,391.70447,-75.00109,319.19614,302.81491,-108.98797,60.67652,339.94907,-15.91849,85.70217
33,0.267,391.67041,-75.06416,319.24768,302.63773,-109.31319,60.69663,339.69019,-16.25181,85.62972
34,0.275,391.75931,-75.17973,319.34512,302.63773,-109.31319,60.69663,339.83694,-16.23616,85.81404
35,0.283,391.75931,-75.17973,319.34512,302.7894,-109.43056,60.70943,339.6727,-16.38728,85.76425
36,0.292,391.75931,-75.17973,319.34512,302.7894,-109.43056,60.70943,339.54297,-16.18847,85.75669
37,0.3,391.75931,-75.17973,319.34512,302.7894,-109.43056,60.70943,339.69019,-16.25181,85.62972
38,0.308,391.75931,-75.17973,319.34512,302.7894,-109.43056,60.70943,339.6727,-16.38728,85.76425
39,0.317,391.75931,-75.17973,319.34512,302.63773,-109.31319,60.69663,339.52597,-16.40292,85.57994
40,0.325,391.01196,-75.02039,319.07104,302.63773,-109.31319,60.69663,339.69019,-16.25181,85.62972
41,0.333,391.75931,-75.17973,319.34512,302.7894,-109.43056,60.70943,339.85397,-16.02168,85.9908
42,0.342,391.75931,-75.17973,319.34512,302.7894,-109.43056,60.70943,339.6727,-16.38728,85.76425
43,0.35,391.01196,-75.02039,319.07104,302.40674,-109.22688,60.87118,339.52597,-16.40292,85.57994
