Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,242.09766,307.73972,291.48743,167.65709,256.285,65.86064,230.20657,175.65013,107.39452
2,0.008,242.66658,307.72101,291.52402,167.65709,256.285,65.86064,230.20657,175.65013,107.39452
3,0.017,242.15047,307.64526,291.22607,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
4,0.025,242.41286,307.71396,291.4776,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
5,0.033,242.22064,307.72238,291.56363,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
6,0.042,242.66658,307.72101,291.52402,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
7,0.05,241.90034,307.75894,291.55197,167.53938,256.25064,65.62992,230.05177,175.41615,107.68368
8,0.058,242.39694,307.64981,291.72708,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
9,0.067,242.41286,307.71396,291.4776,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
10,0.075,242.38339,307.66745,291.28137,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
11,0.083,242.66658,307.72101,291.52402,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
12,0.092,242.41286,307.71396,291.4776,167.53227,256.12622,65.71021,229.86725,176.66045,107.10628
13,0.1,242.31088,307.46033,291.45032,167.53227,256.12622,65.71021,229.9758,175.95493,107.07099
14,0.108,242.58919,307.64139,291.64105,167.53227,256.12622,65.71021,229.9758,175.95493,107.07099
15,0.117,242.07306,307.56567,291.34311,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
16,0.125,242.57697,307.19254,291.42407,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
17,0.133,242.41286,307.71396,291.4776,167.53227,256.12622,65.71021,229.86725,176.66045,107.10628
18,0.142,242.41286,307.71396,291.4776,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
19,0.15,242.56386,307.69531,291.53372,167.53227,256.12622,65.71021,229.9758,175.95493,107.07099
20,0.158,242.58919,307.64139,291.64105,167.53227,256.12622,65.71021,230.68202,175.28323,107.78773
21,0.167,242.54379,307.48251,291.50562,167.53227,256.12622,65.71021,229.9758,175.95493,107.07099
22,0.175,242.09766,307.73972,291.48743,167.53227,256.12622,65.71021,229.71245,176.4263,107.39555
23,0.183,241.84923,307.20807,291.16562,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
24,0.192,242.31996,307.12491,291.32809,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
25,0.2,242.11165,307.27676,291.41714,167.53938,256.25064,65.62992,230.20657,175.65013,107.39452
26,0.208,241.84923,307.20807,291.16562,167.53227,256.12622,65.71021,229.71245,176.4263,107.39555
27,0.217,242.1371,307.85162,291.38049,167.53227,256.12622,65.71021,229.9758,175.95493,107.07099
28,0.225,241.73145,308.02271,291.53406,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
29,0.233,242.1371,307.85162,291.38049,167.65709,256.285,65.86064,230.68202,175.28323,107.78773
30,0.242,241.86725,308.10556,291.56625,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
31,0.25,242.08214,307.23026,291.22089,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
32,0.258,241.6765,307.40134,291.37451,167.53938,256.25064,65.62992,229.86725,176.66045,107.10628
33,0.267,241.93022,307.40836,291.42096,167.53938,256.25064,65.62992,230.05177,175.41615,107.68368
34,0.275,241.51349,307.88742,291.25116,167.68652,255.90993,65.43211,230.05177,175.41615,107.68368
35,0.283,241.78249,307.87042,291.47284,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
36,0.292,241.92874,308.00348,291.46951,167.53938,256.25064,65.62992,230.05177,175.41615,107.68368
37,0.3,242.33546,307.63437,291.59464,167.65709,256.285,65.86064,229.9758,175.95493,107.07099
38,0.308,242.09766,307.73972,291.48743,167.65709,256.285,65.86064,229.9758,175.95493,107.07099
39,0.317,242.35139,307.74673,291.53387,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
40,0.325,241.6765,307.40134,291.37451,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
41,0.333,241.55865,307.51282,291.29538,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
42,0.342,242.12753,307.38913,291.35638,167.53938,256.25064,65.62992,230.05177,175.41615,107.68368
43,0.35,241.75597,307.49359,291.2308,167.53227,256.12622,65.71021,230.05177,175.41615,107.68368
44,0.358,242.31088,307.46033,291.45032,167.53227,256.12622,65.71021,229.86725,176.66045,107.10628
45,0.367,242.35139,307.74673,291.53387,167.65709,256.285,65.86064,230.13051,176.189,106.78175
46,0.375,241.73145,308.02271,291.53406,167.65709,256.285,65.86064,229.86725,176.66045,107.10628
47,0.383,241.73145,308.02271,291.53406,167.65709,256.285,65.86064,230.13051,176.189,106.78175
48,0.392,241.87573,307.58493,291.40765,167.65709,256.285,65.86064,230.20657,175.65013,107.39452
49,0.4,242.15047,307.64526,291.22607,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
50,0.408,241.85992,307.95001,291.3558,167.53227,256.12622,65.71021,230.83681,175.51724,107.49859
51,0.417,241.42944,307.67383,291.02289,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
52,0.425,241.6136,308.13416,291.45493,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
53,0.433,241.67792,308.20538,291.3447,167.65709,256.285,65.86064,229.7912,177.19931,106.49347
54,0.442,241.69102,308.21378,291.33786,167.65709,256.285,65.86064,230.20657,175.65013,107.39452
55,0.45,241.35759,307.94098,290.69772,167.65709,256.285,65.86064,230.20657,175.65013,107.39452
56,0.458,241.35759,307.94098,290.69772,167.65709,256.285,65.86064,229.7912,177.19931,106.49347
57,0.467,241.9666,308.14648,291.11151,167.53227,256.12622,65.71021,230.13051,176.189,106.78175
58,0.475,241.88831,308.19455,291.27332,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
59,0.483,242.31096,307.93784,291.33771,167.53227,256.12622,65.71021,230.20657,175.65013,107.39452
60,0.492,241.69102,308.21378,291.33786,167.53938,256.25064,65.62992,230.20657,175.65013,107.39452
61,0.5,241.78426,307.92828,291.27267,167.53227,256.12622,65.71021,229.7912,177.19931,106.49347
