Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,138.73871,186.89088,44.87583,344.32281,286.23434,44.45902,294.98685,213.87994,71.45173
2,0.008,137.77924,186.83759,44.93781,343.93942,286.30453,43.89714,294.95407,214.06248,71.48903
3,0.017,137.77924,186.83759,44.93781,344.3577,286.46027,44.34752,294.85754,213.8309,71.25806
4,0.025,138.05887,187.37596,45.16779,344.3577,286.46027,44.34752,295.08743,213.44064,71.535
5,0.033,137.77924,186.83759,44.93781,344.02969,286.13571,44.32355,294.93979,213.52939,71.38759
6,0.042,137.77924,186.83759,44.93781,344.14664,285.74081,44.02995,294.99884,213.75496,71.49689
7,0.05,138.73871,186.89088,44.87583,344.0325,285.68607,43.88963,294.91318,213.64513,71.62791
8,0.058,137.77924,186.83759,44.93781,343.99854,286.22601,44.14827,294.9343,213.78235,71.57907
9,0.067,137.77924,186.83759,44.93781,344.06592,286.33377,44.35891,295.10269,213.95016,71.50194
10,0.075,137.77924,186.83759,44.93781,344.12656,286.1629,44.18887,295.08496,213.76508,71.35969
11,0.083,137.77924,186.83759,44.93781,344.26889,285.91925,44.10813,295.06519,213.94414,71.38028
12,0.092,137.77924,186.83759,44.93781,344.14084,285.98239,44.06755,294.90704,213.71193,71.42489
13,0.1,137.77924,186.83759,44.93781,344.30945,286.1705,44.097,294.87527,213.55678,71.46976
14,0.108,137.77924,186.83759,44.93781,344.12656,286.1629,44.18887,295.02902,213.71535,71.67812
15,0.117,137.77924,186.83759,44.93781,344.06592,286.33377,44.35891,294.98111,213.56987,71.35465
16,0.125,137.77924,186.83759,44.93781,344.14664,285.74081,44.02995,295.05563,213.59961,71.4378
17,0.133,137.77924,186.83759,44.93781,344.32956,285.74838,43.93806,295.00754,213.68675,71.42133
18,0.142,137.77924,186.83759,44.93781,344.12656,286.1629,44.18887,295.06436,213.5314,71.36222
19,0.15,137.77924,186.83759,44.93781,344.24881,286.34137,44.26706,295.30853,213.44714,71.50163
20,0.158,137.77924,186.83759,44.93781,344.32956,285.74838,43.93806,295.18396,213.44513,71.52699
21,0.167,137.77924,186.83759,44.93781,344.14664,285.74081,44.02995,295.02902,213.71535,71.67812
22,0.175,138.73871,186.89088,44.87583,344.30945,286.1705,44.097,295.01593,213.57124,71.51006
23,0.183,137.77924,186.83759,44.93781,344.30945,286.1705,44.097,294.93979,213.52939,71.38759
