Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,258.17642,-181.7706,278.18704,174.25087,-166.09911,68.27969,235.38335,-82.61288,102.67245
2,0.008,257.80502,-181.63448,278.09637,174.0471,-165.9613,68.18812,235.38335,-82.61288,102.67245
3,0.017,257.85052,-181.52193,278.21323,174.0471,-165.9613,68.18812,235.56825,-82.35213,102.82601
4,0.025,258.28183,-182.07698,278.34167,174.29053,-165.793,68.31568,235.56825,-82.35213,102.82601
5,0.033,258.43295,-182.07457,278.33041,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
6,0.042,258.14133,-181.84804,278.29108,174.2126,-166.94247,68.48264,235.38335,-82.61288,102.67245
7,0.05,258.15161,-182.15472,278.38586,173.86195,-166.98065,68.45625,235.38335,-82.61288,102.67245
8,0.058,258.28183,-182.07698,278.34167,174.0565,-166.32993,68.38649,235.56825,-82.35213,102.82601
9,0.067,258.28183,-182.07698,278.34167,174.14357,-165.96902,68.38087,235.56825,-82.35213,102.82601
10,0.075,258.37692,-182.18469,278.19269,174.25087,-166.09911,68.27969,235.56825,-82.35213,102.82601
11,0.083,258.31689,-181.99953,278.23764,173.90958,-166.50591,68.45166,235.38335,-82.61288,102.67245
12,0.092,258.26767,-182.22977,278.47864,173.86195,-166.98065,68.45625,235.38335,-82.61288,102.67245
13,0.1,258.29767,-181.97887,278.11862,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
14,0.108,258.37692,-182.18469,278.19269,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
15,0.117,258.52805,-182.18227,278.18143,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
16,0.125,258.26767,-182.22977,278.47864,174.11334,-166.64366,68.54322,235.38335,-82.61288,102.67245
17,0.133,258.26767,-182.22977,278.47864,174.0565,-166.32993,68.38649,235.56825,-82.35213,102.82601
18,0.142,258.39767,-181.88161,278.31357,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
19,0.15,258.38757,-181.95334,278.13083,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
20,0.158,258.23645,-181.95576,278.14209,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
21,0.167,258.29248,-181.84563,278.27985,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
22,0.175,258.31689,-181.99953,278.23764,174.0565,-166.32993,68.38649,235.56825,-82.35213,102.82601
23,0.183,258.28183,-182.07698,278.34167,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
24,0.192,258.52805,-182.18227,278.18143,174.26027,-166.4677,68.47806,235.56825,-82.35213,102.82601
25,0.2,258.41199,-182.10722,278.08865,174.11334,-166.64366,68.54322,235.56825,-82.35213,102.82601
26,0.208,258.29248,-181.84563,278.27985,174.00885,-166.8047,68.39109,235.56825,-82.35213,102.82601
27,0.217,258.28183,-182.07698,278.34167,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
28,0.225,258.29767,-181.97887,278.11862,174.10849,-166.03934,68.48101,235.38335,-82.61288,102.67245
29,0.233,258.37085,-182.09874,277.98941,175.05276,-165.74625,68.66755,235.38335,-82.61288,102.67245
30,0.242,258.29767,-181.97887,278.11862,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
31,0.25,258.34695,-181.99457,278.29092,174.0565,-166.32993,68.38649,235.56825,-82.35213,102.82601
32,0.258,258.20969,-181.91248,278.04785,174.0565,-166.32993,68.38649,235.56825,-82.35213,102.82601
33,0.267,258.60883,-182.06436,278.25739,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
34,0.275,258.52805,-182.18227,278.18143,174.26027,-166.4677,68.47806,235.38335,-82.61288,102.67245
35,0.283,258.31689,-181.99953,278.23764,173.90958,-166.50591,68.45166,235.38335,-82.61288,102.67245
36,0.292,258.19305,-181.75784,278.09006,174.0565,-166.32993,68.38649,235.38335,-82.61288,102.67245
37,0.3,258.19305,-181.75784,278.09006,175.05762,-164.91948,68.19405,235.56825,-82.35213,102.82601
38,0.308,258.37085,-182.09874,277.98941,175.23677,-165.51483,68.5739,235.56825,-82.35213,102.82601
39,0.317,258.37085,-182.09874,277.98941,174.26027,-166.4677,68.47806,235.56825,-82.35213,102.82601
