Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,237.23367,-191.72528,268.65488,135.66972,-155.82332,67.98031,208.51985,-81.35378,103.17525
2,0.008,237.23256,-191.61725,268.71964,136.0984,-155.71375,68.27603,208.13187,-80.76797,103.42849
3,0.017,237.40042,-191.86099,268.70279,136.39154,-155.38841,68.21024,208.41379,-81.07519,103.0135
4,0.025,237.39932,-191.75298,268.76755,136.32687,-155.5209,68.13534,208.51985,-81.35378,103.17525
5,0.033,237.23367,-191.72528,268.65488,136.23885,-155.57471,68.34102,208.51985,-81.35378,103.17525
6,0.042,237.17314,-191.90987,268.58627,135.92583,-155.65288,68.15788,207.63402,-81.48749,102.63345
7,0.05,237.17314,-191.90987,268.58627,135.9274,-155.6956,68.2586,207.63402,-81.48749,102.63345
8,0.058,237.3418,-192.04927,268.62851,136.04971,-155.70299,68.17856,207.63402,-81.48749,102.63345
9,0.067,237.3418,-192.04927,268.62851,135.66972,-155.82332,67.98031,207.35219,-81.18022,103.04855
10,0.075,237.3418,-192.04927,268.62851,136.0984,-155.71375,68.27603,207.63402,-81.48749,102.63345
11,0.083,237.3418,-192.04927,268.62851,136.23885,-155.57471,68.34102,207.63402,-81.48749,102.63345
12,0.092,237.3418,-192.04927,268.62851,136.28978,-155.55899,68.14162,207.63402,-81.48749,102.63345
13,0.1,237.3418,-192.04927,268.62851,136.10814,-155.53549,68.20926,207.45543,-81.4257,102.75882
14,0.108,237.3418,-192.04927,268.62851,136.11061,-155.72891,68.26042,207.63402,-81.48749,102.63345
15,0.117,237.3418,-192.04927,268.62851,135.88771,-155.90781,68.28693,207.63402,-81.48749,102.63345
16,0.125,237.3418,-192.04927,268.62851,135.88771,-155.90781,68.28693,207.84724,-82.04395,102.95773
17,0.133,237.3418,-192.04927,268.62851,136.05324,-155.76347,68.38091,207.63402,-81.48749,102.63345
18,0.142,237.46744,-191.95088,268.58374,135.83055,-155.92293,68.31791,207.35219,-81.18022,103.04855
19,0.15,237.28819,-192.12192,268.72281,136.30717,-155.4595,68.40463,207.63402,-81.48749,102.63345
20,0.158,237.28819,-192.12192,268.72281,136.18901,-155.57213,68.35282,207.45543,-81.4257,102.75882
21,0.167,237.28819,-192.12192,268.72281,136.45987,-155.27319,68.27386,207.45543,-81.4257,102.75882
22,0.175,237.41385,-192.02353,268.67804,136.23885,-155.57471,68.34102,207.35219,-81.18022,103.04855
23,0.183,237.41385,-192.02353,268.67804,136.12158,-155.64825,68.44452,207.63402,-81.48749,102.63345
24,0.192,237.46744,-191.95088,268.58374,135.92117,-155.78131,68.3947,207.35219,-81.18022,103.04855
25,0.2,237.67366,-191.42433,268.59387,136.12158,-155.64825,68.44452,207.63402,-81.48749,102.63345
26,0.208,237.63602,-191.58197,268.65585,135.92117,-155.78131,68.3947,207.63402,-81.48749,102.63345
27,0.217,237.52188,-191.76715,268.52017,136.30717,-155.4595,68.40463,207.63402,-81.48749,102.63345
28,0.225,237.73291,-191.70667,268.40143,136.19127,-155.60822,68.33366,207.35219,-81.18022,103.04855
29,0.233,237.46829,-191.83981,268.61447,136.29738,-155.50603,68.39101,207.63402,-81.48749,102.63345
30,0.242,237.60872,-191.72296,268.65616,136.29738,-155.50603,68.39101,207.35219,-81.18022,103.04855
31,0.25,237.46829,-191.83981,268.61447,136.29738,-155.50603,68.39101,207.52797,-81.20889,102.47165
32,0.258,237.41385,-192.02353,268.67804,135.96838,-155.78711,68.36018,207.9467,-80.74835,103.18793
33,0.267,237.41385,-192.02353,268.67804,136.13631,-155.67104,68.42025,207.63402,-81.48749,102.63345
34,0.275,237.41385,-192.02353,268.67804,136.12158,-155.64825,68.44452,207.63402,-81.48749,102.63345
35,0.283,237.41385,-192.02353,268.67804,135.92117,-155.78131,68.3947,207.63402,-81.48749,102.63345
36,0.292,237.41385,-192.02353,268.67804,135.92117,-155.78131,68.3947,207.63402,-81.48749,102.63345
37,0.3,237.39037,-192.17056,268.78412,136.30717,-155.4595,68.40463,207.35219,-81.18022,103.04855
38,0.308,237.28819,-192.12192,268.72281,136.30717,-155.4595,68.40463,207.17355,-81.11843,103.1739
39,0.317,237.39037,-192.17056,268.78412,136.18901,-155.57213,68.35282,207.45543,-81.4257,102.75882
40,0.325,237.26036,-192.37891,268.7908,135.92117,-155.78131,68.3947,207.45543,-81.4257,102.75882
41,0.333,237.38548,-192.45708,268.98322,135.96838,-155.78711,68.36018,207.45543,-81.4257,102.75882
42,0.342,237.24951,-192.09445,268.79797,135.92117,-155.78131,68.3947,207.88435,-80.96777,102.82765
43,0.35,237.34944,-192.14673,268.85941,135.96838,-155.78711,68.36018,207.67557,-80.89733,102.97916
