Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,65.66712,-214.05457,615.39142,54.38413,-150.42567,630.27887,97.10991,-117.87032,640.10712,130.26926,-87.82797,611.31158,151.80675,-183.1488,596.3775,176.14339,-136.7632,579.42993,151.17888,-85.45974,570.77704
2,0.008,65.43072,-214.22572,615.29962,54.47653,-150.28459,629.92151,97.60528,-117.21608,639.65967,130.37592,-87.81686,611.0332,151.80675,-183.1488,596.3775,176.14339,-136.7632,579.42993,151.17888,-85.45974,570.77704
3,0.017,65.43072,-214.22572,615.29962,54.45448,-149.99634,630.10779,97.27097,-117.465,639.59576,130.37592,-87.81686,611.0332,151.86205,-182.91722,596.55737,176.29268,-136.87691,579.33258,150.97366,-86.52513,569.92969
4,0.025,65.04344,-213.73149,615.22797,54.47653,-150.28459,629.92151,97.27097,-117.465,639.59576,130.26926,-87.82797,611.31158,152.27394,-182.55754,596.30884,176.29268,-136.87691,579.33258,150.7177,-86.60538,569.99164
5,0.033,65.66712,-214.05457,615.39142,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,130.26926,-87.82797,611.31158,151.68385,-183.41478,596.86401,176.14339,-136.7632,579.42993,151.17888,-85.45974,570.77704
6,0.042,65.66712,-214.05457,615.39142,54.38413,-150.42567,630.27887,97.10991,-117.87032,640.10712,130.26926,-87.82797,611.31158,151.68385,-183.41478,596.86401,176.29268,-136.87691,579.33258,150.7177,-86.60538,569.99164
7,0.05,65.66712,-214.05457,615.39142,54.74331,-150.37033,629.96173,97.27097,-117.465,639.59576,130.37592,-87.81686,611.0332,151.60423,-183.61861,596.39099,176.29268,-136.87691,579.33258,150.97366,-86.52513,569.92969
8,0.058,65.41264,-214.20523,615.0885,54.47653,-150.28459,629.92151,97.60528,-117.21608,639.65967,130.24648,-87.81409,611.08301,151.6595,-183.38683,596.57074,176.29268,-136.87691,579.33258,150.7177,-86.60538,569.99164
9,0.067,65.09379,-213.4464,615.19556,54.50844,-150.73152,630.19897,97.07506,-118.57461,640.19244,131.63263,-88.97162,611.17554,151.8311,-183.1768,596.67078,175.85193,-136.72598,579.35028,150.97366,-86.52513,569.92969
10,0.075,65.09857,-213.47325,615.39142,54.67305,-150.55212,630.32196,97.10991,-117.87032,640.10712,130.56332,-87.42254,610.69128,151.80675,-183.1488,596.3775,176.29268,-136.87691,579.33258,151.23315,-85.97858,570.13226
11,0.083,65.66712,-214.05457,615.39142,55.28801,-150.53658,629.79291,97.60528,-117.21608,639.65967,130.35312,-87.80296,610.80463,151.86205,-182.91722,596.55737,176.29268,-136.87691,579.33258,150.97366,-86.52513,569.92969
12,0.092,65.66712,-214.05457,615.39142,54.74331,-150.37033,629.96173,97.10991,-117.87032,640.10712,130.35312,-87.80296,610.80463,151.6595,-183.38683,596.57074,175.59578,-137.52528,579.27069,149.45581,-88.59188,570.20465
13,0.1,65.43072,-214.22572,615.29962,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,130.37592,-87.81686,611.0332,151.6595,-183.38683,596.57074,175.91481,-137.5174,579.36133,149.45581,-88.59188,570.20465
14,0.108,65.43072,-214.22572,615.29962,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,130.37592,-87.81686,611.0332,151.68385,-183.41478,596.86401,176.1906,-137.06491,579.46393,150.97366,-86.52513,569.92969
15,0.117,65.2632,-213.56717,615.30121,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,130.37592,-87.81686,611.0332,152.49933,-183.23752,596.8894,176.14339,-136.7632,579.42993,150.97366,-86.52513,569.92969
16,0.125,65.25842,-213.5403,615.10529,54.87239,-150.08119,630.15668,97.10991,-117.87032,640.10712,130.35312,-87.80296,610.80463,152.18199,-182.56401,596.68201,176.29268,-136.87691,579.33258,151.23315,-85.97858,570.13226
17,0.133,65.4893,-213.93648,615.48322,55.28801,-150.53658,629.79291,97.60528,-117.21608,639.65967,130.24648,-87.81409,611.08301,151.80675,-183.1488,596.3775,176.14339,-136.7632,579.42993,150.97366,-86.52513,569.92969
18,0.142,65.06536,-213.74884,615.44006,54.87239,-150.08119,630.15668,97.10991,-117.87032,640.10712,131.73634,-88.95177,611.13379,151.6595,-183.38683,596.57074,176.29268,-136.87691,579.33258,150.97366,-86.52513,569.92969
19,0.15,65.06536,-213.74884,615.44006,54.67305,-150.55212,630.32196,97.10991,-117.87032,640.10712,131.73634,-88.95177,611.13379,151.71478,-183.15527,596.75061,176.04131,-136.9512,579.56128,151.14471,-86.09304,570.31104
20,0.158,65.33524,-213.61449,615.54846,54.74331,-150.37033,629.96173,97.10991,-117.87032,640.10712,131.64243,-88.98092,611.35095,151.6595,-183.38683,596.57074,175.79315,-137.00398,579.24292,151.50397,-85.5969,570.50366
21,0.167,65.33524,-213.61449,615.54846,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,131.64243,-88.98092,611.35095,151.6595,-183.38683,596.57074,175.76509,-137.4062,579.47296,151.18674,-85.76083,570.56177
22,0.175,65.33524,-213.61449,615.54846,54.74331,-150.37033,629.96173,97.10991,-117.87032,640.10712,131.64243,-88.98092,611.35095,151.6595,-183.38683,596.57074,176.14339,-136.7632,579.42993,150.7177,-86.60538,569.99164
23,0.183,65.06536,-213.74884,615.44006,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,131.73634,-88.95177,611.13379,151.68385,-183.41478,596.86401,176.28831,-136.52313,579.10657,150.62924,-86.71981,570.17041
24,0.192,66.08649,-214.29907,615.76233,54.74331,-150.37033,629.96173,97.60528,-117.21608,639.65967,131.64243,-88.98092,611.35095,151.6595,-183.38683,596.57074,175.98793,-136.46678,579.026,151.23315,-85.97858,570.13226
25,0.2,65.33524,-213.61449,615.54846,54.74331,-150.37033,629.96173,97.10991,-117.87032,640.10712,131.64243,-88.98092,611.35095,151.80675,-183.1488,596.3775,175.98793,-136.46678,579.026,151.23315,-85.97858,570.13226
