Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,211.70424,-95.01936,256.71948,78.19762,-113.13889,75.82066,142.29036,-26.70751,79.15033
2,0.008,211.79984,-95.1482,256.85242,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
3,0.017,211.77672,-95.19062,257.21964,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
4,0.025,211.6333,-95.13075,257.01675,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
5,0.033,211.79984,-95.1482,256.85242,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
6,0.042,211.61414,-94.98882,256.78699,78.2099,-113.11786,75.83211,141.8885,-26.87429,79.44547
7,0.05,211.84766,-95.07922,256.92236,78.11977,-113.10361,75.69187,141.8885,-26.87429,79.44547
8,0.058,211.86682,-95.22115,257.15213,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
9,0.067,211.94591,-94.96863,256.62714,78.19762,-113.13889,75.82066,142.29036,-26.70751,79.15033
10,0.075,211.94591,-94.96863,256.62714,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
11,0.083,211.86948,-94.98171,256.72397,78.19762,-113.13889,75.82066,142.29036,-26.70751,79.15033
12,0.092,211.83011,-94.89855,256.64456,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
13,0.1,212.06734,-94.85764,256.55026,78.44996,-113.15617,75.75921,141.8885,-26.87429,79.44547
14,0.108,211.99535,-94.86089,256.64905,78.44996,-113.15617,75.75921,141.8885,-26.87429,79.44547
15,0.117,212.13876,-94.92076,256.85196,78.3721,-113.1209,75.63041,142.29036,-26.70751,79.15033
16,0.125,211.9021,-94.89531,256.54578,78.3721,-113.1209,75.63041,141.21692,-26.57015,78.32854
17,0.133,212.21074,-94.91752,256.75317,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
18,0.142,211.99535,-94.86089,256.64905,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
19,0.15,212.06734,-94.85764,256.55026,78.44996,-113.15617,75.75921,141.8885,-26.87429,79.44547
20,0.158,211.83011,-94.89855,256.64456,78.44996,-113.15617,75.75921,141.8885,-26.87429,79.44547
21,0.167,212.29382,-94.57116,256.89026,78.19762,-113.13889,75.82066,141.8885,-26.87429,79.44547
22,0.175,212.06506,-94.73998,256.72134,78.50716,-113.18284,75.89944,142.29036,-26.70751,79.15033
23,0.183,212.11186,-94.67696,256.47382,78.50716,-113.18284,75.89944,141.21692,-26.57015,78.32854
24,0.192,211.97083,-94.55711,256.6795,78.50716,-113.18284,75.89944,141.21692,-26.57015,78.32854
25,0.2,211.83011,-94.89855,256.64456,78.50716,-113.18284,75.89944,141.21692,-26.57015,78.32854
26,0.208,212.1833,-94.7401,256.77554,78.50716,-113.18284,75.89944,142.29036,-26.70751,79.15033
27,0.217,212.11186,-94.67696,256.47382,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
28,0.225,212.08688,-94.64242,256.52292,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
29,0.233,212.04282,-94.55386,256.58072,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
30,0.242,212.26385,-94.32304,256.51828,78.25482,-113.16556,75.96089,142.29036,-26.70751,79.15033
31,0.25,212.24734,-94.54258,256.53946,78.50716,-113.18284,75.89944,142.29036,-26.70751,79.15033
32,0.258,212.12837,-94.45744,256.45264,78.50716,-113.18284,75.89944,141.21692,-26.57015,78.32854
33,0.267,212.24734,-94.54258,256.53946,78.50716,-113.18284,75.89944,142.29036,-26.70751,79.15033
34,0.275,212.11186,-94.67696,256.47382,78.50716,-113.18284,75.89944,142.29036,-26.70751,79.15033
35,0.283,212.26385,-94.32304,256.51828,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
36,0.292,212.12837,-94.45744,256.45264,78.19762,-113.13889,75.82066,142.29036,-26.70751,79.15033
37,0.3,212.12837,-94.45744,256.45264,78.64825,-113.10896,75.75108,142.29036,-26.70751,79.15033
38,0.308,212.12837,-94.45744,256.45264,78.44996,-113.15617,75.75921,142.29036,-26.70751,79.15033
