Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,191.85733,-156.3606,595.341,272.47897,-121.07448,507.35641,228.12636,-140.81996,460.12778,250.08807,-44.14497,455.31012
2,0.008,191.96719,-156.18431,595.14233,272.78821,-120.99732,507.38373,228.21951,-140.13353,460.03622,250.08807,-44.14497,455.31012
3,0.017,192.03534,-156.28017,595.3927,272.95599,-120.96456,507.39145,228.42632,-140.73065,460.13,250.08807,-44.14497,455.31012
4,0.025,192.2153,-156.35422,595.27911,272.78821,-120.99732,507.38373,228.13756,-140.72156,460.14035,250.08807,-44.14497,455.31012
5,0.033,192.14716,-156.25836,595.02881,272.93558,-121.01747,507.133,228.21951,-140.13353,460.03622,250.08807,-44.14497,455.31012
6,0.042,192.14716,-156.25836,595.02881,272.93558,-121.01747,507.133,228.71524,-140.5731,460.08969,250.08807,-44.14497,455.31012
7,0.05,192.03728,-156.43465,595.22748,272.6001,-121.08315,507.11755,228.6321,-140.47522,460.19128,250.08807,-44.14497,455.31012
8,0.058,192.14716,-156.25836,595.02881,272.93558,-121.01747,507.133,228.84233,-141.15038,460.1525,250.08807,-44.14497,455.31012
9,0.067,192.20345,-156.32433,594.64746,272.93558,-121.01747,507.133,228.84233,-141.15038,460.1525,250.08807,-44.14497,455.31012
10,0.075,192.07677,-156.46143,594.71802,272.93558,-121.01747,507.133,228.78304,-141.08559,460.42957,250.08807,-44.14497,455.31012
11,0.083,192.25479,-156.38101,594.76965,272.93558,-121.01747,507.133,228.71251,-140.59831,460.2782,250.08807,-44.14497,455.31012
12,0.092,192.14716,-156.25836,595.02881,272.93558,-121.01747,507.133,228.78577,-141.06041,460.24106,250.08807,-44.14497,455.31012
13,0.1,192.14716,-156.25836,595.02881,272.93558,-121.01747,507.133,228.92432,-140.56239,460.0484,250.08807,-44.14497,455.31012
14,0.108,192.20345,-156.32433,594.64746,272.93558,-121.01747,507.133,229.10162,-141.2738,460.25366,250.08807,-44.14497,455.31012
15,0.117,192.38145,-156.2439,594.6991,272.93558,-121.01747,507.133,229.1041,-140.66617,460.11868,250.08807,-44.14497,455.31012
16,0.125,192.38145,-156.2439,594.6991,272.93558,-121.01747,507.133,229.02484,-141.22891,460.03427,250.10109,-44.38796,455.13611
17,0.133,192.3252,-156.17792,595.08044,273.27631,-121.23058,507.21954,229.22862,-141.85107,460.31644,250.10109,-44.38796,455.13611
18,0.142,192.25479,-156.38101,594.76965,272.93558,-121.01747,507.133,229.22862,-141.85107,460.31644,250.10109,-44.38796,455.13611
19,0.15,192.25479,-156.38101,594.76965,273.27631,-121.23058,507.21954,229.02209,-141.25412,460.22275,250.10109,-44.38796,455.13611
20,0.158,192.25479,-156.38101,594.76965,273.27631,-121.23058,507.21954,229.02484,-141.22891,460.03427,250.08807,-44.14497,455.31012
21,0.167,192.8833,-155.72021,594.95276,273.27631,-121.23058,507.21954,229.10684,-140.64093,459.93015,250.10109,-44.38796,455.13611
22,0.175,192.66023,-156.01254,594.57904,273.4856,-120.99884,507.27664,228.88956,-141.45781,459.76483,250.10109,-44.38796,455.13611
23,0.183,192.81287,-155.92334,594.64197,273.4856,-120.99884,507.27664,228.88956,-141.45781,459.76483,250.10109,-44.38796,455.13611
24,0.192,192.81287,-155.92334,594.64197,273.27631,-121.23058,507.21954,229.02484,-141.22891,460.03427,250.10109,-44.38796,455.13611
25,0.2,192.8833,-155.72021,594.95276,273.27631,-121.23058,507.21954,229.02484,-141.22891,460.03427,250.10109,-44.38796,455.13611
26,0.208,192.8833,-155.72021,594.95276,273.27631,-121.23058,507.21954,229.02209,-141.25412,460.22275,250.10109,-44.38796,455.13611
27,0.217,192.8833,-155.72021,594.95276,273.82623,-121.21214,507.36325,229.02209,-141.25412,460.22275,250.10109,-44.38796,455.13611
28,0.225,192.8833,-155.72021,594.95276,273.61694,-121.44384,507.30612,229.17805,-141.46678,459.75446,250.10109,-44.38796,455.13611
29,0.233,193.04372,-155.56058,594.95154,274.13812,-121.09267,507.526,228.88956,-141.45781,459.76483,250.10109,-44.38796,455.13611
30,0.242,193.04372,-155.56058,594.95154,273.82623,-121.21214,507.36325,229.02484,-141.22891,460.03427,250.10109,-44.38796,455.13611
31,0.25,193.04372,-155.56058,594.95154,273.82623,-121.21214,507.36325,228.88956,-141.45781,459.76483,250.10109,-44.38796,455.13611
32,0.258,193.11809,-155.72261,594.92145,273.61694,-121.44384,507.30612,229.02484,-141.22891,460.03427,250.10109,-44.38796,455.13611
33,0.267,193.11809,-155.72261,594.92145,273.95248,-121.37818,507.32159,229.10684,-140.64093,459.93015,250.10109,-44.38796,455.13611
34,0.275,193.04372,-155.56058,594.95154,273.9971,-120.98199,507.24512,229.10684,-140.64093,459.93015,250.10109,-44.38796,455.13611
35,0.283,193.27849,-155.56297,594.92023,273.9971,-120.98199,507.24512,229.23137,-141.82587,460.12796,250.10109,-44.38796,455.13611
36,0.292,193.27849,-155.56297,594.92023,274.58051,-120.77722,507.12048,228.88956,-141.45781,459.76483,250.10109,-44.38796,455.13611
