Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-21.8663,49.23329,1452.56531,38.58738,-100.47901,1437.56409,34.63433,211.30545,1445.72693
2,0.008,-21.8663,49.23329,1452.56531,38.58738,-100.47901,1437.56409,34.33374,211.65218,1445.81836
3,0.017,-21.50373,50.36286,1452.56201,38.58738,-100.47901,1437.56409,34.61517,211.54195,1445.62097
4,0.025,-21.50373,50.36286,1452.56201,38.58738,-100.47901,1437.56409,34.97601,211.37251,1445.78967
5,0.033,-21.8663,49.23329,1452.56531,38.58738,-100.47901,1437.56409,34.97601,211.37251,1445.78967
6,0.042,-21.8663,49.23329,1452.56531,38.58738,-100.47901,1437.56409,34.91583,211.19511,1445.52954
7,0.05,-21.8663,49.23329,1452.56531,39.07614,-100.59972,1437.37622,35.27805,211.0466,1445.71814
8,0.058,-21.8663,49.23329,1452.56531,38.58738,-100.47901,1437.56409,35.27805,211.0466,1445.71814
9,0.067,-21.8663,49.23329,1452.56531,39.07614,-100.59972,1437.37622,35.27805,211.0466,1445.71814
10,0.075,-21.8663,49.23329,1452.56531,40.06494,-101.80436,1437.90186,35.27805,211.0466,1445.71814
11,0.083,-21.8663,49.23329,1452.56531,39.57637,-101.68401,1438.08972,35.27805,211.0466,1445.71814
12,0.092,-21.47255,50.21265,1452.61902,40.06494,-101.80436,1437.90186,35.27805,211.0466,1445.71814
13,0.1,-21.05632,50.46135,1452.75891,40.06494,-101.80436,1437.90186,35.50912,211.02492,1445.72571
14,0.108,-21.47255,50.21265,1452.61902,40.06494,-101.80436,1437.90186,35.27805,211.0466,1445.71814
15,0.117,-21.8663,49.23329,1452.56531,40.06494,-101.80436,1437.90186,35.63907,210.72255,1445.1709
16,0.125,-21.05632,50.46135,1452.75891,40.06494,-101.80436,1437.90186,35.63907,210.72255,1445.1709
17,0.133,-21.05632,50.46135,1452.75891,40.06494,-101.80436,1437.90186,35.69917,210.90013,1445.43103
18,0.142,-21.47255,50.21265,1452.61902,40.57067,-100.82306,1437.91736,35.88844,210.85405,1445.48474
19,0.15,-21.47255,50.21265,1452.61902,40.57067,-100.82306,1437.91736,35.88045,210.96066,1445.72351
20,0.158,-21.47255,50.21265,1452.61902,40.57067,-100.82306,1437.91736,35.88844,210.85405,1445.48474
21,0.167,-21.05632,50.46135,1452.75891,40.57067,-100.82306,1437.91736,36.00961,210.73705,1445.51709
22,0.175,-21.47255,50.21265,1452.61902,40.57067,-100.82306,1437.91736,36.0697,210.91454,1445.77722
23,0.183,-21.48419,49.67546,1452.13696,40.57067,-100.82306,1437.91736,36.58039,210.9093,1445.97437
24,0.192,-21.47255,50.21265,1452.61902,40.57067,-100.82306,1437.91736,36.30491,210.89542,1445.78027
25,0.2,-21.50373,50.36286,1452.56201,40.57067,-100.82306,1437.91736,36.86226,211.05914,1446.04395
26,0.208,-21.48419,49.67546,1452.13696,40.57067,-100.82306,1437.91736,36.58039,210.9093,1445.97437
27,0.217,-21.05632,50.46135,1452.75891,40.57067,-100.82306,1437.91736,36.78008,210.92656,1445.92114
28,0.225,-21.48419,49.67546,1452.13696,40.57067,-100.82306,1437.91736,36.99263,210.92372,1446.1626
29,0.233,-21.48419,49.67546,1452.13696,40.57067,-100.82306,1437.91736,36.99263,210.92372,1446.1626
30,0.242,-20.22355,50.95732,1453.03955,40.57067,-100.82306,1437.91736,36.99263,210.92372,1446.1626
31,0.25,-21.05632,50.46135,1452.75891,41.06229,-100.61652,1438.0603,36.99263,210.92372,1446.1626
32,0.258,-20.22355,50.95732,1453.03955,40.57067,-100.82306,1437.91736,36.99263,210.92372,1446.1626
33,0.267,-20.65194,50.17284,1452.41675,40.57067,-100.82306,1437.91736,36.99263,210.92372,1446.1626
34,0.275,-20.22355,50.95732,1453.03955,40.57067,-100.82306,1437.91736,36.99263,210.92372,1446.1626
