Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,174.47829,134.41248,65.41368,407.36456,168.26831,47.65052,347.7731,132.4425,74.49151
2,0.008,174.47829,134.41248,65.41368,407.26382,168.42821,47.67348,347.96872,132.54741,74.54961
3,0.017,174.47829,134.41248,65.41368,407.26382,168.42821,47.67348,348.20398,132.70845,74.63818
4,0.025,174.48839,134.507,65.35551,407.46002,168.46745,47.58638,347.98444,132.60669,74.70213
5,0.033,174.479,134.37737,65.55101,407.32346,168.41298,47.61212,348.20398,132.70845,74.63818
6,0.042,174.40855,134.48492,65.52569,407.10837,168.38768,47.80654,347.7731,132.4425,74.49151
7,0.05,174.41867,134.57944,65.46751,407.22281,168.27046,47.71172,347.85736,132.36089,74.58527
8,0.058,174.40855,134.48492,65.52569,407.34683,168.39348,47.77493,347.66174,132.25598,74.52718
9,0.067,174.4536,134.65422,65.46125,407.2536,168.35478,47.89977,348.20398,132.70845,74.63818
10,0.075,174.41867,134.57944,65.46751,407.09583,168.45622,47.89549,347.85736,132.36089,74.58527
11,0.083,174.45432,134.61913,65.59857,407.06729,168.53236,47.76814,347.96872,132.54741,74.54961
12,0.092,174.4536,134.65422,65.46125,407.06461,168.56757,47.94127,347.7731,132.4425,74.49151
13,0.1,174.40929,134.44983,65.66301,407.06461,168.56757,47.94127,347.98444,132.60669,74.70213
14,0.108,174.38776,134.64594,65.5993,407.09583,168.45622,47.89549,348.00836,132.60355,74.5801
15,0.117,174.38776,134.64594,65.5993,407.22238,168.46611,47.94555,347.65604,132.42419,74.5071
16,0.125,174.4328,134.81522,65.53487,407.07278,168.61156,47.86132,347.8913,132.58525,74.59569
17,0.133,174.38776,134.64594,65.5993,407.09583,168.45622,47.89549,347.85165,132.52911,74.56519
18,0.142,174.42268,134.72072,65.59303,407.09583,168.45622,47.89549,347.74915,132.44565,74.61355
19,0.15,174.37766,134.55142,65.65746,407.04156,168.7229,47.9071,347.74786,132.41194,74.84013
20,0.158,174.37766,134.55142,65.65746,406.96088,168.64546,47.81529,347.74915,132.44565,74.61355
21,0.167,174.19142,134.97525,65.70692,407.03604,168.64371,47.81393,348.15616,132.71468,74.88219
22,0.175,174.25766,134.63281,65.74728,407.06729,168.53236,47.76814,347.8334,132.36403,74.7073
23,0.183,174.27792,134.67316,65.86144,407.10892,168.64655,47.9274,347.94476,132.55057,74.67164
24,0.192,174.40482,134.69023,65.72006,407.14014,168.5352,47.88161,347.63782,132.25914,74.64921
25,0.2,174.38776,134.64594,65.5993,407.27023,168.54073,47.92714,347.61392,132.26221,74.77119
26,0.208,174.30267,134.80211,65.68286,406.9921,168.53412,47.7695,347.61392,132.26221,74.77119
27,0.217,174.14641,134.80597,65.77134,407.14014,168.5352,47.88161,347.60822,132.43042,74.75113
28,0.225,174.28801,134.76767,65.80329,407.08588,168.80185,47.89324,347.80954,132.36711,74.82928
29,0.233,174.46454,134.80409,65.82899,407.0419,168.69228,47.84881,347.72528,132.44873,74.73554
30,0.242,174.39471,134.59572,65.77821,407.24179,168.44461,47.94271,347.72528,132.44873,74.73554
31,0.25,174.40114,134.73207,65.71921,407.08047,168.55042,47.94297,347.97552,132.4585,74.90724
32,0.258,174.34143,134.61823,65.61028,407.10892,168.64655,47.9274,347.61392,132.26221,74.77119
33,0.267,174.31427,134.47942,65.54768,407.14014,168.5352,47.88161,347.96054,132.60976,74.82413
34,0.275,174.32439,134.57393,65.48952,407.03604,168.64371,47.81393,347.96054,132.60976,74.82413
35,0.283,174.35931,134.64871,65.48325,407.27023,168.54073,47.92714,347.99191,132.66693,74.9239
36,0.292,174.40482,134.69023,65.72006,407.27432,168.52718,47.83337,347.99191,132.66693,74.9239
37,0.3,174.37766,134.55142,65.65746,407.30145,168.4294,47.88135,348.18753,132.77185,74.98196
38,0.308,174.39471,134.59572,65.77821,407.41727,168.52525,47.88247,347.80954,132.36711,74.82928
39,0.317,174.36942,134.74321,65.42509,407.44318,168.42725,47.82015,347.72528,132.44873,74.73554
40,0.325,174.36942,134.74321,65.42509,407.56787,168.30548,47.73024,347.84091,132.4243,74.92905
41,0.333,174.35529,134.50745,65.35773,407.44144,168.53491,47.78863,347.99191,132.66693,74.9239
42,0.342,174.35931,134.64871,65.48325,407.3252,168.65157,47.87932,347.95224,132.61081,74.8934
43,0.35,174.32439,134.57393,65.48952,407.45322,168.34413,47.75804,347.96054,132.60976,74.82413
44,0.358,174.40033,134.67673,65.2933,407.13382,168.53198,47.70831,347.80954,132.36711,74.82928
45,0.367,174.40033,134.67673,65.2933,407.422,168.45546,47.80383,347.75665,132.50591,74.83532
46,0.375,174.42213,134.75931,65.13042,407.47266,168.4236,47.74285,348.0069,132.51567,75.007
47,0.383,174.40033,134.67673,65.2933,407.27573,168.40044,47.84459,347.99191,132.66693,74.9239
48,0.392,174.40033,134.67673,65.2933,407.53232,168.40839,47.68148,347.58365,132.54904,74.96387
49,0.4,174.40033,134.67673,65.2933,407.31903,168.45488,47.76609,348.07047,132.75356,74.99756
50,0.408,174.40033,134.67673,65.2933,407.19861,168.64168,47.82926,347.96054,132.60976,74.82413
51,0.417,174.47006,134.60429,65.18128,407.52411,168.16751,47.65894,347.72528,132.44873,74.73554
52,0.425,174.45995,134.5098,65.23946,407.45181,168.42348,47.66633,347.66931,132.51016,74.84851
53,0.433,174.53343,134.67628,65.29106,407.48303,168.31216,47.62054,347.72528,132.44873,74.73554
54,0.442,174.47006,134.60429,65.18128,407.23788,168.52618,47.73579,347.93594,132.72836,75.03686
55,0.45,174.47006,134.60429,65.18128,407.37271,168.5092,47.67306,347.52591,132.57527,74.794
56,0.458,174.47006,134.60429,65.18128,407.4234,168.32738,47.68191,347.78751,132.65289,74.95267
57,0.467,174.53343,134.67628,65.29106,407.45181,168.42348,47.66633,347.61392,132.26221,74.77119
58,0.475,174.52333,134.58177,65.34924,407.48303,168.31216,47.62054,347.74915,132.44565,74.61355
59,0.483,174.48839,134.507,65.35551,407.26382,168.42821,47.67348,347.67484,132.58691,74.65942
60,0.492,174.29739,134.59776,65.40565,407.1778,168.64156,47.75273,347.86737,132.58839,74.71772
61,0.5,174.47829,134.41248,65.41368,407.24826,168.41475,47.61348,347.74915,132.44565,74.61355
62,0.508,174.53343,134.67628,65.29106,407.48303,168.31216,47.62054,347.60822,132.43042,74.75113
63,0.517,174.53343,134.67628,65.29106,407.45181,168.42348,47.66633,347.92087,132.55363,74.79362
64,0.525,174.53343,134.67628,65.29106,407.2326,168.53952,47.71927,347.98444,132.60669,74.70213
65,0.533,174.33232,134.67255,65.39938,407.15051,168.52646,47.7191,347.69321,132.50708,74.72652
66,0.542,174.34242,134.76704,65.3412,407.06729,168.53236,47.76814,347.71716,132.50394,74.60448
67,0.55,174.53343,134.67628,65.29106,407.15051,168.52646,47.7191,348.00836,132.60355,74.5801
68,0.558,174.4637,134.74873,65.40308,407.25043,168.44084,47.78889,348.00836,132.60355,74.5801
69,0.567,174.41867,134.57944,65.46751,406.96637,168.72466,47.90846,347.74915,132.44565,74.61355
70,0.575,174.4637,134.74873,65.40308,407.03616,168.47144,47.95686,347.86737,132.58839,74.71772
71,0.583,174.29739,134.59776,65.40565,407.06461,168.56757,47.94127,347.95242,132.66496,74.69306
72,0.592,174.4933,134.73134,65.29268,407.06461,168.56757,47.94127,348.14804,132.76988,74.75114
73,0.6,174.41867,134.57944,65.46751,407.19385,168.54227,47.81821,347.7731,132.4425,74.49151
74,0.608,174.40855,134.48492,65.52569,407.04868,168.45656,48.02678,348.00836,132.60355,74.5801
75,0.617,174.33232,134.67255,65.39938,407.09583,168.45622,47.89549,347.65604,132.42419,74.5071
76,0.625,174.22536,134.85004,65.43732,407.09583,168.45622,47.89549,347.69321,132.50708,74.72652
77,0.633,174.4637,134.74873,65.40308,407.06461,168.56757,47.94127,347.96603,132.68651,74.63504
78,0.642,174.4328,134.81522,65.53487,407.00494,168.58276,48.00263,347.98999,132.68336,74.51301
79,0.65,174.4328,134.81522,65.53487,407.06461,168.56757,47.94127,347.71716,132.50394,74.60448
80,0.658,174.4328,134.81522,65.53487,406.92426,168.44295,48.0137,347.69321,132.50708,74.72652
81,0.667,174.31277,134.89661,65.6247,407.06461,168.56757,47.94127,347.63782,132.25914,74.64921
82,0.675,174.26775,134.72733,65.68913,407.03616,168.47144,47.95686,347.74915,132.44565,74.61355
83,0.683,174.4328,134.81522,65.53487,406.9819,168.7381,47.96846,347.63782,132.25914,74.64921
84,0.692,174.4328,134.81522,65.53487,407.07278,168.61156,47.86132,347.96054,132.60976,74.82413
85,0.7,174.26775,134.72733,65.68913,406.88016,168.50565,47.82634,347.80954,132.36711,74.82928
86,0.708,174.26775,134.72733,65.68913,406.90366,168.66202,47.93363,347.8114,132.64983,74.83068
87,0.717,174.31277,134.89661,65.6247,407.08047,168.55042,47.94297,347.66931,132.51016,74.84851
88,0.725,174.4328,134.81522,65.53487,407.10892,168.64655,47.9274,347.92087,132.55363,74.79362
89,0.733,174.31277,134.89661,65.6247,407.10892,168.64655,47.9274,347.65094,132.59,74.78143
90,0.742,174.38776,134.64594,65.5993,407.00763,168.54758,47.82951,347.70688,132.52855,74.66845
91,0.75,174.31277,134.89661,65.6247,407.00763,168.54758,47.82951,347.72528,132.44873,74.73554
92,0.758,174.38646,134.78751,65.54586,407.10892,168.64655,47.9274,347.66931,132.51016,74.84851
93,0.767,174.4328,134.81522,65.53487,407.30145,168.4294,47.88135,347.96054,132.60976,74.82413
94,0.775,174.44984,134.85951,65.65565,407.27023,168.54073,47.92714,348.15616,132.71468,74.88219
95,0.783,174.4328,134.81522,65.53487,407.2543,168.42976,48.01264,347.65094,132.59,74.78143
96,0.792,174.4328,134.81522,65.53487,407.07715,168.49902,47.85233,347.78751,132.65289,74.95267
97,0.8,174.4328,134.81522,65.53487,407.00763,168.54758,47.82951,347.72528,132.44873,74.73554
98,0.808,174.36942,134.74321,65.42509,407.04425,168.68768,47.73398,347.73828,132.58572,74.76823
99,0.817,174.32439,134.57393,65.48952,407.19629,168.64629,47.94409,347.87485,132.64864,74.93948
100,0.825,174.31427,134.47942,65.54768,407.38483,168.63634,47.81796,347.84091,132.4243,74.92905
101,0.833,174.36942,134.74321,65.42509,407.4382,168.79012,47.89275,347.8963,132.67226,75.00636
102,0.842,174.4328,134.81522,65.53487,407.4328,168.53871,47.94246,347.70071,132.56735,74.94828
103,0.85,174.36942,134.74321,65.42509,407.44318,168.42725,47.82015,347.73108,132.79802,74.92964
104,0.858,174.36942,134.74321,65.42509,407.26038,168.54187,47.75837,347.75565,132.6794,74.7169
105,0.867,174.40033,134.67673,65.2933,407.34375,168.58408,47.67706,347.91757,132.8082,74.96978
106,0.875,174.42213,134.75931,65.13042,407.22705,168.73779,47.81368,348.18753,132.77185,74.98196
107,0.883,174.42213,134.75931,65.13042,407.28186,168.63576,47.78021,347.60919,132.5242,74.72668
108,0.892,174.37709,134.59004,65.19485,407.35641,168.54024,47.83353,347.97415,132.79189,74.84672
109,0.9,174.42213,134.75931,65.13042,407.53232,168.40839,47.68148,348.22571,132.83536,74.79182
110,0.908,174.42213,134.75931,65.13042,407.47266,168.4236,47.74285,347.73828,132.58572,74.76823
111,0.917,174.42213,134.75931,65.13042,407.47861,168.35406,47.77451,347.94275,132.7347,74.74694
112,0.925,174.44682,134.51761,65.08283,407.53232,168.40839,47.68148,347.66931,132.51016,74.84851
113,0.933,174.40033,134.67673,65.2933,407.4259,168.52147,47.72863,347.75537,132.47221,75.06188
114,0.942,174.49187,134.68687,65.01839,407.5098,168.24274,47.72873,347.66931,132.51016,74.84851
115,0.95,174.44682,134.51761,65.08283,407.45181,168.42348,47.66633,347.64636,132.49393,74.56096
116,0.958,174.44682,134.51761,65.08283,407.5011,168.5197,47.72727,347.88165,132.65497,74.64956
117,0.967,174.44682,134.51761,65.08283,407.5011,168.5197,47.72727,347.8038,132.53532,74.80922
118,0.975,174.4149,134.34048,65.3039,407.4234,168.32738,47.68191,347.96054,132.60976,74.82413
119,0.983,174.42502,134.43501,65.24573,407.4234,168.32738,47.68191,347.90121,132.59978,74.95312
120,0.992,174.47006,134.60429,65.18128,407.45181,168.42348,47.66633,347.72528,132.44873,74.73554
121,1,174.53343,134.67628,65.29106,407.48303,168.31216,47.62054,348.15616,132.71468,74.88219
122,1.008,174.53343,134.67628,65.29106,407.33557,168.5401,47.75701,347.58188,132.32057,74.76217
123,1.017,174.48839,134.507,65.35551,407.39218,168.43869,47.72769,347.78506,132.73323,74.76059
