Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-94.96114,295.41547,1032.18311,83.97842,307.68796,1021.38739,83.47865,281.61969,948.63153
2,0.008,-94.91055,295.57678,1032.30981,83.97842,307.68796,1021.38739,83.36947,281.65762,948.64044
3,0.017,-94.91055,295.57678,1032.30981,83.97842,307.68796,1021.38739,83.50307,281.35675,948.44299
4,0.025,-94.96114,295.41547,1032.18311,83.90645,307.74472,1021.18811,83.45022,281.29169,948.54242
5,0.033,-94.91055,295.57678,1032.30981,83.90645,307.74472,1021.18811,83.50307,281.35675,948.44299
6,0.042,-94.91055,295.57678,1032.30981,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
7,0.05,-94.91055,295.57678,1032.30981,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
8,0.058,-94.58644,295.95602,1032.24414,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
9,0.067,-94.63705,295.79471,1032.11743,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
10,0.075,-94.91055,295.57678,1032.30981,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
11,0.083,-95.04385,295.53055,1032.47754,83.97842,307.68796,1021.38739,83.73404,281.65454,948.43665
12,0.092,-94.91055,295.57678,1032.30981,83.97842,307.68796,1021.38739,83.73404,281.65454,948.43665
13,0.1,-94.91055,295.57678,1032.30981,83.97842,307.68796,1021.38739,83.73404,281.65454,948.43665
14,0.108,-94.91055,295.57678,1032.30981,83.80456,307.77094,1020.97339,83.73404,281.65454,948.43665
15,0.117,-94.91055,295.57678,1032.30981,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
16,0.125,-94.58644,295.95602,1032.24414,83.90645,307.74472,1021.18811,83.65343,282.06464,948.52625
17,0.133,-94.58644,295.95602,1032.24414,83.80456,307.77094,1020.97339,83.73404,281.65454,948.43665
18,0.142,-94.91055,295.57678,1032.30981,83.80456,307.77094,1020.97339,83.57198,281.75952,948.38232
19,0.15,-95.04385,295.53055,1032.47754,83.90645,307.74472,1021.18811,83.73404,281.65454,948.43665
20,0.158,-94.91055,295.57678,1032.30981,83.80456,307.77094,1020.97339,83.73404,281.65454,948.43665
21,0.167,-94.91055,295.57678,1032.30981,84.15295,308.20218,1021.00391,83.73404,281.65454,948.43665
22,0.175,-94.89194,295.80884,1032.40393,83.90645,307.74472,1021.18811,83.57198,281.75952,948.38232
23,0.183,-94.58918,295.9855,1032.26404,83.80456,307.77094,1020.97339,83.73404,281.65454,948.43665
24,0.192,-94.58644,295.95602,1032.24414,83.80456,307.77094,1020.97339,83.73404,281.65454,948.43665
25,0.2,-94.91055,295.57678,1032.30981,83.80456,307.77094,1020.97339,83.57198,281.75952,948.38232
