Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,33.88527,280.12592,945.40918,106.97833,208.47649,956.76129,55.76519,186.40367,1033.82214
2,0.008,35.5678,279.30145,947.23071,110.73153,208.86632,957.84619,58.07679,186.10309,1035.18262
3,0.017,37.63464,279.7717,947.65729,113.30544,209.41296,958.53424,60.70811,184.41667,1036.27844
4,0.025,39.45207,278.40012,950.34259,116.56766,210.53682,959.85919,64.78893,184.46513,1036.85059
5,0.033,41.13368,277.33746,952.15369,119.73751,210.91859,961.87939,67.8699,183.23505,1037.86865
6,0.042,43.98749,277.46368,953.49835,122.48376,211.82112,963.13507,70.88439,182.91833,1039.34485
7,0.05,46.00923,277.11633,956.26166,125.98558,211.66829,965.35895,74.47614,180.82167,1040.19092
8,0.058,48.52206,276.13202,957.16565,129.94328,214.65146,967.56738,77.86627,181.12477,1041.70959
9,0.067,50.11355,275.95016,960.41321,132.34326,216.11905,969.32019,81.00708,178.19691,1043.02197
10,0.075,51.83613,274.56494,962.88916,136.03917,217.5643,972.78949,83.75302,176.32964,1043.79871
11,0.083,54.82536,274.46744,964.72778,139.68382,217.95834,973.89069,86.8867,174.85744,1044.58411
12,0.092,56.63018,274.19949,967.31116,143.04179,218.85637,976.84869,88.44743,172.17998,1046.48169
13,0.1,58.76359,273.02319,969.2868,146.35873,220.27849,979.96454,92.88837,169.48352,1046.95959
14,0.108,59.87725,271.00656,973.66492,148.80618,219.29814,983.41913,96.60369,166.91377,1047.4325
15,0.117,61.65382,269.3996,975.03119,152.69836,221.50647,985.91315,101.08313,163.85127,1048.30786
16,0.125,64.00777,267.95532,978.42065,156.013,222.448,989.22229,105.65785,162.58788,1050.24463
17,0.133,67.34209,265.42017,980.89673,159.01555,221.80899,992.17346,110.22044,159.89798,1051.55652
18,0.142,70.78648,264.44681,984.1189,163.06769,221.62755,995.57788,115.71407,159.22195,1053.78931
