Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,129.49097,233.27284,550.65649,280.4603,215.15614,516.1731,284.27417,90.65244,505.31921
2,0.008,129.29362,232.97885,550.46637,280.19,215.24098,516.07825,284.33908,90.8076,505.40802
3,0.017,129.08362,232.7149,550.54205,280.11301,215.51273,516.18365,284.27417,90.65244,505.31921
4,0.025,129.49097,233.27284,550.65649,280.19,215.24098,516.07825,284.27417,90.65244,505.31921
5,0.033,129.49097,233.27284,550.65649,280.19,215.24098,516.07825,284.27417,90.65244,505.31921
6,0.042,129.29362,232.97885,550.46637,279.96265,215.32774,516.15521,284.27417,90.65244,505.31921
7,0.05,129.08362,232.7149,550.54205,279.88565,215.59949,516.26062,284.27417,90.65244,505.31921
8,0.058,129.49097,233.27284,550.65649,279.88565,215.59949,516.26062,284.33908,90.8076,505.40802
9,0.067,129.29362,232.97885,550.46637,279.80658,215.64142,516.40668,284.27417,90.65244,505.31921
10,0.075,129.08362,232.7149,550.54205,279.80658,215.64142,516.40668,284.33908,90.8076,505.40802
11,0.083,128.89642,232.74844,550.54913,279.80658,215.64142,516.40668,284.27417,90.65244,505.31921
12,0.092,128.89642,232.74844,550.54913,279.80658,215.64142,516.40668,284.33908,90.8076,505.40802
13,0.1,129.30377,233.3064,550.66357,279.80658,215.64142,516.40668,284.33908,90.8076,505.40802
14,0.108,129.30377,233.3064,550.66357,279.75641,215.86226,516.48004,284.33908,90.8076,505.40802
15,0.117,129.09511,233.03943,550.71265,279.80658,215.64142,516.40668,284.33908,90.8076,505.40802
16,0.125,128.89642,232.74844,550.54913,279.51932,215.74162,516.40631,284.33908,90.8076,505.40802
17,0.133,128.89642,232.74844,550.54913,279.46915,215.96246,516.47968,284.12567,90.90246,505.51343
18,0.142,128.89642,232.74844,550.54913,279.46915,215.96246,516.47968,284.12567,90.90246,505.51343
19,0.15,129.12326,233.6356,550.7066,279.75641,215.86226,516.48004,284.12567,90.90246,505.51343
20,0.158,129.12326,233.6356,550.7066,279.46915,215.96246,516.47968,284.33908,90.8076,505.40802
21,0.167,128.71593,233.07779,550.59222,279.33371,216.04102,516.43207,284.03589,91.12289,505.61133
22,0.175,128.9146,233.3687,550.75574,279.75641,215.86226,516.48004,284.24933,91.02801,505.50595
